        Date        scalerS2b scalerS16b IPM2C21A IPM2C24A
2018-02-07 11:30:00     265.5          0        0        0
2018-02-07 11:30:01       267          0        0        0
2018-02-07 11:30:02       267          0        0        0
2018-02-07 11:30:03       266          0        0        0
2018-02-07 11:30:04       266          0        0        0
2018-02-07 11:30:05       266          0        0        0
2018-02-07 11:30:06      6417     118512     0.78  1.49531
2018-02-07 11:30:07      6417     118512     1.95    3.081
2018-02-07 11:30:08    4971.5    87659.5  2.37939  3.66023
2018-02-07 11:30:09    4971.5    87659.5  0.87815 0.818776
2018-02-07 11:30:10       839       9839  0.62036        0
2018-02-07 11:30:11       839       9839  0.62036        0
2018-02-07 11:30:12     880.5    10553.5  0.62036  0.58426
2018-02-07 11:30:13     880.5    10553.5  0.70083  0.58426
2018-02-07 11:30:14       933    11552.5  0.70083  0.64701
2018-02-07 11:30:15       933    11552.5  0.75569  0.64701
2018-02-07 11:30:16       994    12610.5  0.75569 0.710325
2018-02-07 11:30:17       994    12610.5  0.84591 0.710325
2018-02-07 11:30:18      1074      13996  0.84591 0.797928
2018-02-07 11:30:19      1074      13996  0.93054 0.797928
2018-02-07 11:30:20      1150      15339  0.93054 0.873361
2018-02-07 11:30:21      1150      15339  1.02349 0.873361
2018-02-07 11:30:22    1253.5    17138.5  1.08875 0.982069
2018-02-07 11:30:23    1253.5    17138.5  1.14582  1.03434
2018-02-07 11:30:24    1346.5      18768  1.19665  1.03434
2018-02-07 11:30:25    1346.5      18768  1.25593  1.13673
2018-02-07 11:30:26      1486      21291  1.35187  1.22511
2018-02-07 11:30:27      1486      21291  1.42415  1.29222
2018-02-07 11:30:28    1597.5      23215  1.50345  2.11418
2018-02-07 11:30:29    1597.5      23215  1.50345  1.37454
2018-02-07 11:30:30      1653      24183  1.50345  1.37454
2018-02-07 11:30:31      1653      24183  1.61538  1.46892
2018-02-07 11:30:32      1802      26863  1.72185  1.56751
2018-02-07 11:30:33      1802      26863  1.72185  1.56751
2018-02-07 11:30:34      1930      29209  1.86264  1.69804
2018-02-07 11:30:35      1930      29209  1.92673  1.75648
2018-02-07 11:30:36      2114    32423.5  2.04425  1.86534
2018-02-07 11:30:37      2114    32423.5  2.17048  1.98201
2018-02-07 11:30:38    2308.5    35918.5   2.2945  2.09806
2018-02-07 11:30:39    2308.5    35918.5  2.36782   2.1644
2018-02-07 11:30:40      2448      38421  2.45518  2.24605
2018-02-07 11:30:41      2448      38421   2.5272  2.31157
2018-02-07 11:30:42      2560      40462  2.59428  2.37494
2018-02-07 11:30:43      2560      40462  2.59428  2.37494
2018-02-07 11:30:44    2749.5      44011  2.77238  2.54028
2018-02-07 11:30:45    2749.5      44011  2.89523  4.25332
2018-02-07 11:30:46    2636.5    41964.5  2.82841  2.58932
2018-02-07 11:30:47    2636.5    41964.5  2.65161  2.42783
2018-02-07 11:30:48      2563      40619  2.65161  2.42783
2018-02-07 11:30:49      2563      40619  2.65161  2.42783
2018-02-07 11:30:50      2598    41337.5  2.65161  2.42783
2018-02-07 11:30:51      2598    41337.5  2.65161  2.42783
2018-02-07 11:30:52      2691      43082  2.75938  2.52693
2018-02-07 11:30:53      2691      43082  2.75938  2.52693
2018-02-07 11:30:54    2750.5      44144  2.75938  2.52693
2018-02-07 11:30:55    2750.5      44144   2.8574  2.61834
2018-02-07 11:30:56      2773      44582   2.8574  2.61834
2018-02-07 11:30:57      2773      44582   2.8574  2.61834
2018-02-07 11:30:58      2783    44811.5   2.8574  2.61834
2018-02-07 11:30:59      2783    44811.5   2.8574  2.61834
2018-02-07 11:31:00      2766      44427   2.8574  2.61834
2018-02-07 11:31:01      2766      44427   2.8574  2.61834
2018-02-07 11:31:02    2782.5      44755   2.8574  2.61834
2018-02-07 11:31:03    2782.5      44755   2.8574  2.61834
2018-02-07 11:31:04      2830    45671.5   2.8574  2.61834
2018-02-07 11:31:05      2830    45671.5  2.95308   2.7046
2018-02-07 11:31:06      2830    45671.5  2.95308   2.7046
2018-02-07 11:31:07    2904.5    46963.5  3.03615   2.7824
2018-02-07 11:31:08    2904.5    46963.5  3.03615   2.7824
2018-02-07 11:31:09      2947      47751  3.03615   2.7824
2018-02-07 11:31:10      2947      47751  3.10258  2.84428
2018-02-07 11:31:11    2977.5      48436  3.10258  2.84428
2018-02-07 11:31:12    2977.5      48436  5.15905  2.95057
2018-02-07 11:31:13    3269.5      53768  3.47132  3.19243
2018-02-07 11:31:14    3269.5      53768  3.47132  3.19243
2018-02-07 11:31:15      3266      53768  3.47132  3.19243
2018-02-07 11:31:16      3266      53768  3.47132  3.19243
2018-02-07 11:31:17      3322    54895.5  3.47132  3.19243
2018-02-07 11:31:18      3322    54895.5  3.52495  3.19243
2018-02-07 11:31:19    3352.5      55433  3.52495   3.2656
2018-02-07 11:31:20    3352.5      55433  3.52495   3.2656
2018-02-07 11:31:21    3323.5      54998  3.52495   3.2656
2018-02-07 11:31:22    3323.5      54998  3.52495   3.2656
2018-02-07 11:31:23      3572      59503  3.63122  3.34263
2018-02-07 11:31:24      3572      59503  4.12913  3.80247
2018-02-07 11:31:25      4011      67686   4.1951  3.86332
2018-02-07 11:31:26      4011      67686  4.58445  4.22405
2018-02-07 11:31:27    4445.5    75944.5  4.85388  4.47438
2018-02-07 11:31:28    4445.5    75944.5  4.74435  4.37322
2018-02-07 11:31:29    4365.5      74548  4.74435  4.37322
2018-02-07 11:31:30    4365.5      74548   4.6891  4.32136
2018-02-07 11:31:31    4411.5    75598.5   4.7866  4.41071
2018-02-07 11:31:32    4411.5    75598.5   4.7866  4.41071
2018-02-07 11:31:33    4356.5    74508.5   4.7866  4.41071
2018-02-07 11:31:34    4356.5    74508.5  4.57372  4.21455
2018-02-07 11:31:35    3578.5    60098.5  3.81842  3.51208
2018-02-07 11:31:36    3578.5    60098.5  3.81842  3.51208
2018-02-07 11:31:37    3605.5    60535.5  3.81842  3.51208
2018-02-07 11:31:38    3605.5    60535.5  3.81842  3.51208
2018-02-07 11:31:39    3582.5      59914  3.81842  3.51208
2018-02-07 11:31:40    3582.5      59914  3.81842  3.51208
2018-02-07 11:31:41      3780      63447  3.81842  3.51208
2018-02-07 11:31:42      3780      63447  4.22435  3.88899
2018-02-07 11:31:43      4035    68311.5  4.33518  3.99349
2018-02-07 11:31:44      4035    68311.5  4.33518  3.99349
2018-02-07 11:31:45    3994.5    67611.5  4.33518  3.99349
2018-02-07 11:31:46    3994.5    67611.5   4.2666  3.93033
2018-02-07 11:31:47      4313    73330.5  4.32802  3.98604
