scalerS16b	IPM2C21A	IPM2C24A	
518	1.38911e+07	0	0
521	1.38911e+07	0	0
519	1.38911e+07	0	0
520	1.38911e+07	0	0
524	1.38911e+07	0	0
521	1.38911e+07	0	0
523	1.38911e+07	0	0
517	1.38911e+07	0	0
520	1.38911e+07	0	0
520	1.38911e+07	0	0
523	1.38911e+07	0	0
519	1.38911e+07	0	0
526	1.40044e+07	0	0
522	1.39013e+07	0	0
523	1.39013e+07	0	0
3366	1.39013e+07	0	0
11380	1.39013e+07	0	0
11526	1.39013e+07	1.95	1.5405
11417	1.39013e+07	3.9	3.081
11467	1.39013e+07	7.8	6.162
11433	1.39013e+07	19.5	15.405
11323	1.39013e+07	39	30.81
11101	1.39013e+07	78	61.62
11101	1.39013e+07	190.089	154.05
11123	1.39013e+07	246.519	236.533
11286	1.39013e+07	232.583	225.005
11277	1.39013e+07	155.961	150.538
11305	1.39013e+07	155.636	150.23
11098	1.39013e+07	153.595	148.247
11246	1.39013e+07	155.051	149.665
11167	1.39013e+07	154.57	149.213
11248	1.39013e+07	153.738	148.401
10995	1.39013e+07	154.57	149.213
11341	1.39013e+07	153.673	148.34
11250	1.39013e+07	155.077	149.726
11278	1.39013e+07	155.61	150.25
11239	1.39013e+07	154.648	149.274
11401	1.39013e+07	156.52	151.103
11178	1.39013e+07	157.04	151.606
11139	1.39013e+07	153.179	147.837
10979	1.39013e+07	153.088	147.837
11121	1.39013e+07	150.709	145.454
11090	1.39013e+07	153.569	148.227
11092	1.39013e+07	152.321	147.025
11221	1.39013e+07	152.802	147.487
11033	1.39013e+07	153.972	148.627
11205	1.39013e+07	151.697	146.399
11291	1.39013e+07	154.856	149.48
11307	1.39013e+07	155.402	150.004
11141	1.39013e+07	156.286	150.877
11278	1.39013e+07	153.387	148.042
11217	1.39013e+07	155.519	150.117
11198	1.39013e+07	154.934	149.552
11353	1.39013e+07	154.284	148.925
11353	1.39013e+07	155.532	150.158
11137	1.39013e+07	154.44	149.079
11440	1.39013e+07	156.819	151.411
11187	1.39013e+07	155.376	149.993
11099	1.39013e+07	153.985	148.627
11252	1.39013e+07	153.088	147.765
11253	1.39013e+07	155.675	150.25
11293	1.39013e+07	155.48	150.137
11255	1.39013e+07	156.104	150.712
11120	1.39013e+07	153.686	148.35
11259	1.39013e+07	154.076	148.71
11215	1.39013e+07	155.402	150.014
11386	1.39013e+07	154.245	148.925
11250	1.39013e+07	155.948	150.548
11242	1.39013e+07	155.805	150.404
11185	1.39013e+07	154.882	149.521
11272	1.39013e+07	153.361	148.011
11363	1.39013e+07	155.025	149.654
11423	1.39013e+07	156.468	151.051
11327	1.39013e+07	157.534	152.068
11263	1.39013e+07	155.714	150.281
11321	1.39013e+07	155.194	149.829
11302	1.39013e+07	155.935	150.538
11199	1.39013e+07	155.831	150.414
11168	1.39013e+07	154.401	149.059
11502	1.39013e+07	154.011	148.689
