scalerS16b	IPM2C21A	IPM2C24A	
571	1.38972e+07	0	0
567	1.38972e+07	0	0
567	1.38972e+07	0	0
570	1.38972e+07	0	0
9632	1.38972e+07	0	0
10034	1.38972e+07	0	0
9936	1.38972e+07	0.78	0.6162
10044	1.38972e+07	1.95	1.5405
10023	1.38972e+07	3.9	3.081
10132	1.38972e+07	7.8	6.162
10107	1.38972e+07	16.6189	14.3269
10175	1.38972e+07	16.8883	16.357
10175	1.38972e+07	16.9494	16.357
10143	1.38972e+07	11.0071	10.6089
10023	1.38972e+07	11.0071	10.6089
10100	1.38972e+07	10.8589	10.4631
10100	1.40166e+07	10.9239	10.5278
10036	1.40166e+07	10.9239	10.5278
10216	1.38904e+07	10.9239	10.5278
10179	1.38904e+07	10.9239	10.5278
10184	1.38904e+07	11.1332	10.728
10120	1.38904e+07	10.9642	10.5678
10016	1.38904e+07	11.0214	10.6202
10139	1.38904e+07	10.9031	10.5072
10245	1.38904e+07	10.9031	10.5072
10234	1.38904e+07	11.0682	10.6654
10049	1.38904e+07	11.0682	10.6654
10118	1.38904e+07	11.0682	10.6654
10153	1.41682e+07	10.881	10.4857
9987	1.38895e+07	11.0136	10.614
10045	1.38895e+07	10.9135	10.5175
10100	1.38895e+07	10.9135	10.5175
9968	1.38895e+07	10.8615	10.5175
10015	1.38895e+07	10.9395	10.5175
10056	1.38895e+07	10.7939	10.4035
10204	1.38895e+07	10.7939	10.4035
10161	1.38895e+07	10.9278	10.5298
10287	1.38895e+07	11.0695	10.6716
10208	1.38895e+07	11.0097	10.6099
10020	1.38895e+07	11.1111	10.7075
9926	1.38895e+07	11.0383	10.6387
9968	1.38895e+07	10.8784	10.4846
10085	1.38895e+07	10.7627	10.3727
10085	1.38895e+07	10.7627	10.3727
10031	1.38895e+07	10.8862	10.4929
10046	1.38895e+07	10.8862	10.4929
10200	1.38895e+07	10.8862	10.4929
10257	1.38895e+07	11.0214	10.6212
10192	1.38895e+07	11.0851	10.6859
10249	1.38895e+07	11.0851	10.6859
10186	1.38895e+07	11.0344	10.6356
10196	1.38895e+07	11.0344	10.6356
10093	1.38895e+07	11.0344	10.6356
9982	1.38895e+07	11.0344	10.6356
10056	1.38895e+07	10.855	10.462
9923	1.38895e+07	10.8017	10.4117
10010	1.38895e+07	10.8017	10.4117
10033	1.38895e+07	10.6886	10.3039
9948	1.38895e+07	10.9486	10.5514
10141	1.38895e+07	10.8043	10.4128
10221	1.38895e+07	10.8043	10.4128
10307	1.38895e+07	10.9902	10.5935
9991	1.38895e+07	11.1683	10.763
10046	1.38895e+07	11.0825	10.6787
9999	1.38895e+07	10.8485	10.4579
10167	1.38895e+07	10.8485	10.4579
10178	1.38895e+07	10.8485	10.4579
10056	1.38895e+07	11.0123	10.611
10144	1.38895e+07	11.0123	10.611
10120	1.38895e+07	10.855	10.4631
10016	1.38895e+07	11.0292	10.6305
10052	1.38895e+07	10.9603	10.5617
10233	1.38895e+07	10.8381	10.4436
10233	1.38895e+07	10.9291	10.5329
10106	1.38895e+07	11.0357	10.6356
10221	1.38895e+07	10.9655	10.5678
10186	1.38895e+07	11.076	10.6746
10171	1.38895e+07	11.076	10.6746
10119	1.38895e+07	10.9616	10.5658
10133	1.38895e+07	10.9616	10.5658
10228	1.38895e+07	10.9616	10.5658
10053	1.38895e+07	11.076	10.6736
10132	1.38895e+07	11.0058	10.6079
10097	1.38895e+07	10.8537	10.4631
10257	1.38895e+07	10.9603	10.5627
10102	1.38895e+07	11.0617	10.6623
10083	1.38895e+07	10.933	10.5401
10119	1.38895e+07	10.933	10.5401
10152	1.38895e+07	10.933	10.5401
10130	1.38895e+07	10.933	10.5401
10165	1.40042e+07	10.933	10.5401
10179	1.38906e+07	11.0292	10.6274
10064	1.38906e+07	10.9668	10.5689
10069	1.38906e+07	11.0513	10.652
10207	1.38906e+07	10.8706	10.4754
10233	1.38906e+07	10.9616	10.5647
10153	1.38906e+07	11.0786	10.6777
10173	1.38906e+07	11.0786	10.6777
10170	1.38906e+07	11.0188	10.6192
10240	1.38906e+07	11.0188	10.6192
10139	1.38906e+07	11.0188	10.6192
10240	1.38906e+07	11.0188	10.6192
10129	1.38906e+07	11.0188	10.6192
10205	1.38906e+07	11.141	10.7383
10205	1.38906e+07	10.9421	10.5452
10099	1.38906e+07	11.0578	10.6562
9958	1.38906e+07	10.9421	10.5442
10057	1.38906e+07	10.8316	10.4353
10184	1.38906e+07	10.8316	10.4353
10191	1.38906e+07	10.9707	10.5719
10188	1.38906e+07	11.0747	10.6726
10222	1.38906e+07	11.0747	10.6726
9949	1.38906e+07	11.0747	10.6726
10040	1.38906e+07	10.8693	10.4775
10118	1.38906e+07	10.8693	10.4775
10038	1.38906e+07	10.8693	10.4775
10146	1.38906e+07	10.9499	10.5535
6597	1.38906e+07	10.855	10.46
526	1.38906e+07	10.855	10.46
532	1.38906e+07	1.9383	1.84757
529	1.38906e+07	0	0
537	1.38906e+07	0	0
529	1.38906e+07	0	0
534	1.38906e+07	0	0
535	1.38906e+07	0	0
534	1.38906e+07	0	0
536	1.38906e+07	0	0
538	1.38906e+07	0	0
538	1.38906e+07	0	0
532	1.38906e+07	0	0
533	1.38906e+07	0	0
529	1.38906e+07	0	0
531	1.38906e+07	0	0
527	1.40078e+07	0	0
530	1.38603e+07	0	0
530	1.38603e+07	0	0
525	1.38603e+07	0	0
529	1.38603e+07	0	0
530	1.38603e+07	0	0
534	1.38603e+07	0	0
531	1.38603e+07	0	0
532	1.38603e+07	0	0
534	1.38603e+07	0	0
530	1.38603e+07	0	0
529	1.38603e+07	0	0
529	1.38603e+07	0	0
534	1.38603e+07	0	0
532	1.38603e+07	0	0
532	1.38603e+07	0	0
531	1.38603e+07	0	0
535	1.38603e+07	0	0
527	1.38603e+07	0	0
533	1.38603e+07	0	0
528	1.38603e+07	0	0
534	1.38603e+07	0	0
532	1.38603e+07	0	0
537	1.38603e+07	0	0
531	1.38603e+07	0	0
530	1.38603e+07	0	0
528	1.38603e+07	0	0
528	1.38603e+07	0	0
530	1.38603e+07	0	0
528	1.38603e+07	0	0
529	1.38603e+07	0	0
4693	1.38603e+07	0	0
9962	1.38603e+07	0	0
9962	1.38603e+07	0.733421	0.606433
10062	1.38603e+07	1.95	1.5405
10033	1.38603e+07	3.9	3.081
10041	1.38603e+07	7.8	6.162
9823	1.38603e+07	16.6049	14.2776
9885	1.38603e+07	16.4463	15.9175
9952	1.38603e+07	16.4463	15.8158
10089	1.38603e+07	10.7601	10.3727
18149	1.38603e+07	10.881	10.4888
21339	1.38603e+07	15.7313	15.1862
