        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-10 18:50:46       518 1.38911e+07        0        0
2021-12-10 18:50:47       521 1.38911e+07        0        0
2021-12-10 18:50:48       519 1.38911e+07        0        0
2021-12-10 18:50:49       520 1.38911e+07        0        0
2021-12-10 18:50:50       524 1.38911e+07        0        0
2021-12-10 18:50:51       521 1.38911e+07        0        0
2021-12-10 18:50:52       523 1.38911e+07        0        0
2021-12-10 18:50:53       517 1.38911e+07        0        0
2021-12-10 18:50:54       520 1.38911e+07        0        0
2021-12-10 18:50:55       520 1.38911e+07        0        0
2021-12-10 18:50:56       523 1.38911e+07        0        0
2021-12-10 18:50:57       519 1.38911e+07        0        0
2021-12-10 18:50:58       526 1.40044e+07        0        0
2021-12-10 18:50:59       522 1.39013e+07        0        0
2021-12-10 18:51:00       523 1.39013e+07        0        0
2021-12-10 18:51:01      3366 1.39013e+07        0        0
2021-12-10 18:51:02     11380 1.39013e+07        0        0
2021-12-10 18:51:03     11526 1.39013e+07     1.95   1.5405
2021-12-10 18:51:04     11417 1.39013e+07      3.9    3.081
2021-12-10 18:51:05     11467 1.39013e+07      7.8    6.162
2021-12-10 18:51:06     11433 1.39013e+07     19.5   15.405
2021-12-10 18:51:07     11323 1.39013e+07       39    30.81
2021-12-10 18:51:08     11101 1.39013e+07       78    61.62
2021-12-10 18:51:09     11101 1.39013e+07  190.089   154.05
2021-12-10 18:51:10     11123 1.39013e+07  246.519  236.533
2021-12-10 18:51:11     11286 1.39013e+07  232.583  225.005
2021-12-10 18:51:12     11277 1.39013e+07  155.961  150.538
2021-12-10 18:51:13     11305 1.39013e+07  155.636   150.23
2021-12-10 18:51:14     11098 1.39013e+07  153.595  148.247
2021-12-10 18:51:15     11246 1.39013e+07  155.051  149.665
2021-12-10 18:51:16     11167 1.39013e+07   154.57  149.213
2021-12-10 18:51:17     11248 1.39013e+07  153.738  148.401
2021-12-10 18:51:18     10995 1.39013e+07   154.57  149.213
2021-12-10 18:51:19     11341 1.39013e+07  153.673   148.34
2021-12-10 18:51:20     11250 1.39013e+07  155.077  149.726
2021-12-10 18:51:21     11278 1.39013e+07   155.61   150.25
2021-12-10 18:51:22     11239 1.39013e+07  154.648  149.274
2021-12-10 18:51:23     11401 1.39013e+07   156.52  151.103
2021-12-10 18:51:24     11178 1.39013e+07   157.04  151.606
2021-12-10 18:51:25     11139 1.39013e+07  153.179  147.837
2021-12-10 18:51:26     10979 1.39013e+07  153.088  147.837
2021-12-10 18:51:27     11121 1.39013e+07  150.709  145.454
2021-12-10 18:51:28     11090 1.39013e+07  153.569  148.227
2021-12-10 18:51:29     11092 1.39013e+07  152.321  147.025
2021-12-10 18:51:30     11221 1.39013e+07  152.802  147.487
2021-12-10 18:51:31     11033 1.39013e+07  153.972  148.627
2021-12-10 18:51:32     11205 1.39013e+07  151.697  146.399
2021-12-10 18:51:33     11291 1.39013e+07  154.856   149.48
2021-12-10 18:51:34     11307 1.39013e+07  155.402  150.004
2021-12-10 18:51:35     11141 1.39013e+07  156.286  150.877
2021-12-10 18:51:36     11278 1.39013e+07  153.387  148.042
2021-12-10 18:51:37     11217 1.39013e+07  155.519  150.117
2021-12-10 18:51:38     11198 1.39013e+07  154.934  149.552
