        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-10 19:08:59       571 1.38972e+07        0        0
2021-12-10 19:09:00       567 1.38972e+07        0        0
2021-12-10 19:09:01       567 1.38972e+07        0        0
2021-12-10 19:09:02       570 1.38972e+07        0        0
2021-12-10 19:09:03      9632 1.38972e+07        0        0
2021-12-10 19:09:04     10034 1.38972e+07        0        0
2021-12-10 19:09:05      9936 1.38972e+07     0.78   0.6162
2021-12-10 19:09:06     10044 1.38972e+07     1.95   1.5405
2021-12-10 19:09:07     10023 1.38972e+07      3.9    3.081
2021-12-10 19:09:08     10132 1.38972e+07      7.8    6.162
2021-12-10 19:09:09     10107 1.38972e+07  16.6189  14.3269
2021-12-10 19:09:10     10175 1.38972e+07  16.8883   16.357
2021-12-10 19:09:11     10175 1.38972e+07  16.9494   16.357
2021-12-10 19:09:12     10143 1.38972e+07  11.0071  10.6089
2021-12-10 19:09:13     10023 1.38972e+07  11.0071  10.6089
2021-12-10 19:09:14     10100 1.38972e+07  10.8589  10.4631
2021-12-10 19:09:15     10100 1.40166e+07  10.9239  10.5278
2021-12-10 19:09:16     10036 1.40166e+07  10.9239  10.5278
2021-12-10 19:09:17     10216 1.38904e+07  10.9239  10.5278
2021-12-10 19:09:18     10179 1.38904e+07  10.9239  10.5278
2021-12-10 19:09:19     10184 1.38904e+07  11.1332   10.728
2021-12-10 19:09:20     10120 1.38904e+07  10.9642  10.5678
2021-12-10 19:09:21     10016 1.38904e+07  11.0214  10.6202
2021-12-10 19:09:22     10139 1.38904e+07  10.9031  10.5072
2021-12-10 19:09:23     10245 1.38904e+07  10.9031  10.5072
2021-12-10 19:09:24     10234 1.38904e+07  11.0682  10.6654
2021-12-10 19:09:25     10049 1.38904e+07  11.0682  10.6654
2021-12-10 19:09:26     10118 1.38904e+07  11.0682  10.6654
2021-12-10 19:09:27     10153 1.41682e+07   10.881  10.4857
2021-12-10 19:09:28      9987 1.38895e+07  11.0136   10.614
2021-12-10 19:09:29     10045 1.38895e+07  10.9135  10.5175
2021-12-10 19:09:30     10100 1.38895e+07  10.9135  10.5175
2021-12-10 19:09:31      9968 1.38895e+07  10.8615  10.5175
2021-12-10 19:09:32     10015 1.38895e+07  10.9395  10.5175
2021-12-10 19:09:33     10056 1.38895e+07  10.7939  10.4035
2021-12-10 19:09:34     10204 1.38895e+07  10.7939  10.4035
2021-12-10 19:09:35     10161 1.38895e+07  10.9278  10.5298
2021-12-10 19:09:36     10287 1.38895e+07  11.0695  10.6716
2021-12-10 19:09:37     10208 1.38895e+07  11.0097  10.6099
2021-12-10 19:09:38     10020 1.38895e+07  11.1111  10.7075
2021-12-10 19:09:39      9926 1.38895e+07  11.0383  10.6387
2021-12-10 19:09:40      9968 1.38895e+07  10.8784  10.4846
2021-12-10 19:09:41     10085 1.38895e+07  10.7627  10.3727
2021-12-10 19:09:42     10085 1.38895e+07  10.7627  10.3727
2021-12-10 19:09:43     10031 1.38895e+07  10.8862  10.4929
2021-12-10 19:09:44     10046 1.38895e+07  10.8862  10.4929
2021-12-10 19:09:45     10200 1.38895e+07  10.8862  10.4929
2021-12-10 19:09:46     10257 1.38895e+07  11.0214  10.6212
2021-12-10 19:09:47     10192 1.38895e+07  11.0851  10.6859
2021-12-10 19:09:48     10249 1.38895e+07  11.0851  10.6859
2021-12-10 19:09:49     10186 1.38895e+07  11.0344  10.6356
2021-12-10 19:09:50     10196 1.38895e+07  11.0344  10.6356
2021-12-10 19:09:51     10093 1.38895e+07  11.0344  10.6356
2021-12-10 19:09:52      9982 1.38895e+07  11.0344  10.6356
2021-12-10 19:09:53     10056 1.38895e+07   10.855   10.462
2021-12-10 19:09:54      9923 1.38895e+07  10.8017  10.4117
2021-12-10 19:09:55     10010 1.38895e+07  10.8017  10.4117
2021-12-10 19:09:56     10033 1.38895e+07  10.6886  10.3039
2021-12-10 19:09:57      9948 1.38895e+07  10.9486  10.5514
2021-12-10 19:09:58     10141 1.38895e+07  10.8043  10.4128
2021-12-10 19:09:59     10221 1.38895e+07  10.8043  10.4128
2021-12-10 19:10:00     10307 1.38895e+07  10.9902  10.5935
2021-12-10 19:10:01      9991 1.38895e+07  11.1683   10.763
2021-12-10 19:10:02     10046 1.38895e+07  11.0825  10.6787
2021-12-10 19:10:03      9999 1.38895e+07  10.8485  10.4579
2021-12-10 19:10:04     10167 1.38895e+07  10.8485  10.4579
2021-12-10 19:10:05     10178 1.38895e+07  10.8485  10.4579
2021-12-10 19:10:06     10056 1.38895e+07  11.0123   10.611
2021-12-10 19:10:07     10144 1.38895e+07  11.0123   10.611
2021-12-10 19:10:08     10120 1.38895e+07   10.855  10.4631
2021-12-10 19:10:09     10016 1.38895e+07  11.0292  10.6305
2021-12-10 19:10:10     10052 1.38895e+07  10.9603  10.5617
2021-12-10 19:10:11     10233 1.38895e+07  10.8381  10.4436
2021-12-10 19:10:12     10233 1.38895e+07  10.9291  10.5329
2021-12-10 19:10:13     10106 1.38895e+07  11.0357  10.6356
2021-12-10 19:10:14     10221 1.38895e+07  10.9655  10.5678
2021-12-10 19:10:15     10186 1.38895e+07   11.076  10.6746
2021-12-10 19:10:16     10171 1.38895e+07   11.076  10.6746
2021-12-10 19:10:17     10119 1.38895e+07  10.9616  10.5658
2021-12-10 19:10:18     10133 1.38895e+07  10.9616  10.5658
2021-12-10 19:10:19     10228 1.38895e+07  10.9616  10.5658
2021-12-10 19:10:20     10053 1.38895e+07   11.076  10.6736
2021-12-10 19:10:21     10132 1.38895e+07  11.0058  10.6079
2021-12-10 19:10:22     10097 1.38895e+07  10.8537  10.4631
2021-12-10 19:10:23     10257 1.38895e+07  10.9603  10.5627
2021-12-10 19:10:24     10102 1.38895e+07  11.0617  10.6623
2021-12-10 19:10:25     10083 1.38895e+07   10.933  10.5401
2021-12-10 19:10:26     10119 1.38895e+07   10.933  10.5401
2021-12-10 19:10:27     10152 1.38895e+07   10.933  10.5401
2021-12-10 19:10:28     10130 1.38895e+07   10.933  10.5401
2021-12-10 19:10:29     10165 1.40042e+07   10.933  10.5401
2021-12-10 19:10:30     10179 1.38906e+07  11.0292  10.6274
2021-12-10 19:10:31     10064 1.38906e+07  10.9668  10.5689
2021-12-10 19:10:32     10069 1.38906e+07  11.0513   10.652
2021-12-10 19:10:33     10207 1.38906e+07  10.8706  10.4754
2021-12-10 19:10:34     10233 1.38906e+07  10.9616  10.5647
2021-12-10 19:10:35     10153 1.38906e+07  11.0786  10.6777
2021-12-10 19:10:36     10173 1.38906e+07  11.0786  10.6777
2021-12-10 19:10:37     10170 1.38906e+07  11.0188  10.6192
2021-12-10 19:10:38     10240 1.38906e+07  11.0188  10.6192
2021-12-10 19:10:39     10139 1.38906e+07  11.0188  10.6192
2021-12-10 19:10:40     10240 1.38906e+07  11.0188  10.6192
2021-12-10 19:10:41     10129 1.38906e+07  11.0188  10.6192
