        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-15 01:39:37      3496 1.39294e+07  51.0315  49.0495
2021-12-15 01:39:38      3557 1.39294e+07   50.882  48.9109
2021-12-15 01:39:39      3557 1.39294e+07   50.479  48.5103
2021-12-15 01:39:40      3560 1.39294e+07   51.298  49.3011
2021-12-15 01:39:41      3480 1.39294e+07  51.0965   49.106
2021-12-15 01:39:42      3520 1.39294e+07   50.271  48.3255
2021-12-15 01:39:43      3511 1.39294e+07  50.6025  48.6387
2021-12-15 01:39:44      3553 1.39294e+07   50.804  48.8287
2021-12-15 01:39:45      3536 1.39294e+07  50.9795   48.993
2021-12-15 01:39:46      3492 1.39294e+07  51.0315  49.0444
2021-12-15 01:39:47      3579 1.39294e+07   50.609  48.6387
2021-12-15 01:39:48      3518 1.39294e+07  51.1355  49.1368
2021-12-15 01:39:49      3500 1.39294e+07  51.2525  49.2549
2021-12-15 01:39:50      3565 1.39294e+07  50.4075  48.4436
2021-12-15 01:39:51      3517 1.39294e+07   51.103  49.1111
2021-12-15 01:39:52      3555 1.39294e+07   50.921  48.9417
2021-12-15 01:39:53      3571 1.39294e+07  50.9795   48.993
2021-12-15 01:39:54      3530 1.39294e+07   51.259  49.2652
2021-12-15 01:39:55      3573 1.39294e+07   51.207  49.2138
2021-12-15 01:39:56      3649 1.39294e+07  51.2915   49.296
2021-12-15 01:39:57      3569 1.39294e+07  52.1885  50.1587
2021-12-15 01:39:58      3584 1.39294e+07   52.624  50.5849
2021-12-15 01:39:59      3603 1.39294e+07  51.5515  49.5476
2021-12-15 01:40:00      3554 1.39294e+07   51.636  49.6195
2021-12-15 01:40:01      3597 1.39294e+07   52.065  50.0457
2021-12-15 01:40:02      3592 1.39294e+07  51.3955  49.3987
2021-12-15 01:40:03      3596 1.39294e+07   51.857  49.8403
2021-12-15 01:40:04      3601 1.39294e+07  52.0325  50.0098
2021-12-15 01:40:05      3607 1.39294e+07  51.8765  49.8506
2021-12-15 01:40:06      3658 1.39294e+07   51.948  49.9276
2021-12-15 01:40:07      3601 1.39294e+07  52.1625  50.1279
2021-12-15 01:40:08      3598 1.39294e+07   52.806  50.7595
2021-12-15 01:40:09      3590 1.39294e+07  52.0975  50.0611
2021-12-15 01:40:10      3590 1.39294e+07   51.987  49.9584
2021-12-15 01:40:11      3574 1.39294e+07    51.74  49.7171
2021-12-15 01:40:12      3598 1.39294e+07  51.4995   49.486
2021-12-15 01:40:13      3562 1.39294e+07   51.922  49.9019
2021-12-15 01:40:14      3552 1.39294e+07  51.5255  49.5117
2021-12-15 01:40:15      3528 1.39294e+07  51.1615  49.1728
2021-12-15 01:40:16      3556 1.39294e+07   50.947  48.9571
2021-12-15 01:40:17      3602 1.39294e+07   50.947  48.9571
2021-12-15 01:40:18      3581 1.39294e+07   51.532  49.5322
2021-12-15 01:40:19      3579 1.39294e+07  51.8245  49.8198
2021-12-15 01:40:20      3609 1.39294e+07  51.6035  49.5938
2021-12-15 01:40:21      3522 1.39294e+07   52.377   50.323
2021-12-15 01:40:22      3553 1.39294e+07   51.038  49.0392
2021-12-15 01:40:23      3597 1.39294e+07  51.1615  49.1728
2021-12-15 01:40:24      3579 1.39294e+07   51.428  49.4346
2021-12-15 01:40:25      3573 1.39294e+07  51.9155  49.9019
2021-12-15 01:40:26      3546 1.39294e+07  51.5775  49.5784
2021-12-15 01:40:27      3563 1.39294e+07    51.35  49.3576
2021-12-15 01:40:28      3656 1.39294e+07    51.35  49.3576
2021-12-15 01:40:29      3622 1.39294e+07   51.779  49.7633
2021-12-15 01:40:30      3606 1.39294e+07  52.9295   50.857
2021-12-15 01:40:31      3580 1.39294e+07   52.143  50.1073
2021-12-15 01:40:32      3592 1.39294e+07   52.143  50.1073
2021-12-15 01:40:33      3626 1.39294e+07  51.9805  49.9533
2021-12-15 01:40:34      3631 1.39294e+07   51.727  49.7273
2021-12-15 01:40:35      3540 1.39294e+07   52.403  50.3589
2021-12-15 01:40:36      3537 1.39294e+07   52.351  50.3589
2021-12-15 01:40:37      3587 1.39294e+07   51.064  49.0701
2021-12-15 01:40:38      3560 1.39294e+07   51.064  49.0701
2021-12-15 01:40:39      3614 1.39294e+07  51.8375  49.8095
2021-12-15 01:40:40      3591 1.39294e+07   51.597  49.5836
2021-12-15 01:40:41      3591 1.39294e+07   52.078  50.0457
2021-12-15 01:40:42      3590 1.39294e+07   52.078  50.0457
2021-12-15 01:40:43      3625 1.39294e+07   51.584  49.5784
2021-12-15 01:40:44      3583 1.39294e+07  52.5395  50.5027
2021-12-15 01:40:45      3564 1.39294e+07   51.974  49.9379
2021-12-15 01:40:46      3622 1.39294e+07   51.285   49.296
2021-12-15 01:40:47      3646 1.39294e+07   51.909  49.8865
2021-12-15 01:40:48      3574 1.39294e+07  52.8645  50.8057
2021-12-15 01:40:49      3546 1.39294e+07  51.9545  49.9327
2021-12-15 01:40:50      3579 1.39294e+07  51.0835  49.0906
2021-12-15 01:40:51      3651 1.39294e+07   51.597  49.5887
2021-12-15 01:40:52      3586 1.39294e+07   52.403  50.3692
2021-12-15 01:40:53      3594 1.39294e+07   51.831  49.8095
2021-12-15 01:40:54      3608 1.39294e+07  52.3055  50.2665
2021-12-15 01:40:55      3644 1.39294e+07  51.8635  49.8403
2021-12-15 01:40:56      3586 1.39294e+07   52.364  50.3179
2021-12-15 01:40:57      3537 1.39294e+07  52.0715  50.0406
2021-12-15 01:40:58      3550 1.39294e+07   51.831  49.8146
2021-12-15 01:40:59      3563 1.39294e+07  51.6685  49.6606
2021-12-15 01:41:00      3644 1.39294e+07   51.064  49.0803
2021-12-15 01:41:01      3602 1.39294e+07  51.6425  49.6298
2021-12-15 01:41:02      3607 1.39294e+07   52.572  50.5335
2021-12-15 01:41:03      3607 1.39294e+07  52.0845  50.0662
2021-12-15 01:41:04      3618 1.39294e+07   51.961  49.9379
2021-12-15 01:41:05      3625 1.39294e+07   52.429  50.3846
2021-12-15 01:41:06      3658 1.39294e+07   52.182  50.1433
