        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-15 01:46:17     45629 1.39245e+07  52.4745  50.4257
2021-12-15 01:46:18     45697 1.39245e+07   52.325  50.2871
2021-12-15 01:46:19     44761 1.39245e+07   52.039  50.0098
2021-12-15 01:46:20     45853 1.39245e+07   52.312  50.2665
2021-12-15 01:46:21     45853 1.39245e+07  51.3175  49.3165
2021-12-15 01:46:22     45570 1.39245e+07   52.273  50.2357
2021-12-15 01:46:23     45291 1.39245e+07   52.182  50.1587
2021-12-15 01:46:24     45401 1.39245e+07  51.7465  49.7222
2021-12-15 01:46:25     45008 1.39245e+07  52.1235  50.0868
2021-12-15 01:46:26     45572 1.39245e+07  51.4605  49.4552
2021-12-15 01:46:27     46463 1.39245e+07   52.065  50.0406
2021-12-15 01:46:28     45594 1.39245e+07  52.9685  50.9033
2021-12-15 01:46:29     45608 1.39245e+07   52.234  50.1946
2021-12-15 01:46:30     45451 1.39245e+07   52.312  50.2716
2021-12-15 01:46:31     45367 1.39245e+07  52.2405  50.2049
2021-12-15 01:46:32     46021 1.39245e+07  51.7595   49.753
2021-12-15 01:46:33     46240 1.39245e+07   52.208  50.1689
2021-12-15 01:46:34     46119 1.39245e+07    52.65  50.5952
2021-12-15 01:46:35     45778 1.39245e+07  53.3195  51.2422
2021-12-15 01:46:36     45673 1.39245e+07   52.572  50.5284
2021-12-15 01:46:37     45148 1.39245e+07  52.2275  50.1895
2021-12-15 01:46:38     45604 1.39245e+07  52.2275  50.1895
2021-12-15 01:46:39     45475 1.39245e+07  51.5255  49.5168
2021-12-15 01:46:40     45833 1.39245e+07    52.26  50.2306
2021-12-15 01:46:41     45385 1.39245e+07  52.0195  50.0046
2021-12-15 01:46:42     45507 1.39245e+07  52.4485  50.4103
2021-12-15 01:46:43     45910 1.39245e+07  51.4865   49.486
2021-12-15 01:46:44     45877 1.39245e+07  52.4095  50.3692
2021-12-15 01:46:45     46054 1.39245e+07  52.4875  50.4514
2021-12-15 01:46:46     45294 1.39245e+07  52.4875  50.4514
2021-12-15 01:46:47     46041 1.39245e+07  52.4875  50.4514
2021-12-15 01:46:48     46281 1.39245e+07   51.948  49.9327
2021-12-15 01:46:49     45787 1.39245e+07  52.7345  50.6876
2021-12-15 01:46:50     45765 1.39245e+07  52.9165   50.857
2021-12-15 01:46:51     45927 1.39245e+07  52.3965  50.3589
2021-12-15 01:46:52     45927 1.39245e+07   52.273  50.2408
2021-12-15 01:46:53     46238 1.39245e+07   52.273  50.2408
2021-12-15 01:46:54     46262 1.35176e+07   52.962   50.893
2021-12-15 01:46:55     45206 1.39252e+07   52.728   50.667
2021-12-15 01:46:56     45865 1.39252e+07   51.909  49.8968
2021-12-15 01:46:57     45169 1.39252e+07  52.5005  50.4616
2021-12-15 01:46:58     46210 1.39252e+07  51.5515  49.5476
2021-12-15 01:46:59     45277 1.39252e+07  52.5005  50.4514
2021-12-15 01:47:00     45791 1.39252e+07  52.1105  50.0817
2021-12-15 01:47:01     45901 1.39252e+07  52.1105  50.0817
2021-12-15 01:47:02     45319 1.39252e+07  52.4745  50.4257
2021-12-15 01:47:03     45397 1.39252e+07  52.2665  50.2357
2021-12-15 01:47:04     45031 1.39252e+07    51.48  49.4706
2021-12-15 01:47:05     45057 1.39252e+07  52.0585  50.0252
2021-12-15 01:47:06     44841 1.39252e+07  51.5775  49.5733
2021-12-15 01:47:07     45393 1.39252e+07    51.35  49.3525
2021-12-15 01:47:08     46786 1.39252e+07   51.532  49.5219
2021-12-15 01:47:09     46409 1.39252e+07  52.6175  50.5643
2021-12-15 01:47:10     46058 1.39252e+07   53.144  51.0727
2021-12-15 01:47:11     46734 1.39252e+07  53.2545  51.1857
2021-12-15 01:47:12     46510 1.39252e+07    52.78  50.7235
2021-12-15 01:47:13     46654 1.39252e+07   53.391  51.3089
2021-12-15 01:47:14     46386 1.39252e+07  53.1895  51.1241
2021-12-15 01:47:15     45896 1.39252e+07  53.1115  51.0419
2021-12-15 01:47:16     46299 1.39252e+07   53.339  51.2576
2021-12-15 01:47:17     45976 1.39252e+07   52.572  50.5233
2021-12-15 01:47:18     45379 1.39252e+07  52.8385    50.78
2021-12-15 01:47:19     45983 1.39252e+07  52.5655   50.513
