        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-17 11:35:23       567 1.39157e+07  4.01895  3.94009
2021-12-17 11:35:24       565 1.39157e+07  4.15155  3.99965
2021-12-17 11:35:25       573 1.39157e+07  4.15155  4.07154
2021-12-17 11:35:26       581 1.39157e+07   4.2861  4.13367
2021-12-17 11:35:27       582 1.39157e+07   4.3446   4.2677
2021-12-17 11:35:28       572 1.39157e+07  4.40635   4.2677
2021-12-17 11:35:29       579 1.39157e+07  4.40635   4.2677
2021-12-17 11:35:30       585 1.39157e+07  4.40635  4.35756
2021-12-17 11:35:31       592 1.39157e+07   4.5448  4.35756
2021-12-17 11:35:32       584 1.39157e+07   4.5448  4.42534
2021-12-17 11:35:33       590 1.39157e+07   4.5448  4.42534
2021-12-17 11:35:34       590 1.39157e+07   4.5448  4.42534
2021-12-17 11:35:35       603 1.39157e+07   4.5448  4.42534
2021-12-17 11:35:36       598 1.39157e+07   4.6774  4.54704
2021-12-17 11:35:37       595 1.39157e+07   4.6774  4.54704
2021-12-17 11:35:38       596 1.39157e+07   4.6774  4.48337
2021-12-17 11:35:39       604 1.39157e+07   4.6774  4.48337
2021-12-17 11:35:40       606 1.39157e+07   4.6774  4.48337
2021-12-17 11:35:41       610 1.39157e+07  4.75345  4.62047
2021-12-17 11:35:42       605 1.39157e+07   4.8204  4.62047
2021-12-17 11:35:43       608 1.39157e+07  4.76645  4.62047
2021-12-17 11:35:44       602 1.39157e+07  4.76645  4.67182
2021-12-17 11:35:45       601 1.39157e+07  4.81975  4.56964
2021-12-17 11:35:46       607 1.39157e+07  4.81975  4.64872
2021-12-17 11:35:47       603 1.39157e+07  4.81975  4.64872
2021-12-17 11:35:48       604 1.39157e+07  4.81975  4.64872
2021-12-17 11:35:49       604 1.39157e+07  4.76515  4.56656
2021-12-17 11:35:50       603 1.39157e+07  4.76515  4.56656
2021-12-17 11:35:51       601 1.39157e+07  4.76515  4.56656
2021-12-17 11:35:52       597 1.39157e+07  4.76515  4.56656
2021-12-17 11:35:53       604 1.39157e+07  4.76515  4.56656
2021-12-17 11:35:54       602 1.39157e+07  4.76515  4.62663
2021-12-17 11:35:55       601 1.39157e+07  4.76515  4.56039
2021-12-17 11:35:56       601 1.39157e+07  4.76515  4.56039
2021-12-17 11:35:57       606 1.39157e+07  4.76515  4.56039
2021-12-17 11:35:58       599 1.39157e+07  4.76515  4.56039
2021-12-17 11:35:59       602 1.39157e+07  4.76515  4.56039
2021-12-17 11:36:00       600 1.39157e+07  4.76515  4.56039
2021-12-17 11:36:01       601 1.39157e+07  4.76515  4.56039
2021-12-17 11:36:02       608 1.39157e+07  4.76515  4.56039
2021-12-17 11:36:03       608 1.39157e+07  4.76515  4.65693
2021-12-17 11:36:04       603 1.39157e+07  4.76515  4.65693
2021-12-17 11:36:05       601 1.39157e+07  4.76515  4.65693
2021-12-17 11:36:06       601 1.39157e+07  4.76515  4.59377
2021-12-17 11:36:07       606 1.39157e+07  4.76515  4.59377
2021-12-17 11:36:08       605 1.39157e+07  4.76515  4.59377
2021-12-17 11:36:09       603 1.39157e+07  4.76515  4.59377
2021-12-17 11:36:10       611 1.39157e+07  4.76515  4.59377
2021-12-17 11:36:11       608 1.39157e+07  4.76515  4.68415
2021-12-17 11:36:12       607 1.39157e+07   4.8412  4.63074
2021-12-17 11:36:13       607 1.39157e+07  4.75475  4.63074
2021-12-17 11:36:14       607 1.39157e+07  4.75475  4.63074
2021-12-17 11:36:15       606 1.39157e+07  4.75475  4.63074
2021-12-17 11:36:16       607 1.39157e+07  4.75475  4.63074
2021-12-17 11:36:17       607 1.39157e+07  4.75475  4.63074
2021-12-17 11:36:18       611 1.39157e+07  4.83665  4.63074
2021-12-17 11:36:19       603 1.39157e+07  4.83665  4.63074
2021-12-17 11:36:20       603 1.39157e+07  4.83665  4.63074
2021-12-17 11:36:21       598 1.39157e+07   4.7723  4.56501
2021-12-17 11:36:22       604 1.39157e+07   4.6839  4.56501
2021-12-17 11:36:23       599 1.39157e+07  4.80025  4.62715
2021-12-17 11:36:24       606 1.39157e+07   4.7034  4.56707
2021-12-17 11:36:25       605 1.39157e+07   4.7879  4.56707
2021-12-17 11:36:26       603 1.39157e+07   4.7307  4.56707
2021-12-17 11:36:27       603 1.39157e+07   4.7307  4.56707
2021-12-17 11:36:28       689 1.39157e+07   4.7307  4.56707
2021-12-17 11:36:29      1083 1.39157e+07  5.15515  8.10508
2021-12-17 11:36:30      1080 1.39157e+07  11.8593   11.792
2021-12-17 11:36:31      1090 1.39157e+07  12.2115  11.9414
2021-12-17 11:36:32      1088 1.39157e+07   12.493  12.0174
2021-12-17 11:36:33      1087 1.39157e+07  12.4332  12.0174
2021-12-17 11:36:34      1049 1.39157e+07  12.3741  11.7124
2021-12-17 11:36:35      1032 1.39157e+07  11.6948  11.2847
2021-12-17 11:36:36      1039 1.39157e+07  11.6948  11.1214
2021-12-17 11:36:37      1052 1.39157e+07  11.5674  11.2205
2021-12-17 11:36:38      1030 1.39157e+07  11.7156  11.3817
2021-12-17 11:36:39       989 1.39157e+07  11.7156  11.1101
2021-12-17 11:36:40       996 1.39157e+07  11.0675   10.461
2021-12-17 11:36:41       993 1.39157e+07  10.7673   10.461
2021-12-17 11:36:42      1015 1.39157e+07  10.8537   10.461
2021-12-17 11:36:43       991 1.39157e+07  10.8537  10.6243
2021-12-17 11:36:44       971 1.39157e+07  11.0299  10.5067
2021-12-17 11:36:45       961 1.39157e+07  10.6041  10.1272
2021-12-17 11:36:46       957 1.39157e+07  10.4598  10.1272
