        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-05 08:43:52       329 1.38946e+07        0        0
2021-12-05 08:43:53       329 1.38946e+07        0        0
2021-12-05 08:43:54       324 1.38946e+07        0        0
2021-12-05 08:43:55       328 1.38946e+07        0        0
2021-12-05 08:43:56       330 1.38946e+07        0        0
2021-12-05 08:43:57       330 1.38946e+07        0        0
2021-12-05 08:43:58       334 1.38946e+07        0        0
2021-12-05 08:43:59       330 1.38946e+07        0        0
2021-12-05 08:44:00       333 1.38946e+07        0        0
2021-12-05 08:44:01       330 1.38946e+07        0        0
2021-12-05 08:44:02       331 1.38946e+07        0        0
2021-12-05 08:44:03       330 1.38946e+07        0        0
2021-12-05 08:44:04       330 1.38946e+07        0        0
2021-12-05 08:44:05       332 1.38946e+07        0        0
2021-12-05 08:44:06       328 1.38946e+07        0        0
2021-12-05 08:44:07       329 1.38946e+07        0        0
2021-12-05 08:44:08      3406 1.38946e+07     0.78   0.6162
2021-12-05 08:44:09      3622 1.38946e+07     1.95   1.5405
2021-12-05 08:44:10      3679 1.38946e+07      3.9    3.081
2021-12-05 08:44:11      3638 1.38946e+07      7.8    6.162
2021-12-05 08:44:12      3643 1.38946e+07     19.5   15.405
2021-12-05 08:44:13      3636 1.38946e+07  38.7732    30.81
2021-12-05 08:44:14      3678 1.38946e+07  48.2508   46.673
2021-12-05 08:44:15      3662 1.38946e+07  47.2972   45.491
2021-12-05 08:44:16      3644 1.38946e+07  31.3072  30.1964
2021-12-05 08:44:17      3637 1.38946e+07  31.4015  30.2837
2021-12-05 08:44:18      3645 1.38946e+07  31.0472  29.9448
2021-12-05 08:44:19      3673 1.38946e+07   31.408  30.2888
2021-12-05 08:44:20      3636 1.38946e+07  31.6095  30.4865
2021-12-05 08:44:21      3600 1.38946e+07   31.148  30.0397
2021-12-05 08:44:22      3645 1.38946e+07  30.9237  29.8215
2021-12-05 08:44:23      3658 1.38946e+07  31.2423  30.1373
2021-12-05 08:44:24      3669 1.38946e+07  31.5055  30.3864
2021-12-05 08:44:25      3648 1.38946e+07  31.5055  30.3864
2021-12-05 08:44:26      3669 1.38946e+07  31.2682  30.1553
2021-12-05 08:44:27      3678 1.38946e+07  31.5607  30.4403
2021-12-05 08:44:28      3678 1.38946e+07  31.5607  30.4403
