        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-12-05 10:03:16     81632 1.39434e+07   94.289  90.5095
2021-12-05 10:03:17     81252 1.39434e+07   94.003  90.4171
2021-12-05 10:03:18     81083 1.39434e+07   93.392  90.3657
2021-12-05 10:03:19     81629 1.39434e+07   93.613  90.2836
2021-12-05 10:03:20     82002 1.39434e+07    94.12  90.6841
2021-12-05 10:03:21     81894 1.39434e+07   94.172    91.29
2021-12-05 10:03:22     81237 1.39434e+07   94.757  90.9922
2021-12-05 10:03:23     81322 1.39434e+07   94.081  90.3965
2021-12-05 10:03:24     79795 1.39434e+07   93.444  89.6366
2021-12-05 10:03:25     81999 1.39434e+07   92.313  89.3695
2021-12-05 10:03:26     82455 1.39434e+07   94.159  91.6906
2021-12-05 10:03:27     80799 1.39434e+07   94.952  91.0846
2021-12-05 10:03:28     80578 1.39434e+07    93.99  90.1603
2021-12-05 10:03:29     81284 1.39434e+07   93.015  89.8214
2021-12-05 10:03:30     80346 1.39434e+07   93.236  89.9755
2021-12-05 10:03:31     80286 1.39434e+07   93.158  89.8933
2021-12-05 10:03:32     80207 1.39434e+07   93.405  89.1641
2021-12-05 10:03:33     80579 1.38732e+07   91.793  89.2874
2021-12-05 10:03:34     82217 1.38732e+07   92.456  89.5133
2021-12-05 10:03:35     81948 1.38732e+07   94.406  91.7008
2021-12-05 10:03:36     81539 1.38732e+07   94.965  91.2798
2021-12-05 10:03:37     81504 1.38732e+07   93.834  90.5095
2021-12-05 10:03:38     81872 1.38732e+07   93.834  90.7663
2021-12-05 10:03:39     81599 1.38732e+07   94.198  90.7663
2021-12-05 10:03:40     82405 1.38732e+07   94.848  91.2489
2021-12-05 10:03:41     82721 1.38732e+07   94.484  91.7419
2021-12-05 10:03:42     82205 1.38732e+07   94.757  91.1257
2021-12-05 10:03:43     82163 1.38732e+07   95.004  92.0192
2021-12-05 10:03:44     82546 1.38732e+07   95.355  91.7008
2021-12-05 10:03:45     82084 1.38732e+07   94.835  91.4338
2021-12-05 10:03:46     82084 1.38732e+07   94.835  91.7419
2021-12-05 10:03:47     81323 1.38732e+07   94.575  90.8176
2021-12-05 10:03:48     82155 1.38732e+07   93.938  91.1257
2021-12-05 10:03:49     80658 1.38732e+07   94.562  90.4068
2021-12-05 10:03:50     81745 1.38732e+07    92.69  89.6366
2021-12-05 10:03:51     80247 1.38732e+07   94.289  90.3965
2021-12-05 10:03:52     80723   1.395e+07   92.794  89.3079
2021-12-05 10:03:53     80626   1.395e+07   92.872  89.2463
2021-12-05 10:03:54     80370   1.395e+07    92.95  90.7457
2021-12-05 10:03:55     81842   1.395e+07    93.21  89.6263
2021-12-05 10:03:56     81311 1.38703e+07   93.535    90.53
2021-12-05 10:03:57     80966 1.38703e+07   93.795  90.8176
2021-12-05 10:03:58     80762 1.38703e+07   93.691  90.3349
2021-12-05 10:03:59     81625 1.38703e+07     93.6  89.4003
2021-12-05 10:04:00     81045 1.38703e+07   92.898  90.9203
2021-12-05 10:04:01     81130 1.38703e+07   94.042  90.0268
2021-12-05 10:04:02     81161 1.38703e+07   93.223  90.3246
2021-12-05 10:04:03     81061 1.38703e+07   93.769  90.3863
2021-12-05 10:04:04     81684 1.38703e+07   93.769   90.489
2021-12-05 10:04:05     80515 1.38703e+07   93.769  90.8484
2021-12-05 10:04:06     81549 1.38703e+07   94.107  90.1501
2021-12-05 10:04:07     80737 1.38703e+07   93.067  90.0165
2021-12-05 10:04:08     81763 1.38703e+07   93.951  90.3555
2021-12-05 10:04:09     79953 1.38703e+07   93.054  90.1501
2021-12-05 10:04:10     81040 1.38703e+07   93.769  89.5544
2021-12-05 10:04:11     80632 1.38703e+07   92.924  90.0474
2021-12-05 10:04:12     81222 1.38703e+07   93.262  90.2014
2021-12-05 10:04:13     80900 1.38703e+07   93.548  90.2014
2021-12-05 10:04:14     80936 1.38703e+07   93.457  90.1501
2021-12-05 10:04:15     80710 1.38703e+07   93.457  90.1501
2021-12-05 10:04:16     81869 1.38703e+07   93.288  90.0884
2021-12-05 10:04:17     81869 1.38703e+07   93.184  90.6636
2021-12-05 10:04:18     81912 1.38703e+07   94.276  90.3965
2021-12-05 10:04:19     80198 1.40161e+07   94.393  89.9857
2021-12-05 10:04:20     80437  1.3898e+07   92.378   89.462
2021-12-05 10:04:21     81111  1.3898e+07   92.924  90.0884
2021-12-05 10:04:22     80708  1.3898e+07   93.483  89.7495
2021-12-05 10:04:23     80407  1.3898e+07   92.859  89.8625
2021-12-05 10:04:24     81955  1.3898e+07   93.171  89.8625
2021-12-05 10:04:25     80580  1.3898e+07   94.289  91.6906
2021-12-05 10:04:26     80558  1.3898e+07   93.522  89.1539
2021-12-05 10:04:27     81221  1.3898e+07   92.872  89.4106
2021-12-05 10:04:28     81597  1.3898e+07   93.132   90.643
2021-12-05 10:04:29     72097  1.3898e+07   94.003  89.3285
2021-12-05 10:04:30     69894  1.3898e+07     87.1  78.7606
2021-12-05 10:04:31     70160  1.3898e+07    80.21  77.8055
2021-12-05 10:04:32     70248  1.3898e+07   80.977  78.2574
2021-12-05 10:04:33     70634  1.3898e+07   81.367  77.9082
2021-12-05 10:04:34     71069  1.3898e+07   81.068  78.8839
2021-12-05 10:04:35     70385  1.3898e+07   81.978  78.8839
2021-12-05 10:04:36     70204  1.3898e+07   82.121   78.319
2021-12-05 10:04:37     70742  1.3898e+07   80.132  78.0828
2021-12-05 10:04:38     70621  1.3898e+07   81.679  78.6066
2021-12-05 10:04:39     71029  1.3898e+07   81.003  78.4936
2021-12-05 10:04:40     70203  1.3898e+07   81.978  79.0276
2021-12-05 10:04:41     70472  1.3898e+07   81.588  78.1752
2021-12-05 10:04:42     71366  1.3898e+07   80.639  78.1752
2021-12-05 10:04:43     70007  1.3898e+07   81.679  79.1201
2021-12-05 10:04:44     71460  1.3898e+07   81.952  78.4423
2021-12-05 10:04:45     70822  1.3997e+07   81.341  78.8839
2021-12-05 10:04:46     70759 1.38862e+07   82.082  78.8839
2021-12-05 10:04:47     70759 1.38862e+07   81.497  78.7504
2021-12-05 10:04:48     70822 1.38862e+07   81.679  79.0995
2021-12-05 10:04:49     71912 1.38862e+07   81.809  78.9763
2021-12-05 10:04:50     72400 1.38862e+07   82.927  80.6298
2021-12-05 10:04:51     72551 1.38862e+07   83.616  80.6914
2021-12-05 10:04:52     71915 1.38862e+07   83.408  80.2909
2021-12-05 10:04:53     71488 1.38862e+07   83.005  80.3422
2021-12-05 10:04:54     73021 1.38862e+07   82.914  80.2087
2021-12-05 10:04:55     72307 1.38862e+07   83.941  80.6811
2021-12-05 10:04:56     72632 1.38862e+07   83.252  79.9109
2021-12-05 10:04:57     71602 1.38862e+07    83.59   81.287
2021-12-05 10:04:58     73220 1.38862e+07   83.408  80.0033
2021-12-05 10:04:59     71503 1.38862e+07   83.811  80.5065
2021-12-05 10:05:00     72496 1.38862e+07   82.927  80.3936
2021-12-05 10:05:01     72320 1.38862e+07   83.473  80.2292
2021-12-05 10:05:02     71319 1.38862e+07   83.343  80.2292
2021-12-05 10:05:03     71486 1.38862e+07   82.511  79.3049
2021-12-05 10:05:04     71520 1.38862e+07   82.602  79.5103
2021-12-05 10:05:05     70925 1.38862e+07   82.511  79.3255
2021-12-05 10:05:06     71284 1.38862e+07   81.497  78.6682
2021-12-05 10:05:07     71000 1.38862e+07   81.614  79.4282
2021-12-05 10:05:08     73088 1.38862e+07   82.979  78.7812
2021-12-05 10:05:09     70450  1.4016e+07   81.783  80.7017
2021-12-05 10:05:10     71038 1.38938e+07   83.551   79.079
2021-12-05 10:05:11     72112 1.38938e+07   81.445  78.8017
2021-12-05 10:05:12     71457 1.38938e+07   82.225   79.993
2021-12-05 10:05:13     71515 1.38938e+07   83.265  79.9314
2021-12-05 10:05:14     72146 1.38938e+07   82.797  79.8801
2021-12-05 10:05:15     71168 1.38938e+07   82.537  79.6747
2021-12-05 10:05:16     71135 1.38938e+07   82.979  79.5514
2021-12-05 10:05:17     70544 1.38938e+07   82.108  79.3768
2021-12-05 10:05:18     70544 1.38938e+07   81.874   78.052
2021-12-05 10:05:19     71699 1.38938e+07   81.874  79.8287
2021-12-05 10:05:20     71673 1.38938e+07   82.862  80.0444
2021-12-05 10:05:21     71316 1.38938e+07   82.082  78.8531
2021-12-05 10:05:22     70833 1.38938e+07    82.16  78.7914
2021-12-05 10:05:23     71319 1.38938e+07   81.679  79.9828
2021-12-05 10:05:24     72409 1.38938e+07   82.394  79.2947
2021-12-05 10:05:25     71233 1.38938e+07    83.33  80.3319
2021-12-05 10:05:26     72494 1.38938e+07   82.264  79.6747
2021-12-05 10:05:27     71624 1.38938e+07   83.187  79.8184
2021-12-05 10:05:28     71638 1.38938e+07    82.68  79.5001
2021-12-05 10:05:29     71426 1.38938e+07    82.68  80.0957
2021-12-05 10:05:30     71590 1.38938e+07   82.745  79.3563
2021-12-05 10:05:31     72134 1.38938e+07   82.368  79.7363
2021-12-05 10:05:32     72212 1.38938e+07   82.992  80.4346
2021-12-05 10:05:33     72263 1.38938e+07   83.525    80.26
2021-12-05 10:05:34     71348 1.40037e+07   83.278  80.0752
2021-12-05 10:05:35     72215 1.38679e+07   82.706  79.5617
2021-12-05 10:05:36     71339 1.38679e+07   83.005   80.219
2021-12-05 10:05:37     70212 1.38679e+07   82.745  79.6336
2021-12-05 10:05:38     71347 1.38679e+07   81.692  78.1444
2021-12-05 10:05:39     70523 1.40032e+07   81.328  79.3049
2021-12-05 10:05:40     71728 1.38922e+07   82.121  78.5655
2021-12-05 10:05:41     72320 1.38922e+07   81.861  79.5617
2021-12-05 10:05:42     72289 1.38922e+07   82.537  80.1882
2021-12-05 10:05:43     72515 1.38922e+07   83.434   80.486
2021-12-05 10:05:44     72709 1.38922e+07   83.759   80.753
2021-12-05 10:05:45     72416 1.38922e+07   83.317  80.5887
2021-12-05 10:05:46     73033 1.38922e+07   83.369  80.2498
2021-12-05 10:05:47     71673 1.38922e+07   83.915  81.5027
2021-12-05 10:05:48     71778 1.38922e+07   83.538  79.7979
2021-12-05 10:05:49     71778 1.38922e+07   83.057  80.1676
2021-12-05 10:05:50     72376 1.38922e+07    82.81  80.3011
2021-12-05 10:05:51     72656 1.38922e+07    83.07   80.486
2021-12-05 10:05:52     71328 1.38922e+07   84.175   79.613
2021-12-05 10:05:53     72116 1.38922e+07   82.342  80.2806
2021-12-05 10:05:54     71898 1.38922e+07   83.291  80.1573
2021-12-05 10:05:55     72785 1.38922e+07   82.823  80.6092
2021-12-05 10:05:56     72621 1.38922e+07   83.902  81.1022
2021-12-05 10:05:57     73074 1.38922e+07   83.694  80.8146
2021-12-05 10:05:58     71692 1.38922e+07   83.993  80.4244
2021-12-05 10:05:59     72538 1.38922e+07   82.745  80.1471
2021-12-05 10:06:00     72046 1.38922e+07   83.733  81.0919
2021-12-05 10:06:01     72078 1.38922e+07    83.46  80.0546
2021-12-05 10:06:02     72736 1.38922e+07    83.07  79.8595
2021-12-05 10:06:03     72235 1.38922e+07    83.33  80.6195
2021-12-05 10:06:04     68374 1.38922e+07   83.421  80.5476
2021-12-05 10:06:05     60247 1.38922e+07   82.706  74.2521
2021-12-05 10:06:06     59974 1.38922e+07   70.798  66.7755
2021-12-05 10:06:07     60997 1.38922e+07   69.134  67.0117
2021-12-05 10:06:08     59751 1.38922e+07   70.057  67.0117
2021-12-05 10:06:09     61511 1.38922e+07   68.588  66.7242
2021-12-05 10:06:10     61423 1.38922e+07   70.733   68.275
2021-12-05 10:06:11     61060 1.38922e+07   70.655  68.1825
2021-12-05 10:06:12     60479 1.38922e+07   70.551  68.0593
