        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-01 21:27:49       341 1.38024e+07        0        0
2022-02-01 21:27:50       343 1.38024e+07        0        0
2022-02-01 21:27:51       744 1.38024e+07        0        0
2022-02-01 21:27:52      1915 1.38024e+07     0.78        0
2022-02-01 21:27:53      1902 1.38024e+07     1.95   1.5405
2022-02-01 21:27:54      1886 1.38024e+07      3.9    3.081
2022-02-01 21:27:55      1912 1.38024e+07      7.8    6.162
2022-02-01 21:27:56      1876 1.38024e+07     19.5   15.405
2022-02-01 21:27:57      1898 1.38024e+07  37.0546    30.81
2022-02-01 21:27:58      1907 1.38024e+07  44.2156  42.2908
2022-02-01 21:27:59      1892 1.38024e+07  43.3452  42.6154
2022-02-01 21:28:00      1867 1.38024e+07  28.5642   27.747
2022-02-01 21:28:01      1871 1.38024e+07  28.1157  27.1179
2022-02-01 21:28:02      1880 1.38024e+07   28.431  27.2129
2022-02-01 21:28:03      3287 1.38024e+07   28.223  27.2129
2022-02-01 21:28:04      3964 1.38024e+07   50.882  31.6085
2022-02-01 21:28:05      3967 1.38024e+07  67.2945  62.9577
2022-02-01 21:28:06      3988 1.38024e+07  66.6413  103.917
2022-02-01 21:28:07      3995 1.38024e+07   67.522  64.3878
2022-02-01 21:28:08      4483 1.38024e+07   67.314  65.0656
2022-02-01 21:28:09      4688 1.38024e+07  72.9885  65.0656
2022-02-01 21:28:10      4663 1.38024e+07    79.56  76.4653
2022-02-01 21:28:11      6153 1.38024e+07  128.349   76.758
2022-02-01 21:28:12      6395 1.38024e+07  94.2825  78.0212
2022-02-01 21:28:13      6522 1.38024e+07  113.067  105.817
2022-02-01 21:28:14      7817 1.38024e+07  113.243  107.984
2022-02-01 21:28:15      8225 1.38024e+07  124.241  109.858
2022-02-01 21:28:16      8280 1.38024e+07  142.772  133.608
2022-02-01 21:28:17      8193 1.38024e+07  146.939  204.948
2022-02-01 21:28:18      8977 1.38024e+07  145.444   141.49
2022-02-01 21:28:19      9096 1.38024e+07  149.435  139.169
2022-02-01 21:28:20      9096 1.38024e+07  161.986  152.078
2022-02-01 21:28:21      9025 1.38024e+07  243.191  155.745
2022-02-01 21:28:22      9059 1.38024e+07  161.538  153.773
2022-02-01 21:28:23      9069 1.38024e+07  159.991  155.344
2022-02-01 21:28:24      8995 1.38024e+07  160.797  154.974
2022-02-01 21:28:25      8881 1.38024e+07  157.573  152.951
2022-02-01 21:28:26      9081 1.38024e+07  159.627  152.407
2022-02-01 21:28:27      9010 1.38024e+07  159.926  153.937
2022-02-01 21:28:28      8997 1.38024e+07  161.512  154.605
2022-02-01 21:28:29      9047 1.38024e+07  159.445  155.272
2022-02-01 21:28:30      8799 1.38024e+07  159.757  153.321
2022-02-01 21:28:31      9007 1.38024e+07  157.547  153.321
2022-02-01 21:28:32      9060 1.38024e+07  159.523  152.869
2022-02-01 21:28:33      8846 1.38024e+07  159.653  152.715
2022-02-01 21:28:34      9115 1.38024e+07  159.042  153.424
2022-02-01 21:28:35      8962 1.38024e+07  160.732  155.015
2022-02-01 21:28:36      8980 1.38024e+07  157.833  152.756
2022-02-01 21:28:37      8993 1.38024e+07  158.652  152.756
2022-02-01 21:28:38      8939 1.38024e+07  158.873  152.756
2022-02-01 21:28:39      8943 1.38024e+07  158.067  152.212
2022-02-01 21:28:40      8877 1.38024e+07    158.6  151.945
2022-02-01 21:28:41      8846 1.38024e+07  157.469  153.516
2022-02-01 21:28:42      9029 1.38024e+07  156.858  151.236
2022-02-01 21:28:43      8889 1.38024e+07  158.522  151.883
2022-02-01 21:28:44      8900 1.38024e+07  158.002  152.438
2022-02-01 21:28:45      8931 1.38024e+07  156.429  151.955
2022-02-01 21:28:46      8965 1.38024e+07  157.807  151.359
2022-02-01 21:28:47      8972 1.38024e+07  159.133  152.551
2022-02-01 21:28:48      8641 1.38024e+07  158.366   153.29
2022-02-01 21:28:49      8878 1.38024e+07  156.585  151.873
2022-02-01 21:28:50      8780 1.38024e+07  156.143  149.367
2022-02-01 21:28:51      8780 1.38024e+07  156.091  151.657
2022-02-01 21:28:52      8897 1.38024e+07  157.287  149.398
2022-02-01 21:28:53      8776 1.38024e+07  156.117  151.215
2022-02-01 21:28:54      8798 1.38024e+07  154.895  149.398
2022-02-01 21:28:55      8885 1.38024e+07  155.922  150.117
2022-02-01 21:28:56      8907 1.38024e+07  156.845  151.164
2022-02-01 21:28:57      8721 1.38024e+07  156.429  152.242
2022-02-01 21:28:58      8734 1.38024e+07  154.856   148.35
2022-02-01 21:28:59      8709 1.38024e+07  154.375  148.289
2022-02-01 21:29:00      8748 1.38024e+07   155.35  150.045
2022-02-01 21:29:01      8981 1.38024e+07  154.401  148.915
2022-02-01 21:29:02      8792 1.38024e+07  156.104  149.387
2022-02-01 21:29:03      8706 1.38024e+07  155.558  151.185
2022-02-01 21:29:04      8902 1.38024e+07  155.207  149.521
2022-02-01 21:29:05      8893 1.38024e+07  157.625  150.384
2022-02-01 21:29:06      9064 1.38024e+07  157.417  151.308
2022-02-01 21:29:07      8906 1.38024e+07  158.678  151.975
2022-02-01 21:29:08      8885 1.38024e+07  156.949  152.109
2022-02-01 21:29:09      8730 1.38024e+07    157.3  151.739
2022-02-01 21:29:10      8865 1.38024e+07  155.233  149.254
2022-02-01 21:29:11      8962 1.38024e+07  154.752  150.527
2022-02-01 21:29:12      8827 1.38024e+07  157.729  150.065
2022-02-01 21:29:13      8796 1.38024e+07  156.351  151.914
2022-02-01 21:29:14      8845 1.38024e+07  154.869  149.264
2022-02-01 21:29:15      8689 1.38024e+07  155.883  149.439
2022-02-01 21:29:16      8754 1.38024e+07  153.686  149.131
2022-02-01 21:29:17      8829 1.38024e+07  155.883  148.576
2022-02-01 21:29:18      8630 1.38024e+07  154.128  147.991
2022-02-01 21:29:19      8720 1.38024e+07    153.4  150.045
2022-02-01 21:29:20      8747 1.38024e+07   152.88  146.368
2022-02-01 21:29:21      8846 1.38024e+07  154.687   147.97
2022-02-01 21:29:22      8846 1.38024e+07  153.257  148.463
2022-02-01 21:29:23      8601 1.39219e+07  155.792  149.521
2022-02-01 21:29:24      8673 1.37986e+07  152.529   147.97
2022-02-01 21:29:25      8589 1.37986e+07  153.179  147.498
2022-02-01 21:29:26      8806 1.37986e+07  151.671  146.296
2022-02-01 21:29:27      8727 1.37986e+07  153.894  147.939
2022-02-01 21:29:28      8740 1.37986e+07  153.894  147.734
2022-02-01 21:29:29      8757 1.37986e+07  153.634  148.494
2022-02-01 21:29:30      8574 1.37986e+07  154.206  147.796
2022-02-01 21:29:31      8638 1.37986e+07  153.322   148.74
2022-02-01 21:29:32      8728 1.37986e+07  153.062  146.471
2022-02-01 21:29:33      8797 1.37986e+07   153.66  148.114
2022-02-01 21:29:34      8629 1.37986e+07  153.335  147.713
2022-02-01 21:29:35      8608 1.37986e+07  152.698  146.625
2022-02-01 21:29:36      8723 1.37986e+07  153.101  148.278
2022-02-01 21:29:37      8608 1.37986e+07   152.49  146.635
2022-02-01 21:29:38      8709 1.37986e+07   152.49   147.58
2022-02-01 21:29:39      8590 1.37986e+07  153.361  147.426
2022-02-01 21:29:40      8555 1.37986e+07  152.815  147.097
2022-02-01 21:29:41      8641 1.37986e+07  151.164   146.08
2022-02-01 21:29:42      8545 1.37986e+07  151.736  145.906
2022-02-01 21:29:43      8670 1.37986e+07  150.787  145.218
2022-02-01 21:29:44      8829 1.37986e+07  152.607  146.132
2022-02-01 21:29:45      8701 1.37986e+07  153.829  147.231
2022-02-01 21:29:46      8724 1.37986e+07  155.311  149.839
2022-02-01 21:29:47      8906 1.37986e+07  153.881  148.391
2022-02-01 21:29:48      8644 1.37986e+07  156.182  148.833
2022-02-01 21:29:49      8792 1.37986e+07  153.894  150.209
2022-02-01 21:29:50      8854 1.37986e+07  155.038  148.525
2022-02-01 21:29:51      8689 1.37986e+07  154.375  148.617
2022-02-01 21:29:52      8750 1.37986e+07   155.48  150.106
2022-02-01 21:29:53      8750 1.37986e+07  153.881  147.939
2022-02-01 21:29:54      8792 1.37986e+07   154.44  148.268
