        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-01 21:48:41       391 1.38028e+07        0        0
2022-02-01 21:48:42       391 1.38028e+07        0        0
2022-02-01 21:48:43       387 1.38028e+07        0        0
2022-02-01 21:48:44       389 1.38028e+07        0        0
2022-02-01 21:48:45       385 1.38028e+07        0        0
2022-02-01 21:48:46       385 1.38028e+07        0        0
2022-02-01 21:48:47       388 1.38028e+07        0        0
2022-02-01 21:48:48       388 1.38028e+07        0        0
2022-02-01 21:48:49       385 1.38028e+07        0        0
2022-02-01 21:48:50      2783 1.38028e+07        0        0
2022-02-01 21:48:51      9671 1.38028e+07        0        0
2022-02-01 21:48:52      9789 1.38028e+07     1.95   0.6162
2022-02-01 21:48:53      9562 1.38028e+07      3.9   1.5405
2022-02-01 21:48:54      9562 1.38028e+07      7.8    3.081
2022-02-01 21:48:55      9803 1.38028e+07  16.4882    6.162
2022-02-01 21:48:56      9548 1.38028e+07  16.6653  14.2317
2022-02-01 21:48:57      9673 1.38028e+07  16.4593   15.917
2022-02-01 21:48:58      9736 1.38028e+07  10.6691  16.0407
2022-02-01 21:48:59      9625 1.38028e+07  10.6691  10.3337
2022-02-01 21:49:00      9649 1.38028e+07  10.6691  10.2279
2022-02-01 21:49:01      9547 1.38028e+07  10.7614  10.2279
2022-02-01 21:49:02      9639 1.38028e+07  10.5599  10.2279
2022-02-01 21:49:03      9620 1.38028e+07  10.6834  10.2279
2022-02-01 21:49:04      9582 1.38028e+07  10.5794  10.2279
2022-02-01 21:49:05      9643 1.38028e+07  10.5794  10.1088
2022-02-01 21:49:06      9627 1.38028e+07  10.6613  10.3563
2022-02-01 21:49:07      9727 1.38028e+07  10.6613  10.2022
2022-02-01 21:49:08      9549 1.38028e+07  10.8251  10.2803
2022-02-01 21:49:09      9633 1.38028e+07  10.5781  10.2197
2022-02-01 21:49:10      9672 1.38028e+07  10.5781  10.2197
2022-02-01 21:49:11      9601 1.38028e+07  10.7887  10.2197
2022-02-01 21:49:12      9746 1.38028e+07  10.5924  10.2197
2022-02-01 21:49:13      9670 1.38028e+07    10.79  10.2197
2022-02-01 21:49:14      9692 1.38028e+07  10.7354  10.2864
2022-02-01 21:49:15      9762 1.38028e+07  10.7354  10.3511
2022-02-01 21:49:16      9776 1.38028e+07  10.7354  10.3511
2022-02-01 21:49:17      9551 1.38028e+07  10.7354  10.2844
2022-02-01 21:49:18      9836 1.38028e+07  10.7354  10.3748
2022-02-01 21:49:19      9760 1.38028e+07  10.8446  10.3748
2022-02-01 21:49:20      9594 1.38028e+07  10.7341  10.3748
2022-02-01 21:49:21      9794 1.38028e+07  10.7341  10.2885
2022-02-01 21:49:22      9665 1.38028e+07  10.7341  10.2885
2022-02-01 21:49:23      9710 1.38028e+07  10.7861  10.4148
2022-02-01 21:49:24      9815 1.38028e+07  10.6782  10.2361
2022-02-01 21:49:25      9815 1.38028e+07  10.9031  10.3234
2022-02-01 21:49:26      9635 1.38028e+07  10.7367  10.3984
2022-02-01 21:49:27      9792 1.38028e+07  10.8329  10.3265
2022-02-01 21:49:28      9654 1.38028e+07  10.7822  10.4579
2022-02-01 21:49:29      9743 1.38028e+07  10.7822  10.2361
2022-02-01 21:49:30      9660 1.38028e+07  10.6925  10.3706
2022-02-01 21:49:31      9681 1.38028e+07  10.6106  10.1919
2022-02-01 21:49:32      9555 1.38028e+07  10.7081  10.2895
2022-02-01 21:49:33      9737 1.38028e+07  10.7081  10.1889
2022-02-01 21:49:34      9606 1.38028e+07  10.7848  10.2905
2022-02-01 21:49:35      9785 1.38028e+07  10.7224  10.2905
2022-02-01 21:49:36      9616 1.38028e+07  10.7224  10.2905
2022-02-01 21:49:37      9718 1.38028e+07    10.79  10.2905
2022-02-01 21:49:38      9865 1.38028e+07    10.79  10.3624
2022-02-01 21:49:39      9637 1.38028e+07    10.79  10.4713
2022-02-01 21:49:40      9625 1.38028e+07  10.6912  10.2638
2022-02-01 21:49:41      9593 1.38028e+07  10.6912  10.2638
2022-02-01 21:49:42      9623 1.38028e+07  10.6327  10.2638
2022-02-01 21:49:43      9685 1.38028e+07  10.7471  10.2638
2022-02-01 21:49:44      5181 1.38028e+07  10.7471  10.3193
2022-02-01 21:49:45       330 1.38028e+07   5.9202  9.82017
2022-02-01 21:49:46       330 1.38028e+07        0 0.992082
2022-02-01 21:49:47       326 1.38028e+07        0        0
2022-02-01 21:49:48       331 1.38028e+07        0        0
2022-02-01 21:49:49       331 1.38028e+07        0        0
2022-02-01 21:49:50       328 1.38028e+07        0        0
2022-02-01 21:49:51       334 1.38028e+07        0        0
2022-02-01 21:49:52       328 1.38028e+07        0        0
2022-02-01 21:49:53       332 1.39232e+07        0        0
2022-02-01 21:49:54       328 1.38003e+07        0        0
2022-02-01 21:49:55       330 1.38003e+07        0        0
2022-02-01 21:49:56       330 1.38003e+07        0        0
2022-02-01 21:49:57       331 1.38003e+07        0        0
2022-02-01 21:49:58       332 1.38003e+07        0        0
2022-02-01 21:49:59       329 1.38003e+07        0        0
2022-02-01 21:50:00       325 1.38003e+07        0        0
2022-02-01 21:50:01       326 1.38003e+07        0        0
2022-02-01 21:50:02       327 1.38003e+07        0        0
2022-02-01 21:50:03       322 1.38003e+07        0        0
2022-02-01 21:50:04       325 1.38003e+07        0        0
2022-02-01 21:50:05       323 1.38003e+07        0        0
2022-02-01 21:50:06       321 1.38003e+07        0        0
2022-02-01 21:50:07       322 1.38003e+07        0        0
2022-02-01 21:50:08       320 1.38003e+07        0        0
2022-02-01 21:50:09       322 1.38003e+07        0        0
2022-02-01 21:50:10       326 1.38003e+07        0        0
2022-02-01 21:50:11       325 1.38003e+07        0        0
2022-02-01 21:50:12       327 1.38003e+07        0        0
2022-02-01 21:50:13      5402 1.38003e+07        0        0
2022-02-01 21:50:14      9698 1.38003e+07     0.78        0
2022-02-01 21:50:15      9668 1.38003e+07     1.95   1.5405
2022-02-01 21:50:16      9665 1.38003e+07      3.9    3.081
2022-02-01 21:50:17      9439 1.38003e+07      7.8    6.162
2022-02-01 21:50:18      9662 1.38003e+07  16.4086  14.1944
2022-02-01 21:50:19      9643 1.38003e+07  16.4086  15.6607
2022-02-01 21:50:20      9600 1.38003e+07   16.523   15.901
2022-02-01 21:50:21      9662 1.38003e+07  10.6847  10.2248
2022-02-01 21:50:22      9903 1.38003e+07  10.6847  10.2248
2022-02-01 21:50:23      9602 1.38003e+07  10.8121  10.2248
2022-02-01 21:50:24      9522 1.38003e+07  10.7536   10.424
2022-02-01 21:50:25      9719 1.38003e+07   10.673  10.2772
