        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-02 11:28:12       967 1.37908e+07        0        0
2022-02-02 11:28:13      1830 1.37908e+07        0        0
2022-02-02 11:28:14      1845 1.37908e+07     0.78   0.6162
2022-02-02 11:28:15      1831 1.37908e+07     1.95   1.5405
2022-02-02 11:28:16      1860 1.37908e+07      3.9    3.081
2022-02-02 11:28:17      1815 1.36226e+07      7.8    6.162
2022-02-02 11:28:18      1840  1.2894e+07     19.5   15.405
2022-02-02 11:28:19      1870 1.38541e+07  26.5655  25.5744
2022-02-02 11:28:20      1852 1.37423e+07  26.9425  25.8948
2022-02-02 11:28:21      1821 1.38421e+07  17.4239  25.2206
2022-02-02 11:28:22      1863 1.38421e+07  17.0352  16.4038
2022-02-02 11:28:23      1851 1.37012e+07  17.2016  16.5604
2022-02-02 11:28:24      1851 1.37012e+07  17.4018  16.7581
2022-02-02 11:28:25      1821 1.37012e+07  17.3095  16.6656
2022-02-02 11:28:26      1838 1.38206e+07  17.0599  16.4192
2022-02-02 11:28:27      1839 1.38206e+07  17.2835    16.64
2022-02-02 11:28:28      1865 1.38206e+07  17.0664   16.432
2022-02-02 11:28:29      1854 1.38206e+07  17.3732  16.7273
2022-02-02 11:28:30      1658 1.38206e+07  17.3173  16.6708
2022-02-02 11:28:31      1601 1.38206e+07  15.7664  15.1637
2022-02-02 11:28:32      1618 1.38206e+07   14.404  13.8619
2022-02-02 11:28:33      1609 1.38206e+07   14.404  13.9133
2022-02-02 11:28:34      1601 1.38206e+07   14.339  13.7977
2022-02-02 11:28:35      1488 1.38206e+07  14.4833   13.939
2022-02-02 11:28:36      1480 1.37441e+07  13.8541  13.3407
2022-02-02 11:28:37      1476  1.3824e+07  12.8999  12.4139
2022-02-02 11:28:38      1492 1.25273e+07  12.8999  12.4139
2022-02-02 11:28:39      1464 1.34568e+07  12.6841  12.2033
2022-02-02 11:28:40      1419 1.34568e+07  12.8921  12.4062
2022-02-02 11:28:41      1385 1.33257e+07  12.4384  11.9697
2022-02-02 11:28:42      1401 1.38427e+07  11.8053  11.3586
2022-02-02 11:28:43      1417 1.38427e+07  11.8053  11.3586
2022-02-02 11:28:44      1395 1.38427e+07  11.9964  11.5409
2022-02-02 11:28:45      1349 1.38427e+07  11.9314  11.4793
2022-02-02 11:28:46      1346 1.37101e+07  11.8274  11.3792
2022-02-02 11:28:47      1342 1.33709e+07  11.2905  10.8631
2022-02-02 11:28:48      1345 1.27492e+07  11.2905  10.8631
2022-02-02 11:28:49      1328 1.25496e+07  11.2021  10.7784
2022-02-02 11:28:50      1324 1.48608e+07  11.2021  10.7784
2022-02-02 11:28:51      1306 1.38481e+07  11.0539  10.6346
2022-02-02 11:28:52      1337 1.38481e+07  10.9759  10.5601
2022-02-02 11:28:53      1318 1.34676e+07  10.8342  10.4266
2022-02-02 11:28:54      1312  1.3837e+07  11.0656  10.6449
2022-02-02 11:28:55      1312  1.3837e+07  10.9317  10.5139
2022-02-02 11:28:56      1299  1.3837e+07  10.9317  10.5139
2022-02-02 11:28:57      1283  1.3837e+07  10.8316  10.4189
2022-02-02 11:28:58      1314  1.3837e+07  10.6106  10.2058
2022-02-02 11:28:59      1301 1.35158e+07  10.7835  7.63677
2022-02-02 11:29:00      1287 1.38498e+07   10.712  10.2998
2022-02-02 11:29:01      1297 1.38498e+07  10.6249  10.2156
2022-02-02 11:29:02      1294 1.38498e+07  10.7601   10.346
2022-02-02 11:29:03      1293 1.38498e+07  10.6223  10.2135
2022-02-02 11:29:04      1298 1.38498e+07  10.7783  10.3655
2022-02-02 11:29:05      1291  1.3133e+07  10.5898  10.1837
2022-02-02 11:29:06      1275 1.38453e+07  10.8004   10.384
2022-02-02 11:29:07      1272 1.36796e+07  10.4312  10.0287
2022-02-02 11:29:08      1276 1.34828e+07  10.4312  10.0287
2022-02-02 11:29:09      1265 1.32626e+07  10.4312  10.0287
2022-02-02 11:29:10      1264  1.3847e+07  10.4312  10.0287
2022-02-02 11:29:11      1264  1.3847e+07  10.3597  9.96087
2022-02-02 11:29:12      1270  1.3847e+07  10.3597  9.96087
2022-02-02 11:29:13      1271 1.36219e+07  10.3597  9.96087
2022-02-02 11:29:14      1277 1.32644e+07  10.5235   10.117
2022-02-02 11:29:15      1257 1.38377e+07   10.257  9.86125
2022-02-02 11:29:16      1254 1.38377e+07  10.3428  9.94341
2022-02-02 11:29:17      1279 1.38377e+07   10.413  10.0122
2022-02-02 11:29:18      1249 1.38377e+07   10.413  10.0122
2022-02-02 11:29:19      1276 1.38377e+07   10.413  10.0122
2022-02-02 11:29:20      1250 1.38377e+07  10.1998  9.80682
2022-02-02 11:29:21      1267 1.38377e+07  10.4637  10.0615
2022-02-02 11:29:22      1263 1.38377e+07   10.335   9.9352
2022-02-02 11:29:23      1259 1.38377e+07   10.335   9.9352
2022-02-02 11:29:24      1269 1.38377e+07   10.335   9.9352
2022-02-02 11:29:25      1268 1.38377e+07  10.4052   10.002
2022-02-02 11:29:26      1268 1.38377e+07  10.4052   10.002
2022-02-02 11:29:27      1261 1.38377e+07  10.6015   10.193
2022-02-02 11:29:28      1279 1.38377e+07  10.2934  9.89514
2022-02-02 11:29:29      1267 1.33738e+07  10.4858    10.08
2022-02-02 11:29:30      1246 1.38311e+07  10.4234  10.0215
2022-02-02 11:29:31      1272 1.38311e+07  10.3376  9.93828
2022-02-02 11:29:32      1244 1.38311e+07  10.4247  10.0204
2022-02-02 11:29:33      1262 1.38311e+07   10.322  9.92493
2022-02-02 11:29:34      1260 1.38311e+07   10.322  9.92493
2022-02-02 11:29:35      1258 1.39625e+07  10.4013   9.9999
2022-02-02 11:29:36      1266 1.38244e+07  10.4013   9.9999
2022-02-02 11:29:37      1269 1.38244e+07  10.5352  10.1283
2022-02-02 11:29:38      1261 1.38959e+07  10.2934  9.89514
2022-02-02 11:29:39      1266 1.38959e+07  10.3922  9.98963
2022-02-02 11:29:40      1251 1.38959e+07  10.2986  9.90028
2022-02-02 11:29:41      1253 1.38959e+07  10.2986  9.90028
2022-02-02 11:29:42      1260 1.38959e+07  10.2986  9.90028
2022-02-02 11:29:43      1266 1.38041e+07  10.2986  9.90028
2022-02-02 11:29:44      1252 1.32952e+07  10.4988  10.0954
2022-02-02 11:29:45      1268 1.38319e+07  10.4039  10.0009
2022-02-02 11:29:46      1257 9.16707e+06  10.4039  10.0009
2022-02-02 11:29:47      1245 1.38516e+07  10.3077  9.90952
2022-02-02 11:29:48      1257 1.38516e+07  10.3753  9.97422
2022-02-02 11:29:49      1270 1.38516e+07  10.3038  9.90541
2022-02-02 11:29:50      1257 1.36032e+07  10.3038  9.90541
2022-02-02 11:29:51      1273  1.3839e+07  10.4338  10.0307
2022-02-02 11:29:52      1262  1.3839e+07  10.4338  10.0307
2022-02-02 11:29:53      1263  1.3839e+07  10.4923  10.0882
2022-02-02 11:29:54      1262  1.3839e+07  10.3285  9.93109
2022-02-02 11:29:55      1263 1.37609e+07  10.4195  10.0163
2022-02-02 11:29:56      1258 1.38624e+07  10.4195  10.0163
2022-02-02 11:29:57      1258 1.38624e+07  10.4195  10.0163
2022-02-02 11:29:58      1261 1.38624e+07  10.2895  9.89104
2022-02-02 11:29:59      1258 1.29013e+07  10.3675  9.96601
2022-02-02 11:30:00      1258 1.38218e+07  10.3675  9.96601
2022-02-02 11:30:01      1268 1.38218e+07  10.2726   9.8746
2022-02-02 11:30:02      1325 1.38218e+07  10.2726   9.8746
2022-02-02 11:30:03      1578 1.25144e+07  10.6171  10.2094
2022-02-02 11:30:04      1598 1.34913e+07  13.8814  13.3469
2022-02-02 11:30:05      1585 1.38492e+07  14.0829  13.5472
2022-02-02 11:30:06      1583 1.32388e+07  14.0829  13.5472
2022-02-02 11:30:07      1664 1.38004e+07  14.2818  13.7413
2022-02-02 11:30:08      1829 1.38004e+07  14.1154   13.578
2022-02-02 11:30:09      1808 1.38004e+07  16.7908  16.1496
2022-02-02 11:30:10      1846 1.37125e+07  16.9468  16.3067
2022-02-02 11:30:11      1815 1.37125e+07  16.7752  16.1403
2022-02-02 11:30:12      1863  1.3836e+07  16.9052  16.2656
2022-02-02 11:30:13      1947 1.32058e+07  17.0027  16.3601
2022-02-02 11:30:14      1951 1.37381e+07  18.0024  17.3214
2022-02-02 11:30:15      1967 1.33855e+07  18.4327  17.7394
2022-02-02 11:30:16      1937 1.38436e+07  18.5172  17.8174
2022-02-02 11:30:17      1983 1.34582e+07  18.6368  17.9355
2022-02-02 11:30:18      2057 1.20362e+07  18.4418  17.7466
2022-02-02 11:30:19      2056 1.17478e+07  19.0541  18.3432
2022-02-02 11:30:20      2044 1.28679e+07  19.8263  19.0806
2022-02-02 11:30:21      2066 1.38713e+07  19.5091  18.7746
2022-02-02 11:30:22      2050 1.28389e+07  19.6235  18.8865
2022-02-02 11:30:23      2111  1.3835e+07  19.7288  18.9872
2022-02-02 11:30:24      2058 1.35549e+07   19.591  18.8537
2022-02-02 11:30:25      2071 1.30639e+07  19.9745  19.2224
2022-02-02 11:30:26      2114 1.38816e+07  19.7899  19.0457
2022-02-02 11:30:27      2081 1.38816e+07  19.9602  19.2131
2022-02-02 11:30:28      2081 1.38816e+07  20.3138   19.552
2022-02-02 11:30:29      2113 1.38816e+07   19.994   19.246
2022-02-02 11:30:30      2072 1.38816e+07  20.2904  19.5346
2022-02-02 11:30:31      2065 1.38816e+07  19.8653  19.1207
2022-02-02 11:30:32      2082 1.31095e+07  19.8653  19.1207
2022-02-02 11:30:33      2093 1.35674e+07  20.0278  19.2778
2022-02-02 11:30:34      2094 1.38449e+07  19.8536  19.1125
2022-02-02 11:30:35      2150 1.38449e+07  20.2254  19.4627
2022-02-02 11:30:36      2124 1.32648e+07  20.6297   19.854
2022-02-02 11:30:37      2108  1.3848e+07  20.3255  19.5613
2022-02-02 11:30:38      2153  1.3582e+07  20.6414  19.8663
2022-02-02 11:30:39      2083 1.37909e+07  20.3853  19.6208
2022-02-02 11:30:40      2084 1.37909e+07  20.3853  19.6208
2022-02-02 11:30:41      2071 1.37909e+07  20.0915  19.3292
2022-02-02 11:30:42      2148 1.37909e+07   20.228  19.4668
2022-02-02 11:30:43      2121 1.37909e+07  20.3775  19.6147
2022-02-02 11:30:44      2107 1.39592e+07  20.2956  19.5356
2022-02-02 11:30:45      2131 1.34831e+07  20.2956  19.5356
2022-02-02 11:30:46      2094 1.38415e+07  20.3827  19.6147
2022-02-02 11:30:47      2122 1.38415e+07  20.4984  19.7266
2022-02-02 11:30:48      2083 1.38415e+07  20.1006  19.3425
2022-02-02 11:30:49      2135 1.37098e+07  20.3164  19.5531
2022-02-02 11:30:50      2124 1.37098e+07  20.3164  19.5531
2022-02-02 11:30:51      2091  1.3162e+07   20.449  19.6804
2022-02-02 11:30:52      2123 1.29336e+07  20.5816  19.8026
2022-02-02 11:30:53      2126 1.38372e+07  20.3099  19.5448
2022-02-02 11:30:54      2122 1.38372e+07  20.4919  19.7215
