        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-02 11:39:54       458 1.28016e+07        0        0
2022-02-02 11:39:55       463 1.38385e+07        0        0
2022-02-02 11:39:56       461 1.38385e+07        0        0
2022-02-02 11:39:57       453 1.37617e+07        0        0
2022-02-02 11:39:58       462 1.37617e+07        0        0
2022-02-02 11:39:59       463 1.37617e+07        0        0
2022-02-02 11:40:00       461 1.37617e+07        0        0
2022-02-02 11:40:01       465 1.38476e+07        0        0
2022-02-02 11:40:02      5788 1.36464e+07        0        0
2022-02-02 11:40:03     15757 1.35252e+07        0        0
2022-02-02 11:40:04     15758 1.38504e+07     1.95   1.5405
2022-02-02 11:40:05     15615 1.38504e+07      3.9    3.081
2022-02-02 11:40:06     15579 1.38504e+07      7.8    6.162
2022-02-02 11:40:07     15543 1.38504e+07     19.5   15.405
2022-02-02 11:40:08     15512 1.38504e+07  27.0965   25.752
2022-02-02 11:40:09     15885 1.38504e+07  27.3416  26.4268
2022-02-02 11:40:10     15533 1.38504e+07  17.2614  24.9433
2022-02-02 11:40:11     20809 1.31609e+07  17.6527  17.0046
2022-02-02 11:40:12     26062 1.26777e+07  17.5331  16.8813
2022-02-02 11:40:13     25773 1.25573e+07  25.8856  24.9176
2022-02-02 11:40:14     40478 1.36939e+07  29.4047  28.3375
2022-02-02 11:40:15     40478 1.36939e+07  29.7934  28.7149
2022-02-02 11:40:16     58459 1.00991e+07  48.9866  47.1983
2022-02-02 11:40:17     56829 1.05857e+07   99.216  63.8152
2022-02-02 11:40:18     58169 1.38318e+07  106.067  101.894
2022-02-02 11:40:19     56541 1.34692e+07   66.352  63.8435
2022-02-02 11:40:20     63022 1.38251e+07   65.403  62.9346
2022-02-02 11:40:21     68026 1.38251e+07   71.058  68.4187
2022-02-02 11:40:22     68315 1.34182e+07    78.39  75.4537
2022-02-02 11:40:23     75909 1.38281e+07   78.702  75.7412
2022-02-02 11:40:24     81901 1.38281e+07   83.681  80.5168
2022-02-02 11:40:25     81755 1.38281e+07   94.315  90.7817
2022-02-02 11:40:26     82308 1.38281e+07   95.368  91.7984
2022-02-02 11:40:27     82822 1.38281e+07  94.8935  91.3362
2022-02-02 11:40:28     83142 1.31785e+07    95.68  92.1065
2022-02-02 11:40:29     80302  1.3059e+07   95.498  91.9216
2022-02-02 11:40:30     83005 1.32185e+07  93.6325  90.1192
2022-02-02 11:40:31     81033  1.3844e+07  95.0885  91.5211
2022-02-02 11:40:32     83778 1.23707e+07   95.615  92.0346
2022-02-02 11:40:33     82358 1.38179e+07   94.458  90.9203
2022-02-02 11:40:34     81712 1.38179e+07   95.433    91.86
2022-02-02 11:40:35     80733 1.38179e+07   93.639  90.1244
2022-02-02 11:40:36     82526 1.38179e+07    94.51  90.9717
