scalerS16b	IPM2C21A	IPM2C24A	
967	1.37908e+07	0	0
1830	1.37908e+07	0	0
1845	1.37908e+07	0.78	0.6162
1831	1.37908e+07	1.95	1.5405
1860	1.37908e+07	3.9	3.081
1815	1.36226e+07	7.8	6.162
1840	1.2894e+07	19.5	15.405
1870	1.38541e+07	26.5655	25.5744
1852	1.37423e+07	26.9425	25.8948
1821	1.38421e+07	17.4239	25.2206
1863	1.38421e+07	17.0352	16.4038
1851	1.37012e+07	17.2016	16.5604
1851	1.37012e+07	17.4018	16.7581
1821	1.37012e+07	17.3095	16.6656
1838	1.38206e+07	17.0599	16.4192
1839	1.38206e+07	17.2835	16.64
1865	1.38206e+07	17.0664	16.432
1854	1.38206e+07	17.3732	16.7273
1658	1.38206e+07	17.3173	16.6708
1601	1.38206e+07	15.7664	15.1637
1618	1.38206e+07	14.404	13.8619
1609	1.38206e+07	14.404	13.9133
1601	1.38206e+07	14.339	13.7977
1488	1.38206e+07	14.4833	13.939
1480	1.37441e+07	13.8541	13.3407
1476	1.3824e+07	12.8999	12.4139
1492	1.25273e+07	12.8999	12.4139
1464	1.34568e+07	12.6841	12.2033
1419	1.34568e+07	12.8921	12.4062
1385	1.33257e+07	12.4384	11.9697
1401	1.38427e+07	11.8053	11.3586
1417	1.38427e+07	11.8053	11.3586
1395	1.38427e+07	11.9964	11.5409
1349	1.38427e+07	11.9314	11.4793
1346	1.37101e+07	11.8274	11.3792
1342	1.33709e+07	11.2905	10.8631
1345	1.27492e+07	11.2905	10.8631
1328	1.25496e+07	11.2021	10.7784
1324	1.48608e+07	11.2021	10.7784
1306	1.38481e+07	11.0539	10.6346
1337	1.38481e+07	10.9759	10.5601
1318	1.34676e+07	10.8342	10.4266
1312	1.3837e+07	11.0656	10.6449
1312	1.3837e+07	10.9317	10.5139
1299	1.3837e+07	10.9317	10.5139
1283	1.3837e+07	10.8316	10.4189
1314	1.3837e+07	10.6106	10.2058
1301	1.35158e+07	10.7835	7.63677
1287	1.38498e+07	10.712	10.2998
1297	1.38498e+07	10.6249	10.2156
1294	1.38498e+07	10.7601	10.346
1293	1.38498e+07	10.6223	10.2135
1298	1.38498e+07	10.7783	10.3655
1291	1.3133e+07	10.5898	10.1837
1275	1.38453e+07	10.8004	10.384
1272	1.36796e+07	10.4312	10.0287
1276	1.34828e+07	10.4312	10.0287
1265	1.32626e+07	10.4312	10.0287
1264	1.3847e+07	10.4312	10.0287
1264	1.3847e+07	10.3597	9.96087
1270	1.3847e+07	10.3597	9.96087
