        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-04 21:02:08       367 1.38786e+07        0        0
2022-02-04 21:02:09       367 1.38786e+07        0        0
2022-02-04 21:02:10       366 1.38786e+07        0        0
2022-02-04 21:02:11       363 1.38786e+07        0        0
2022-02-04 21:02:12       363 1.38786e+07        0        0
2022-02-04 21:02:13       364 1.38786e+07        0        0
2022-02-04 21:02:14       361 1.38786e+07        0        0
2022-02-04 21:02:15       362 1.38786e+07        0        0
2022-02-04 21:02:16       367 1.38786e+07        0        0
2022-02-04 21:02:17       365 1.38786e+07        0        0
2022-02-04 21:02:18       365 1.38786e+07        0        0
2022-02-04 21:02:19       959 1.38786e+07        0        0
2022-02-04 21:02:20      1538 1.38786e+07        0   0.6162
2022-02-04 21:02:21      1537 1.38786e+07     1.95   1.5405
2022-02-04 21:02:22      1509 1.38786e+07      3.9    3.081
2022-02-04 21:02:23      1532 1.38786e+07      7.8    6.162
2022-02-04 21:02:24      1535 1.38786e+07  19.3856   15.405
2022-02-04 21:02:25      1544 1.38786e+07  23.6093  22.9925
2022-02-04 21:02:26      1524 1.38786e+07  23.6093   23.355
2022-02-04 21:02:27      1545 1.38786e+07  15.5441  14.9932
2022-02-04 21:02:28      1558 1.38786e+07  15.5441  15.3259
2022-02-04 21:02:29      2709 1.38786e+07  15.7534  15.1637
2022-02-04 21:02:30      3422 1.38786e+07  15.6533  21.5434
2022-02-04 21:02:31      3543 1.38786e+07  35.4848  39.6884
2022-02-04 21:02:32      3531 1.38786e+07  61.2072  59.1603
2022-02-04 21:02:33      3425 1.38786e+07  41.3107  39.9349
2022-02-04 21:02:34      3425 1.38786e+07  41.5187  39.8707
2022-02-04 21:02:35      4129 1.38786e+07  40.7453  41.4934
2022-02-04 21:02:36      4535 1.38786e+07  50.1215  52.9881
2022-02-04 21:02:37      4472 1.38786e+07  54.4082  52.6414
2022-02-04 21:02:38      6076 1.38786e+07  54.4732  55.3579
2022-02-04 21:02:39      7079 1.38786e+07  72.5433  84.3372
2022-02-04 21:02:40      7004 1.38786e+07   88.335   135.42
2022-02-04 21:02:41      7108 1.38786e+07  141.817  128.426
2022-02-04 21:02:42      6950 1.38786e+07  88.9395  85.4053
2022-02-04 21:02:43      7040 1.38786e+07   88.101   84.594
2022-02-04 21:02:44      7044  1.3993e+07  88.5105  85.2821
2022-02-04 21:02:45      6866 1.38733e+07   87.698  84.7891
2022-02-04 21:02:46      7178 1.38733e+07   86.684  84.4297
2022-02-04 21:02:47      6999 1.38733e+07  88.4325   86.802
2022-02-04 21:02:48      7050 1.38733e+07   89.648   85.354
2022-02-04 21:02:49      6860 1.38733e+07  88.0815  84.6967
2022-02-04 21:02:50      6968 1.38733e+07  87.0935   83.567
2022-02-04 21:02:51      6750 1.38733e+07   87.269  84.3989
2022-02-04 21:02:52      7034 1.38733e+07  85.3125  82.9302
2022-02-04 21:02:53      6912 1.41167e+07   87.191  84.5734
2022-02-04 21:02:54      6730  1.3887e+07   87.503  84.4913
2022-02-04 21:02:55      6750  1.3887e+07   85.722  81.4719
2022-02-04 21:02:56      6906  1.3887e+07  84.8055  82.5503
2022-02-04 21:02:57      6783  1.3887e+07   85.254  83.2692
2022-02-04 21:02:58      6673  1.3887e+07   85.709  81.7595
2022-02-04 21:02:59      6864  1.3887e+07   84.994  82.5708
2022-02-04 21:03:00      6739  1.3887e+07  83.7005  81.0508
2022-02-04 21:03:01      6589  1.3887e+07   85.163  81.2049
2022-02-04 21:03:02      6792  1.3887e+07   83.876    81.78
2022-02-04 21:03:03      6507  1.3887e+07   84.396  81.6362
2022-02-04 21:03:04      6616  1.3887e+07  83.3625  80.7941
2022-02-04 21:03:05      6616  1.3887e+07   81.913  79.2947
2022-02-04 21:03:06      6668  1.3887e+07   84.006  80.6811
2022-02-04 21:03:07      6685  1.3887e+07   82.134  79.5411
2022-02-04 21:03:08      6612  1.3887e+07  83.6355  80.8249
2022-02-04 21:03:09      6535  1.3887e+07  82.5565  80.0444
2022-02-04 21:03:10      6696  1.3887e+07   81.796  78.9558
2022-02-04 21:03:11      6578  1.3887e+07  83.0505  80.1676
2022-02-04 21:03:12      6523  1.3887e+07   82.849  79.3974
2022-02-04 21:03:13      6750  1.3887e+07  81.3345   80.106
2022-02-04 21:03:14      6510  1.3887e+07   83.239  79.5206
2022-02-04 21:03:15      6453  1.3887e+07  81.8025  79.1201
2022-02-04 21:03:16      6550  1.3887e+07   82.407  79.6644
2022-02-04 21:03:17      6601  1.3887e+07   82.043  79.6644
2022-02-04 21:03:18      6638  1.3887e+07  82.2445  79.5925
2022-02-04 21:03:19      6567  1.3887e+07  82.6345  80.5065
2022-02-04 21:03:20      6415  1.3887e+07  81.4905  78.5655
2022-02-04 21:03:21      6487  1.3887e+07   81.614  77.8877
2022-02-04 21:03:22      6602  1.3887e+07    81.25  79.2947
2022-02-04 21:03:23      6656  1.3887e+07    81.25  78.7093
2022-02-04 21:03:24      6442  1.3887e+07  81.0615  80.0444
2022-02-04 21:03:25      6481  1.3887e+07  82.5305   78.052
2022-02-04 21:03:26      6557  1.3887e+07   81.484  79.3563
2022-02-04 21:03:27      6522  1.3887e+07   81.536  79.4282
2022-02-04 21:03:28      6589  1.3887e+07  81.2695  78.7093
2022-02-04 21:03:29      6390  1.3887e+07  81.7115  78.7093
2022-02-04 21:03:30      6533  1.3887e+07   80.587  77.8671
2022-02-04 21:03:31      6538  1.3887e+07  81.7635  78.2985
2022-02-04 21:03:32      6502  1.3887e+07  80.7755  79.3357
2022-02-04 21:03:33      6563  1.3887e+07  81.8415  79.0071
2022-02-04 21:03:34      6703  1.3887e+07  80.9315  78.3601
2022-02-04 21:03:35      6559  1.3887e+07   82.667  79.7465
2022-02-04 21:03:36      6559  1.3887e+07  82.9465  81.0508
2022-02-04 21:03:37      6719  1.3887e+07   81.575  80.0238
2022-02-04 21:03:38      6680  1.3887e+07  84.8575    81.78
2022-02-04 21:03:39      6760  1.3887e+07    83.72  81.0508
2022-02-04 21:03:40      6635  1.3887e+07  83.8825  80.8865
2022-02-04 21:03:41      6647  1.3887e+07    83.33  81.2254
2022-02-04 21:03:42      6634  1.3887e+07  83.1025  79.9314
2022-02-04 21:03:43      6639  1.3887e+07   83.031  80.6092
2022-02-04 21:03:44      6659  1.3887e+07  82.6215   80.753
2022-02-04 21:03:45      6704  1.3887e+07    84.37   79.993
2022-02-04 21:03:46      6593  1.3887e+07   82.732  81.0714
2022-02-04 21:03:47      6647  1.3887e+07  82.5695  80.6914
2022-02-04 21:03:48      6651  1.3887e+07  84.7145  79.6233
2022-02-04 21:03:49      6679  1.3887e+07   82.641  80.1163
2022-02-04 21:03:50      6719  1.3887e+07  83.2195   80.979
2022-02-04 21:03:51      6747  1.3887e+07  83.2195  80.4757
2022-02-04 21:03:52      6737  1.3887e+07   82.849  81.5643
2022-02-04 21:03:53      6502  1.3887e+07   82.745  80.7017
2022-02-04 21:03:54      6819  1.3887e+07  83.7395  78.9249
2022-02-04 21:03:55      6654  1.3887e+07   84.188  81.8724
2022-02-04 21:03:56      6571  1.3887e+07   82.823  80.0136
2022-02-04 21:03:57      6630  1.3887e+07   82.316  80.2806
2022-02-04 21:03:58      6586  1.3887e+07   83.122  79.5822
2022-02-04 21:03:59      6766  1.3887e+07  83.4665  80.8249
2022-02-04 21:04:00      6627  1.3887e+07   83.226  81.7492
2022-02-04 21:04:01      6780  1.3887e+07   84.279  80.3422
2022-02-04 21:04:02      6649  1.3887e+07  82.7515  80.6195
2022-02-04 21:04:03      6641  1.3887e+07  84.1425  80.6811
2022-02-04 21:04:04      6638  1.3887e+07  83.9735  81.1638
2022-02-04 21:04:05      6681  1.3887e+07   82.394  80.0649
2022-02-04 21:04:06      6693  1.3887e+07  84.1035  81.0508
2022-02-04 21:04:07      6693  1.3887e+07  83.2975  81.2973
2022-02-04 21:04:08      6653  1.3887e+07   84.123  80.9892
2022-02-04 21:04:09      6541  1.3887e+07  82.9205   79.346
2022-02-04 21:04:10      6655  1.3887e+07   82.238    80.26
2022-02-04 21:04:11      6687  1.3887e+07    82.81  80.0649
2022-02-04 21:04:12      6474  1.3887e+07   83.356  79.5617
2022-02-04 21:04:13      6658  1.3887e+07   81.575  80.2703
2022-02-04 21:04:14      6628  1.3887e+07   82.992  80.1779
2022-02-04 21:04:15      6767  1.3887e+07   82.732  79.2022
2022-02-04 21:04:16      6557  1.3887e+07  83.0375   81.287
