        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-02-04 21:16:32       442 1.38728e+07        0        0
2022-02-04 21:16:33       441 1.38728e+07        0        0
2022-02-04 21:16:34       443 1.38728e+07        0        0
2022-02-04 21:16:35       445 1.38728e+07        0        0
2022-02-04 21:16:36       443 1.38728e+07        0        0
2022-02-04 21:16:37       439 1.38728e+07        0        0
2022-02-04 21:16:38      8224 1.38728e+07        0        0
2022-02-04 21:16:39      8874 1.38728e+07     0.78   1.5405
2022-02-04 21:16:40      8957 1.38728e+07     1.95    3.081
2022-02-04 21:16:41      8740 1.38728e+07      3.9    6.162
2022-02-04 21:16:42      8826 1.38728e+07      7.8  13.5723
2022-02-04 21:16:43      9075 1.38728e+07  15.8467  14.5634
2022-02-04 21:16:44      8803 1.38728e+07  15.0033  14.6892
2022-02-04 21:16:45      8895 1.38728e+07   9.5745  9.34981
2022-02-04 21:16:46      8897 1.38728e+07  9.67265  9.42375
2022-02-04 21:16:47      8725 1.38728e+07   9.7331  9.29743
2022-02-04 21:16:48      9028 1.38728e+07  9.63105  9.29743
2022-02-04 21:16:49      8915 1.38728e+07  9.82735  9.41862
2022-02-04 21:16:50      8977 1.38728e+07  9.67395  9.41862
2022-02-04 21:16:51      8752 1.38728e+07  9.67395  9.41862
2022-02-04 21:16:52      8985 1.38728e+07   9.7409  9.41862
2022-02-04 21:16:53      8813 1.38728e+07   9.7409  9.41862
2022-02-04 21:16:54      8969 1.38728e+07   9.7409  9.36727
2022-02-04 21:16:55      8915 1.38728e+07  9.65575  9.36727
2022-02-04 21:16:56      9098 1.38728e+07  9.79485  9.47716
2022-02-04 21:16:57      8935 1.38728e+07   9.7227  9.55418
2022-02-04 21:16:58      9112 1.49134e+07   9.8111  9.45867
2022-02-04 21:16:59      9112 1.49134e+07   9.8839  9.45867
2022-02-04 21:17:00      8826 1.39004e+07  9.80265  9.54905
2022-02-04 21:17:01      9193 1.39004e+07   9.6993  9.47613
2022-02-04 21:17:02      8863 1.39004e+07  9.92615  9.55623
2022-02-04 21:17:03      9000 1.38259e+07   9.7071  9.44121
