scalerS16b	IPM2C21A	IPM2C24A	
236	1.38841e+07	0	0
233	1.38841e+07	0	0
237	1.38841e+07	0	0
234	1.38841e+07	0	0
228	1.38841e+07	0	0
232	1.38841e+07	0	0
229	1.38841e+07	0	0
229	1.38841e+07	0	0
230	1.38841e+07	0	0
231	1.38841e+07	0	0
233	1.38841e+07	0	0
233	1.38841e+07	0	0
232	1.38841e+07	0	0
232	1.38841e+07	0	0
233	1.38841e+07	0	0
231	1.38841e+07	0	0
229	1.38841e+07	0	0
233	1.38841e+07	0	0
237	1.38841e+07	0	0
232	1.38841e+07	0	0
235	1.35959e+07	0	0
235	1.35959e+07	0	0
229	1.38772e+07	0	0
230	1.38772e+07	0	0
229	1.38772e+07	0	0
230	1.38772e+07	0	0
224	1.38772e+07	0	0
222	1.38772e+07	0	0
224	1.38772e+07	0	0
222	1.38772e+07	0	0
223	1.37671e+07	0	0
412	1.38504e+07	0	0.845041
454	1.38504e+07	1.95	3.081
450	1.38504e+07	3.9	6.0897
450	1.38504e+07	6.99478	7.90251
452	1.38504e+07	7.78083	7.21416
447	1.38504e+07	4.93415	4.78531
438	1.3757e+07	4.8503	4.70366
440	1.36344e+07	4.79505	4.65077
434	1.38776e+07	4.79505	4.65077
443	1.38776e+07	4.79505	4.65077
448	1.38776e+07	4.79505	4.65077
435	1.38776e+07	4.86753	4.72061
431	1.38776e+07	4.7723	4.62972
433	1.38776e+07	4.6085	4.46899
445	1.38776e+07	4.72323	4.58247
438	1.37667e+07	4.72323	4.58247
449	1.38798e+07	4.72323	4.58247
452	1.38798e+07	4.83763	4.69339
456	1.38798e+07	4.90685	4.7586
454	1.38798e+07	4.90685	4.7586
454	1.38798e+07	4.90685	4.7586
454	1.38798e+07	4.76872	4.62561
450	1.38798e+07	4.8841	4.73806
452	1.38798e+07	4.8841	4.73806
463	1.38798e+07	4.95138	4.80328
495	1.38798e+07	5.09697	4.945
580	1.38798e+07	5.09697	4.945
562	1.38798e+07	4.94065	4.79198
565	1.38798e+07	4.87175	4.72523
563	1.38074e+07	4.87175	4.72523
567	1.38769e+07	4.97055	4.82125
564	1.38769e+07	4.97055	4.82125
562	1.38769e+07	4.97055	4.82125
577	1.38769e+07	4.97055	4.82125
579	1.38769e+07	5.02677	4.87466
561	1.38769e+07	4.96697	4.8192
580	1.38769e+07	4.86882	4.72266
568	1.38769e+07	4.96112	4.81149
572	1.38769e+07	4.91075	4.81149
570	1.38769e+07	4.91075	4.74885
567	1.38769e+07	4.91075	4.74885
566	1.38769e+07	4.91075	4.74885
563	1.16583e+07	4.91075	4.74885
563	1.25814e+07	4.86005	4.74885
