scalerS16b	IPM2C21A	IPM2C24A	
259	1.33677e+07	0	0
256	1.29009e+07	0	0
259	1.35763e+07	0	0
258	1.21006e+07	0	0
259	1.35866e+07	0	0
261	1.33451e+07	0	0
257	1.38649e+07	0	0
257	1.336e+07	0	0
75650	1.35216e+07	0	0.52662
78585	1.38812e+07	1.95	1.5405
79271	1.34766e+07	3.9	3.081
75905	1.32642e+07	7.8	6.162
80517	1.2969e+07	19.5	15.405
79282	1.28661e+07	39	30.81
78175	1.38745e+07	78	61.62
78669	1.37047e+07	134.254	129.844
80696	1.3817e+07	144.846	140.273
79710	1.32453e+07	91.8385	134.167
79047	1.36505e+07	91.7865	88.6506
80663	1.36505e+07	91.845	88.7123
80319	1.3758e+07	92.898	89.729
80455	1.3758e+07	92.339	89.1847
79798	1.3758e+07	92.4365	89.2771
81600	1.38452e+07	92.3195	89.1231
81600	1.38452e+07	92.8005	89.6263
78574	1.38452e+07	92.612	89.4517
80426	1.38452e+07	90.4735	87.408
79378	1.38452e+07	92.6185	89.462
80287	1.29605e+07	93.093	89.9241
79714	1.36622e+07	91.143	87.9934
78988	1.36622e+07	91.9555	88.7944
78601	1.38829e+07	90.831	87.7263
80900	1.34385e+07	91.7085	88.5685
80833	1.37616e+07	93.041	89.8522
80108	1.3872e+07	93.47	90.2836
81029	1.33194e+07	92.69	89.5236
81186	1.38646e+07	93.4245	90.2528
80148	1.38646e+07	93.0345	89.8522
80651	1.38646e+07	92.7095	89.5236
77882	1.36376e+07	93.47	90.263
79372	1.28901e+07	90.051	86.9561
80049	1.36888e+07	91.572	88.4144
79015	1.38075e+07	90.2135	87.1718
80669	1.33549e+07	91.767	88.6404
79190	1.34803e+07	92.4365	89.2771
78029	1.31016e+07	92.5535	89.4106
78907	1.38828e+07	90.0835	86.9972
79303	1.37066e+07	90.428	87.3361
79178	1.37066e+07	91.585	88.435
78744	1.38582e+07	90.35	87.2642
77186	1.38582e+07	90.5645	87.4696
79310	1.38582e+07	91.5005	88.3733
77995	1.35566e+07	89.7585	86.6993
78890	1.34763e+07	89.9405	86.8637
79213	1.32977e+07	90.4085	87.3361
79213	1.32977e+07	91.5265	88.3836
78424	1.35561e+07	90.558	87.4593
79328	1.31429e+07	90.675	87.5928
78886	1.23634e+07	91.715	88.5993
79968	1.14787e+07	91.234	88.1269
79298	1.28388e+07	91.4355	88.3117
77915	1.19488e+07	91.7345	88.5993
