        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-24 17:00:46       236 1.38841e+07        0        0
2022-01-24 17:00:47       233 1.38841e+07        0        0
2022-01-24 17:00:48       237 1.38841e+07        0        0
2022-01-24 17:00:49       234 1.38841e+07        0        0
2022-01-24 17:00:50       228 1.38841e+07        0        0
2022-01-24 17:00:51       232 1.38841e+07        0        0
2022-01-24 17:00:52       229 1.38841e+07        0        0
2022-01-24 17:00:53       229 1.38841e+07        0        0
2022-01-24 17:00:54       230 1.38841e+07        0        0
2022-01-24 17:00:55       231 1.38841e+07        0        0
2022-01-24 17:00:56       233 1.38841e+07        0        0
2022-01-24 17:00:57       233 1.38841e+07        0        0
2022-01-24 17:00:58       232 1.38841e+07        0        0
2022-01-24 17:00:59       232 1.38841e+07        0        0
2022-01-24 17:01:00       233 1.38841e+07        0        0
2022-01-24 17:01:01       231 1.38841e+07        0        0
2022-01-24 17:01:02       229 1.38841e+07        0        0
2022-01-24 17:01:03       233 1.38841e+07        0        0
2022-01-24 17:01:04       237 1.38841e+07        0        0
2022-01-24 17:01:05       232 1.38841e+07        0        0
2022-01-24 17:01:06       235 1.35959e+07        0        0
2022-01-24 17:01:07       235 1.35959e+07        0        0
2022-01-24 17:01:08       229 1.38772e+07        0        0
2022-01-24 17:01:09       230 1.38772e+07        0        0
2022-01-24 17:01:10       229 1.38772e+07        0        0
2022-01-24 17:01:11       230 1.38772e+07        0        0
2022-01-24 17:01:12       224 1.38772e+07        0        0
2022-01-24 17:01:13       222 1.38772e+07        0        0
2022-01-24 17:01:14       224 1.38772e+07        0        0
2022-01-24 17:01:15       222 1.38772e+07        0        0
2022-01-24 17:01:16       223 1.37671e+07        0        0
2022-01-24 17:01:17       412 1.38504e+07        0 0.845041
2022-01-24 17:01:18       454 1.38504e+07     1.95    3.081
2022-01-24 17:01:19       450 1.38504e+07      3.9   6.0897
2022-01-24 17:01:20       450 1.38504e+07  6.99478  7.90251
2022-01-24 17:01:21       452 1.38504e+07  7.78083  7.21416
2022-01-24 17:01:22       447 1.38504e+07  4.93415  4.78531
2022-01-24 17:01:23       438  1.3757e+07   4.8503  4.70366
2022-01-24 17:01:24       440 1.36344e+07  4.79505  4.65077
