        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-24 18:01:02       259 1.33677e+07        0        0
2022-01-24 18:01:03       256 1.29009e+07        0        0
2022-01-24 18:01:04       259 1.35763e+07        0        0
2022-01-24 18:01:05       258 1.21006e+07        0        0
2022-01-24 18:01:06       259 1.35866e+07        0        0
2022-01-24 18:01:07       261 1.33451e+07        0        0
2022-01-24 18:01:08       257 1.38649e+07        0        0
2022-01-24 18:01:09       257   1.336e+07        0        0
2022-01-24 18:01:10     75650 1.35216e+07        0  0.52662
2022-01-24 18:01:11     78585 1.38812e+07     1.95   1.5405
2022-01-24 18:01:12     79271 1.34766e+07      3.9    3.081
2022-01-24 18:01:13     75905 1.32642e+07      7.8    6.162
2022-01-24 18:01:14     80517  1.2969e+07     19.5   15.405
2022-01-24 18:01:15     79282 1.28661e+07       39    30.81
2022-01-24 18:01:16     78175 1.38745e+07       78    61.62
2022-01-24 18:01:17     78669 1.37047e+07  134.254  129.844
2022-01-24 18:01:18     80696  1.3817e+07  144.846  140.273
2022-01-24 18:01:19     79710 1.32453e+07  91.8385  134.167
2022-01-24 18:01:20     79047 1.36505e+07  91.7865  88.6506
2022-01-24 18:01:21     80663 1.36505e+07   91.845  88.7123
2022-01-24 18:01:22     80319  1.3758e+07   92.898   89.729
2022-01-24 18:01:23     80455  1.3758e+07   92.339  89.1847
2022-01-24 18:01:24     79798  1.3758e+07  92.4365  89.2771
2022-01-24 18:01:25     81600 1.38452e+07  92.3195  89.1231
2022-01-24 18:01:26     81600 1.38452e+07  92.8005  89.6263
2022-01-24 18:01:27     78574 1.38452e+07   92.612  89.4517
2022-01-24 18:01:28     80426 1.38452e+07  90.4735   87.408
2022-01-24 18:01:29     79378 1.38452e+07  92.6185   89.462
2022-01-24 18:01:30     80287 1.29605e+07   93.093  89.9241
2022-01-24 18:01:31     79714 1.36622e+07   91.143  87.9934
2022-01-24 18:01:32     78988 1.36622e+07  91.9555  88.7944
2022-01-24 18:01:33     78601 1.38829e+07   90.831  87.7263
2022-01-24 18:01:34     80900 1.34385e+07  91.7085  88.5685
2022-01-24 18:01:35     80833 1.37616e+07   93.041  89.8522
2022-01-24 18:01:36     80108  1.3872e+07    93.47  90.2836
2022-01-24 18:01:37     81029 1.33194e+07    92.69  89.5236
2022-01-24 18:01:38     81186 1.38646e+07  93.4245  90.2528
2022-01-24 18:01:39     80148 1.38646e+07  93.0345  89.8522
2022-01-24 18:01:40     80651 1.38646e+07  92.7095  89.5236
2022-01-24 18:01:41     77882 1.36376e+07    93.47   90.263
2022-01-24 18:01:42     79372 1.28901e+07   90.051  86.9561
2022-01-24 18:01:43     80049 1.36888e+07   91.572  88.4144
2022-01-24 18:01:44     79015 1.38075e+07  90.2135  87.1718
2022-01-24 18:01:45     80669 1.33549e+07   91.767  88.6404
2022-01-24 18:01:46     79190 1.34803e+07  92.4365  89.2771
2022-01-24 18:01:47     78029 1.31016e+07  92.5535  89.4106
2022-01-24 18:01:48     78907 1.38828e+07  90.0835  86.9972
2022-01-24 18:01:49     79303 1.37066e+07   90.428  87.3361
2022-01-24 18:01:50     79178 1.37066e+07   91.585   88.435
2022-01-24 18:01:51     78744 1.38582e+07    90.35  87.2642
2022-01-24 18:01:52     77186 1.38582e+07  90.5645  87.4696
2022-01-24 18:01:53     79310 1.38582e+07  91.5005  88.3733
2022-01-24 18:01:54     77995 1.35566e+07  89.7585  86.6993
2022-01-24 18:01:55     78890 1.34763e+07  89.9405  86.8637
2022-01-24 18:01:56     79213 1.32977e+07  90.4085  87.3361
2022-01-24 18:01:57     79213 1.32977e+07  91.5265  88.3836
2022-01-24 18:01:58     78424 1.35561e+07   90.558  87.4593
2022-01-24 18:01:59     79328 1.31429e+07   90.675  87.5928
2022-01-24 18:02:00     78886 1.23634e+07   91.715  88.5993
2022-01-24 18:02:01     79968 1.14787e+07   91.234  88.1269
2022-01-24 18:02:02     79298 1.28388e+07  91.4355  88.3117
2022-01-24 18:02:03     77915 1.19488e+07  91.7345  88.5993
2022-01-24 18:02:04     80359 1.13073e+07  90.8635  87.7571
2022-01-24 18:02:05     81510 1.36786e+07   92.898  89.7085
2022-01-24 18:02:06     78443 1.36786e+07  93.3985  90.2117
2022-01-24 18:02:07     81013 1.38825e+07  91.2535  88.0961
2022-01-24 18:02:08     81971 1.38825e+07  93.1515  90.0371
2022-01-24 18:02:09     78075 1.19887e+07   92.885  89.7187
2022-01-24 18:02:10     78576 1.28778e+07  91.4225  88.2912
2022-01-24 18:02:11     78091 1.34443e+07   90.896  87.7777
2022-01-24 18:02:12     78924 1.26345e+07   90.168  87.0999
2022-01-24 18:02:13     78706 1.29079e+07  90.5125  87.4388
2022-01-24 18:02:14     79747 1.32672e+07  90.9805  87.8598
2022-01-24 18:02:15     80514 1.36997e+07  91.9815  88.8252
2022-01-24 18:02:16     80490 1.28161e+07  91.7865  88.6609
2022-01-24 18:02:17     78034 1.29363e+07   92.807  89.6468
2022-01-24 18:02:18     80961 1.36448e+07   90.311  87.2128
2022-01-24 18:02:19     78422 1.38793e+07   92.404  89.2463
2022-01-24 18:02:20     20838 1.38793e+07   91.819   88.702
2022-01-24 18:02:21       224 1.38091e+07  57.3625  55.3758
2022-01-24 18:02:22       224 1.38878e+07        0        0
2022-01-24 18:02:23       223 1.34558e+07        0        0
2022-01-24 18:02:24       226 1.29528e+07        0        0
2022-01-24 18:02:25       223 1.20593e+07        0        0
2022-01-24 18:02:26       226  1.3247e+07        0        0
2022-01-24 18:02:27       222 1.38534e+07        0        0
2022-01-24 18:02:28       222 1.38534e+07        0        0
2022-01-24 18:02:29       224 1.35041e+07        0        0
2022-01-24 18:02:30       223 1.38155e+07        0        0
2022-01-24 18:02:31       222  1.1846e+07        0        0
2022-01-24 18:02:32       227 1.38433e+07        0        0
2022-01-24 18:02:33       221 1.38433e+07        0        0
2022-01-24 18:02:34       222 1.38433e+07        0        0
2022-01-24 18:02:35       222 1.38433e+07        0        0
2022-01-24 18:02:36       221 1.38433e+07        0        0
2022-01-24 18:02:37       219 1.38433e+07        0        0
2022-01-24 18:02:38       220 1.32995e+07        0        0
2022-01-24 18:02:39       221   1.386e+07        0        0
2022-01-24 18:02:40       223   1.386e+07        0        0
2022-01-24 18:02:41       221 1.29864e+07        0        0
2022-01-24 18:02:42       221 1.38685e+07        0        0
2022-01-24 18:02:43       218 1.33856e+07        0        0
2022-01-24 18:02:44       223 1.38879e+07        0        0
2022-01-24 18:02:45       225 1.37747e+07        0        0
