scalerS16b	IPM2C21A	IPM2C24A	
151	1.39062e+07	0	0
150	1.39062e+07	0	0
153	1.39062e+07	0	0
152	1.39062e+07	0	0
152	1.39062e+07	0	0
152	1.39062e+07	0	0
152	1.39062e+07	0	0
154	1.39062e+07	0	0
152	1.39062e+07	0	0
149	1.39062e+07	0	0
154	1.39062e+07	0	0
154	1.39062e+07	0	0
154	1.39062e+07	0	0
154	1.39062e+07	0	0
156	1.39062e+07	0	0
155	1.39062e+07	0	0
153	1.39062e+07	0	0
149	1.39062e+07	0	0
150	1.39062e+07	0	0
148	1.39062e+07	0	0
148	1.39062e+07	0	0
149	1.39062e+07	0	0
149	1.39062e+07	0	0
149	1.39062e+07	0	0
144	1.39062e+07	0	0
143	1.39062e+07	0	0
145	1.39062e+07	0	0
149	1.39062e+07	0	0
2023	1.39062e+07	0	0
5069	1.39062e+07	0	0.6162
4897	1.39062e+07	1.95	1.5405
4924	1.39062e+07	3.9	3.081
4986	1.39062e+07	7.8	6.162
5022	1.39062e+07	19.5	15.405
4816	1.39062e+07	34.9615	30.4778
4815	1.39062e+07	38.7894	36.8025
4893	1.39062e+07	35.49	35.0643
4682	1.39062e+07	24.2027	23.3642
4713	1.39062e+07	24.0077	23.1563
4649	1.39062e+07	23.4812	22.5221
4886	1.39062e+07	23.335	22.6787
4680	1.39062e+07	23.5495	23.1845
4649	1.39062e+07	24.336	23.2359
4649	1.39062e+07	23.3545	22.4605
4749	1.39062e+07	23.4097	23.223
4594	1.39062e+07	23.7705	22.5529
4803	1.39062e+07	23.0685	22.2654
4732	1.39062e+07	23.517	22.9868
4589	1.39062e+07	23.6535	22.7763
4348	1.39062e+07	23.179	22.3013
4564	1.39062e+07	22.2917	21.2923
4655	1.39062e+07	22.5875	21.9855
4675	1.39062e+07	22.997	22.3552
4675	1.39062e+07	22.8865	22.9021
4622	1.39062e+07	23.777	22.6094
4596	1.39062e+07	23.1335	22.2268
4550	1.39062e+07	22.4608	22.119
4612	1.39062e+07	22.841	22.0497
4542	1.39062e+07	23.1887	22.3552
4481	1.39062e+07	22.7305	21.7698
4468	1.39062e+07	22.6687	21.947
4657	1.39062e+07	22.1423	21.5002
4608	1.39062e+07	22.5745	22.3141
4487	1.39062e+07	23.2668	22.3758
4577	1.39062e+07	23.1173	22.1498
4535	1.39062e+07	22.2397	21.8006
4469	1.39062e+07	22.8638	22.0035
4415	1.39062e+07	22.3958	21.6235
4447	1.39062e+07	22.295	21.1896
4488	1.39062e+07	21.8888	21.5285
4410	1.39062e+07	22.2528	21.7416
4432	1.39062e+07	22.5875	21.8212
4439	1.39062e+07	21.8498	20.7428
4533	1.39062e+07	22.0058	21.4951
4533	1.39062e+07	22.2365	22.0394
4467	1.39062e+07	22.6687	21.9675
4386	1.39062e+07	22.3632	21.4797
4572	1.39062e+07	22.1292	21.3796
4533	1.39062e+07	22.6427	22.2756
4591	1.39062e+07	22.9255	22.101
4519	1.39062e+07	22.8573	21.9983
4317	1.39062e+07	22.8573	21.8571
4319	1.39062e+07	22.0058	20.6145
4503	1.39062e+07	21.099	21.1921
4410	1.39062e+07	22.2593	21.5105
4393	1.39062e+07	22.1455	21.6029
4557	1.39062e+07	22.2722	21.3411
4638	1.39062e+07	22.334	21.9624
4633	1.39062e+07	22.88	22.6967
4557	1.39062e+07	23.465	22.2345
4629	1.39062e+07	22.9125	22.0933
4682	1.39062e+07	22.9125	22.4836
4569	1.39062e+07	23.3188	22.6248
4670	1.39062e+07	22.867	21.9881
4508	1.39062e+07	23.036	22.5118
4583	1.39062e+07	23.1302	22.0728
4639	1.39062e+07	22.5875	22.1473
4532	1.39062e+07	23.4065	22.5401
4461	1.39062e+07	22.685	22.0317
4503	1.39062e+07	22.5452	21.6902
4608	1.39062e+07	22.3048	21.6902
4498	1.39062e+07	22.5192	21.9033
4684	1.39062e+07	22.8962	21.9033
4607	1.39062e+07	22.555	22.3732
4714	1.39062e+07	23.2992	22.5991
4714	1.39062e+07	23.179	22.6762
4596	1.39062e+07	23.6567	22.6043
4631	1.39062e+07	23.036	22.5529
4663	1.39062e+07	23.036	22.024
4593	1.39062e+07	23.3123	22.7763
4468	1.39062e+07	23.0425	21.8392
4656	1.39062e+07	22.2495	21.8392
4516	1.39062e+07	22.9352	22.2628
4589	1.39062e+07	22.6558	21.9829
4585	1.39062e+07	23.0457	22.4066
4453	1.39062e+07	23.0457	22.0009
4502	1.39062e+07	22.3535	21.5619
4462	1.39062e+07	22.1877	21.6671
4431	1.39062e+07	22.2885	21.5798
4390	1.39062e+07	22.4023	21.4746
4467	1.39062e+07	21.996	21.3257
4449	1.39062e+07	21.7393	21.5054
4404	1.39062e+07	22.5128	21.5054
4504	1.39062e+07	21.9375	21.5054
4600	1.39062e+07	22.3925	21.6312
4488	1.39062e+07	22.6427	22.1421
4474	1.39062e+07	22.8767	21.9213
4364	1.39062e+07	22.477	21.644
4463	1.39062e+07	22.0903	21.1228
4413	1.39062e+07	21.9602	21.6338
4118	1.39062e+07	22.256	21.395
4251	1.39062e+07	21.671	20.4835
4309	1.49432e+07	20.761	20.1908
4462	1.3906e+07	21.4012	20.9149
4496	1.3906e+07	21.4727	21.3488
4442	1.3906e+07	22.3438	21.6671
4442	1.3906e+07	22.4478	21.7673
4524	1.3906e+07	22.2755	21.6132
4444	1.3906e+07	22.4835	21.7929
4424	1.3906e+07	22.204	21.4489
4312	1.3906e+07	22.2755	21.6466
4303	1.3906e+07	21.736	20.4424
4381	1.3906e+07	21.1348	20.9149
4500	1.3906e+07	22.0805	21.3025
4523	1.3906e+07	22.0805	21.8469
4556	1.3906e+07	22.6395	21.6209
4549	1.3906e+07	22.1423	21.9701
4615	1.3906e+07	22.789	22.2602
4483	1.3906e+07	22.9742	22.2602
4580	1.3906e+07	22.7305	21.7621
4613	1.3906e+07	22.7305	22.0985
4475	1.3906e+07	22.8345	22.2089
4480	1.3906e+07	22.7305	21.7955
4454	1.3906e+07	22.3535	21.6158
4525	1.3906e+07	21.8627	21.4129
4562	1.3906e+07	22.646	22.0702
4523	1.3906e+07	22.776	22.0702
4616	1.3906e+07	22.4998	21.8366
4519	1.3906e+07	22.9125	22.3578
4623	1.3906e+07	22.828	21.7827
4497	1.3906e+07	22.5322	22.0497
4546	1.3906e+07	23.0815	22.1755
4417	1.3906e+07	22.7045	21.9881
4410	1.3906e+07	22.7695	21.6877
4507	1.3906e+07	21.84	21.0894
4454	1.3906e+07	22.2105	21.8725
4561	1.3906e+07	22.4088	21.6492
4561	1.3906e+07	22.4835	22.0394
4543	1.3906e+07	22.7598	22.0394
4544	1.3906e+07	22.62	22.0394
4520	1.3906e+07	22.7857	21.9829
4701	1.3906e+07	22.6427	21.929
4533	1.3906e+07	23.3188	22.5889
4652	1.3906e+07	22.8215	22.214
4569	1.3906e+07	23.2245	22.5272
4688	1.3906e+07	23.0165	22.3552
4691	1.3906e+07	23.4357	22.422
4609	1.3906e+07	23.2797	22.6351
4441	1.3906e+07	23.1595	22.2551
4553	1.3906e+07	22.529	21.6338
4594	1.40002e+07	22.3632	22.0009
4729	1.39033e+07	22.8865	22.1601
4640	1.39033e+07	23.3837	22.9278
4711	1.39033e+07	23.5105	22.6582
4627	1.39033e+07	23.2342	22.7249
4563	1.39033e+07	23.5365	22.4733
4557	1.39033e+07	22.867	21.9008
4441	1.39033e+07	22.6103	21.9932
4572	1.39033e+07	22.49	21.5619
4571	1.39033e+07	22.49	22.1421
4474	1.39033e+07	22.737	22.0574
4621	1.39033e+07	22.6623	21.6286
4631	1.39033e+07	22.542	22.1421
4689	1.39033e+07	23.0002	22.5529
4556	1.39033e+07	23.4228	22.6171
4665	1.39033e+07	23.3025	22.5247
4532	1.39033e+07	22.867	22.2859
4580	1.39033e+07	23.0782	22.1652
4580	1.39033e+07	22.7792	22.1652
4565	1.39033e+07	22.9775	22.2602
4656	1.39033e+07	22.9775	22.024
4527	1.39033e+07	23.1205	22.766
4589	1.39033e+07	22.8507	21.644
4758	1.39033e+07	22.659	22.6325
4690	1.39033e+07	23.7283	22.956
4715	1.39033e+07	23.556	22.6299
4654	1.39033e+07	23.3967	22.6941
4702	1.39033e+07	23.2505	22.6941
4592	1.39033e+07	23.3577	22.3732
4647	1.39033e+07	23.2375	22.6171
4594	1.39033e+07	23.348	22.5041
4614	1.39033e+07	23.0912	22.4451
4555	1.39033e+07	23.2342	22.327
4500	1.39033e+07	23.0457	22.1421
4649	1.39033e+07	22.3925	21.852
4448	1.39033e+07	23.1205	22.5889
4440	1.39033e+07	22.6427	21.5156
4539	1.39033e+07	22.3632	21.5156
4417	1.39033e+07	22.1975	21.8982
4544	1.39033e+07	22.7175	21.4977
4551	1.39033e+07	22.0187	21.8931
4465	1.39033e+07	22.5095	21.8931
4535	1.39033e+07	23.0068	21.8931
4537	1.39033e+07	22.0837	21.6543
4580	1.39033e+07	22.6265	21.8802
4656	1.39033e+07	22.7955	22.1627
4441	1.39033e+07	22.7955	22.2294
4424	1.39033e+07	23.3415	22.2833
4493	1.39033e+07	22.1065	21.223
4493	1.39033e+07	22.1715	21.5516
4462	1.39033e+07	22.5128	21.8931
4529	1.39033e+07	22.347	21.8931
4534	1.39033e+07	22.6947	21.6877
4497	1.39033e+07	22.4478	21.9829
4624	1.39033e+07	22.6947	21.9829
4573	1.39033e+07	22.7955	22.4399
4485	1.39033e+07	23.0847	21.9393
4301	1.39033e+07	22.4185	21.2101
4601	1.39033e+07	21.2843	21.4515
4721	1.39033e+07	23.036	22.6197
4584	1.39033e+07	23.504	22.7814
4514	1.39033e+07	23.244	21.9008
4623	1.39033e+07	22.4185	22.0548
4622	1.39033e+07	22.9872	22.2808
4546	1.39033e+07	22.9872	22.3424
4668	1.39033e+07	22.7337	22.2705
4639	1.39033e+07	23.2407	22.481
4558	1.39033e+07	23.2407	22.5478
4727	1.39033e+07	23.335	22.3681
4590	1.39033e+07	23.062	22.5632
4627	1.39033e+07	23.062	22.481
4552	1.39033e+07	23.2083	22.2217
2261	1.39033e+07	22.8573	22.1396
2156	1.39033e+07	20.6115	14.016
2153	1.39033e+07	10.4	9.99528
2098	1.39033e+07	7.6752	7.43034
2072	1.39033e+07	10.3779	9.97114
1739	1.39033e+07	10.0217	9.5624
1733	1.39033e+07	9.8774	8.86506
1746	1.39033e+07	8.3759	8.04038
1746	1.39033e+07	8.177	7.95001
1720	1.39033e+07	8.2797	7.95001
1705	1.39033e+07	8.177	8.00238
1529	1.39033e+07	8.177	7.46321
1479	1.39033e+07	7.241	6.90349
1497	1.39033e+07	7.0148	6.7135
1532	1.39033e+07	6.9225	6.86755
1474	1.39033e+07	7.1409	6.86755
1316	1.39033e+07	6.9901	6.47729
1356	1.39033e+07	6.2036	5.88882
1340	1.39033e+07	6.2036	6.086
1303	1.39033e+07	6.2036	6.01925
1299	1.39033e+07	6.1178	5.84363
1264	1.39033e+07	6.0424	5.84363
1253	1.39033e+07	5.8838	5.65364
1228	1.39033e+07	5.733	5.56839
1252	1.39033e+07	5.733	5.48007
1270	1.39033e+07	5.6602	5.56737
1213	1.39033e+07	5.7707	5.62077
1229	1.39033e+07	5.7707	5.46159
1231	1.39033e+07	5.5757	5.41126
1218	1.39033e+07	5.5757	5.47494
1218	1.39033e+07	5.5757	5.38251
1174	1.39033e+07	5.5757	5.43591
1183	1.39033e+07	5.5094	5.20586
1211	1.39033e+07	5.3222	5.20586
1211	1.39033e+07	5.4158	5.36299
1164	1.39033e+07	5.4912	5.36299
1149	1.39033e+07	5.4912	5.25927
1164	1.39033e+07	5.2936	5.08468
1158	1.39033e+07	5.2351	5.08468
1158	1.39033e+07	5.2923	5.08468
1148	1.39033e+07	5.2923	5.08468
1127	1.39033e+07	5.2039	5.01381
1150	1.39033e+07	5.0973	5.01381
1125	1.39033e+07	3.69915	5.01381
1147	1.39033e+07	5.1012	4.94809
1149	1.39033e+07	5.1883	5.08365
1145	1.39033e+07	5.1883	5.02306
1169	1.39033e+07	5.1883	5.02306
1146	1.39033e+07	5.1883	5.16889
1158	1.39033e+07	5.3079	5.0323
1186	1.39033e+07	5.1935	5.14424
1123	1.39033e+07	5.3638	5.14424
1137	1.39033e+07	5.14085	4.87209
1143	1.39033e+07	5.02125	4.95425
1155	1.39033e+07	5.09015	4.95425
1122	1.39033e+07	5.2026	5.09187
1145	1.39033e+07	5.2026	4.95733
1158	1.39033e+07	5.1012	4.95733
1144	1.39033e+07	5.20065	5.02203
1178	1.39033e+07	5.1259	5.02203
1192	1.39033e+07	5.1974	5.12576
1150	1.39033e+07	5.2962	5.19354
1113	1.39033e+07	5.35535	5.05387
1109	1.39033e+07	5.09145	4.93576
1141	1.39033e+07	5.0349	4.81252
1125	1.39033e+07	5.0349	4.99122
1113	1.39033e+07	5.0882	4.9183
