scalerS16b	IPM2C21A	IPM2C24A	
157	1.39143e+07	0	0
156	1.39143e+07	0	0
161	1.39143e+07	0	0
153	1.39143e+07	0	0
154	1.39143e+07	0	0
156	1.39143e+07	0	0
12445	1.39143e+07	0	0
20066	1.39143e+07	0	0.6162
20315	1.39143e+07	1.95	1.5405
19540	1.39143e+07	3.9	3.081
19540	1.39143e+07	7.8	6.162
20024	1.39143e+07	19.5	15.405
19428	1.39143e+07	34.2849	29.4153
19067	1.39962e+07	36.335	34.6345
19394	1.3908e+07	34.2972	32.8922
19640	1.3908e+07	23.283	22.9791
19553	1.3908e+07	23.686	22.7429
18971	1.3908e+07	23.3708	22.4913
18557	1.3908e+07	22.8865	21.7775
19046	1.3908e+07	22.412	21.7185
18484	1.3908e+07	22.6395	22.1755
19153	1.3908e+07	22.5355	21.9906
19216	1.3908e+07	23.0262	22.1087
19155	1.3908e+07	23.1725	22.4733
18934	1.3908e+07	23.0847	22.3552
18717	1.3908e+07	22.5063	21.9521
18816	1.3908e+07	22.9872	21.9521
19017	1.3908e+07	22.516	22.0702
18385	1.3908e+07	23.0262	22.1344
18828	1.3908e+07	22.5225	21.4617
18967	1.3908e+07	22.152	21.8058
18801	1.3908e+07	22.7565	22.1524
19074	1.3908e+07	22.581	21.816
18849	1.3908e+07	22.8605	22.2833
19042	1.3908e+07	22.8085	22.0214
18491	1.3908e+07	22.451	21.9316
18863	1.3908e+07	22.9742	21.9316
18289	1.3908e+07	22.0642	21.8212
18921	1.3908e+07	22.672	21.585
18690	1.3908e+07	22.1845	21.7698
18397	1.3908e+07	22.7402	21.911
18397	1.3908e+07	22.3535	21.5875
18972	1.3908e+07	22.3535	22.0292
18998	1.3908e+07	22.8183	22.2833
18863	1.3908e+07	22.8183	21.7801
18783	1.3908e+07	22.6785	22.0266
18671	1.3908e+07	22.4608	21.6569
19286	1.3908e+07	22.4608	21.9752
19089	1.3908e+07	23.1497	22.4656
19488	1.3908e+07	22.9482	22.6043
19448	1.3908e+07	23.4065	22.327
19167	1.3908e+07	23.3155	22.5041
19323	1.3908e+07	22.9093	22.5555
18755	1.3908e+07	23.6795	22.3732
19188	1.46692e+07	22.542	21.834
18936	1.39254e+07	22.724	22.3527
18892	1.39254e+07	22.9093	22.0625
19591	1.39254e+07	22.8377	21.9829
19704	1.39254e+07	22.958	22.8944
19296	1.39254e+07	23.7932	22.9868
19469	1.39254e+07	23.6925	22.5221
19269	1.39254e+07	23.4228	22.7429
19544	1.39254e+07	23.1562	22.4066
19116	1.39254e+07	23.1562	22.7095
19405	1.39254e+07	23.4228	22.3732
19047	1.39254e+07	22.945	22.4374
18925	1.39254e+07	23.1335	22.1678
18834	1.39254e+07	22.997	22.386
19136	1.39254e+07	22.5972	21.7056
18679	1.39254e+07	22.5355	22.0086
18758	1.39254e+07	22.9255	22.101
18845	1.39254e+07	22.7598	21.8006
18845	1.39254e+07	22.4282	21.9598
18634	1.39254e+07	22.763	21.8879
18896	1.39254e+07	22.6135	21.8315
18973	1.39254e+07	22.6135	22.1832
19207	1.37312e+07	22.8767	22.0908
18628	1.3901e+07	22.8183	21.6902
18936	1.3901e+07	22.581	22.1909
18755	1.3901e+07	22.6623	21.9136
18540	1.3901e+07	22.5907	21.6646
18408	1.3901e+07	22.4088	21.8725
19158	1.3901e+07	22.4088	21.68
19408	1.3901e+07	22.5712	22.4399
19206	1.3901e+07	23.3837	22.3552
18780	1.3901e+07	23.1302	22.4785
19499	1.3901e+07	23.218	22.1986
19098	1.3901e+07	23.0198	22.4477
18977	1.3901e+07	23.0847	22.4477
18811	1.3901e+07	23.0295	22.0574
18619	1.3901e+07	22.6232	21.8854
19006	1.3901e+07	22.5322	21.4463
18827	1.3901e+07	22.3307	22.2679
18152	1.3901e+07	22.8605	21.775
18525	1.3901e+07	22.2787	21.3154
18284	1.3901e+07	22.0252	21.4643
18556	1.3901e+07	22.1325	21.3308
18733	1.3901e+07	22.0642	21.721
17415	1.3901e+07	22.386	21.5978
17560	1.3901e+07	21.8985	20.4424
17543	1.3901e+07	21.2908	20.6427
16933	1.3901e+07	20.9853	20.4219
17122	1.3901e+07	20.9853	19.9007
17122	1.3901e+07	20.3027	19.8314
17879	1.3901e+07	20.7415	20.6068
17099	1.3901e+07	21.4403	20.2447
16917	1.3901e+07	20.644	19.7697
17360	1.3901e+07	20.397	20.047
17349	1.3901e+07	20.9007	20.4399
16818	1.3901e+07	21.0015	19.8545
17224	1.3901e+07	20.2897	19.7749
17409	1.3901e+07	20.7057	20.0778
16844	1.3901e+07	20.7057	19.857
17302	1.3901e+07	20.3158	19.857
17116	1.3901e+07	20.813	20.1292
17308	1.3901e+07	20.54	19.8134
17073	1.3901e+07	20.67	20.2088
16663	1.3901e+07	20.787	19.7569
16425	1.3901e+07	20.0492	19.5027
16960	1.3901e+07	20.0492	19.115
17444	1.3901e+07	19.8185	19.667
17566	1.3901e+07	20.8617	20.5246
16838	1.3901e+07	21.3492	20.3962
17524	1.3901e+07	20.6407	19.7158
17177	1.3901e+07	20.4522	20.2165
16905	1.3901e+07	20.8293	20.065
17732	1.3901e+07	20.566	19.9264
17729	1.3901e+07	20.7025	20.3089
18380	1.3901e+07	21.2615	20.7685
18208	1.3901e+07	21.411	20.9765
18120	1.3901e+07	21.8985	21.1793
17135	1.3901e+07	21.8985	20.9842
17422	1.3901e+07	21.762	20.558
17174	1.3901e+07	20.6798	20.2293
17174	1.3901e+07	20.8942	19.9726
17449	1.3901e+07	20.5823	20.2627
18126	1.3901e+07	21.1217	20.7711
18172	1.3901e+07	21.6645	21.0227
17758	1.3901e+07	21.9732	21.223
17244	1.3901e+07	21.268	20.1241
17747	1.3901e+07	20.8358	20.4399
17333	1.3901e+07	21.2875	20.6658
16608	1.3901e+07	21.0437	19.7287
17430	1.3901e+07	20.1143	19.8031
17760	1.3901e+07	20.9657	20.6119
18113	1.3901e+07	21.216	20.4553
17883	1.3901e+07	21.502	21.205
17700	1.3901e+07	21.775	20.8969
17591	1.3901e+07	21.2257	20.4553
17290	1.3901e+07	20.956	20.5118
17644	1.3901e+07	21.1542	20.4142
17411	1.3901e+07	21.1542	20.2935
17377	1.3901e+07	20.7967	20.3628
17388	1.3901e+07	20.9917	20.1497
17409	1.3901e+07	20.9917	20.3218
17081	1.3901e+07	20.9917	20.1446
12943	1.3901e+07	20.6213	20.0008
143	1.3901e+07	20.3352	16.8274
142	1.3901e+07	7.31575	0
144	1.3901e+07	0	0
143	1.3901e+07	0	0
140	1.3901e+07	0	0
141	1.3901e+07	0	0
140	1.3901e+07	0	0
140	1.3901e+07	0	0
140	1.3901e+07	0	0
141	1.3901e+07	0	0
143	1.3901e+07	0	0
143	1.3901e+07	0	0
147	1.3901e+07	0	0
145	1.3901e+07	0	0
145	1.3901e+07	0	0
142	1.3901e+07	0	0
143	1.3901e+07	0	0
141	1.3901e+07	0	0
6387	1.3901e+07	0	0
17085	1.3901e+07	0	0.6162
17408	1.3901e+07	1.95	1.5405
17678	1.3901e+07	3.9	3.081
17934	1.3901e+07	7.8	6.162
17048	1.40042e+07	19.5	15.405
16941	1.39025e+07	32.2218	27.4194
17114	1.39025e+07	31.4236	30.8316
17095	1.39025e+07	30.5728	29.8934
17304	1.39025e+07	20.3905	19.8647
16637	1.39025e+07	20.683	20.0856
16906	1.39025e+07	20.683	19.5952
15921	1.39025e+07	19.786	19.3256
16447	1.40235e+07	19.9615	18.925
15906	1.39029e+07	19.3797	18.925
16304	1.39029e+07	19.4513	18.4655
16468	1.39029e+07	19.1815	18.9764
17030	1.39029e+07	19.578	18.9764
16681	1.39029e+07	20.0525	19.667
16390	1.39029e+07	20.2345	19.4283
17222	1.39029e+07	19.916	19.1125
17222	1.39029e+07	19.7535	19.7543
17185	1.39029e+07	20.956	20.0881
16857	1.39029e+07	20.4165	19.8802
16721	1.39029e+07	20.4165	19.7929
16763	1.39029e+07	20.111	19.2229
17371	1.39029e+07	20.1857	20.083
17461	1.39029e+07	20.852	20.2678
17084	1.39029e+07	21.008	20.1574
17428	1.39029e+07	20.6343	20.1574
17372	1.39029e+07	20.8942	20.0008
17255	1.39029e+07	20.8942	20.3628
17385	1.39029e+07	20.8942	20.1164
16868	1.39029e+07	20.9722	20.196
