        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-27 20:31:32       151 1.39062e+07        0        0
2022-01-27 20:31:33       150 1.39062e+07        0        0
2022-01-27 20:31:34       153 1.39062e+07        0        0
2022-01-27 20:31:35       152 1.39062e+07        0        0
2022-01-27 20:31:36       152 1.39062e+07        0        0
2022-01-27 20:31:37       152 1.39062e+07        0        0
2022-01-27 20:31:38       152 1.39062e+07        0        0
2022-01-27 20:31:39       154 1.39062e+07        0        0
2022-01-27 20:31:40       152 1.39062e+07        0        0
2022-01-27 20:31:41       149 1.39062e+07        0        0
2022-01-27 20:31:42       154 1.39062e+07        0        0
2022-01-27 20:31:43       154 1.39062e+07        0        0
2022-01-27 20:31:44       154 1.39062e+07        0        0
2022-01-27 20:31:45       154 1.39062e+07        0        0
2022-01-27 20:31:46       156 1.39062e+07        0        0
2022-01-27 20:31:47       155 1.39062e+07        0        0
2022-01-27 20:31:48       153 1.39062e+07        0        0
2022-01-27 20:31:49       149 1.39062e+07        0        0
2022-01-27 20:31:50       150 1.39062e+07        0        0
2022-01-27 20:31:51       148 1.39062e+07        0        0
2022-01-27 20:31:52       148 1.39062e+07        0        0
2022-01-27 20:31:53       149 1.39062e+07        0        0
2022-01-27 20:31:54       149 1.39062e+07        0        0
2022-01-27 20:31:55       149 1.39062e+07        0        0
2022-01-27 20:31:56       144 1.39062e+07        0        0
2022-01-27 20:31:57       143 1.39062e+07        0        0
2022-01-27 20:31:58       145 1.39062e+07        0        0
2022-01-27 20:31:59       149 1.39062e+07        0        0
2022-01-27 20:32:00      2023 1.39062e+07        0        0
2022-01-27 20:32:01      5069 1.39062e+07        0   0.6162
2022-01-27 20:32:02      4897 1.39062e+07     1.95   1.5405
2022-01-27 20:32:03      4924 1.39062e+07      3.9    3.081
2022-01-27 20:32:04      4986 1.39062e+07      7.8    6.162
2022-01-27 20:32:05      5022 1.39062e+07     19.5   15.405
2022-01-27 20:32:06      4816 1.39062e+07  34.9615  30.4778
2022-01-27 20:32:07      4815 1.39062e+07  38.7894  36.8025
2022-01-27 20:32:08      4893 1.39062e+07    35.49  35.0643
2022-01-27 20:32:09      4682 1.39062e+07  24.2027  23.3642
2022-01-27 20:32:10      4713 1.39062e+07  24.0077  23.1563
2022-01-27 20:32:11      4649 1.39062e+07  23.4812  22.5221
2022-01-27 20:32:12      4886 1.39062e+07   23.335  22.6787
2022-01-27 20:32:13      4680 1.39062e+07  23.5495  23.1845
2022-01-27 20:32:14      4649 1.39062e+07   24.336  23.2359
2022-01-27 20:32:15      4649 1.39062e+07  23.3545  22.4605
2022-01-27 20:32:16      4749 1.39062e+07  23.4097   23.223
2022-01-27 20:32:17      4594 1.39062e+07  23.7705  22.5529
2022-01-27 20:32:18      4803 1.39062e+07  23.0685  22.2654
2022-01-27 20:32:19      4732 1.39062e+07   23.517  22.9868
2022-01-27 20:32:20      4589 1.39062e+07  23.6535  22.7763
2022-01-27 20:32:21      4348 1.39062e+07   23.179  22.3013
2022-01-27 20:32:22      4564 1.39062e+07  22.2917  21.2923
2022-01-27 20:32:23      4655 1.39062e+07  22.5875  21.9855
2022-01-27 20:32:24      4675 1.39062e+07   22.997  22.3552
2022-01-27 20:32:25      4675 1.39062e+07  22.8865  22.9021
2022-01-27 20:32:26      4622 1.39062e+07   23.777  22.6094
2022-01-27 20:32:27      4596 1.39062e+07  23.1335  22.2268
2022-01-27 20:32:28      4550 1.39062e+07  22.4608   22.119
2022-01-27 20:32:29      4612 1.39062e+07   22.841  22.0497
2022-01-27 20:32:30      4542 1.39062e+07  23.1887  22.3552
2022-01-27 20:32:31      4481 1.39062e+07  22.7305  21.7698
2022-01-27 20:32:32      4468 1.39062e+07  22.6687   21.947
2022-01-27 20:32:33      4657 1.39062e+07  22.1423  21.5002
2022-01-27 20:32:34      4608 1.39062e+07  22.5745  22.3141
2022-01-27 20:32:35      4487 1.39062e+07  23.2668  22.3758
