        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-27 20:47:34       157 1.39143e+07        0        0
2022-01-27 20:47:35       156 1.39143e+07        0        0
2022-01-27 20:47:36       161 1.39143e+07        0        0
2022-01-27 20:47:37       153 1.39143e+07        0        0
2022-01-27 20:47:38       154 1.39143e+07        0        0
2022-01-27 20:47:39       156 1.39143e+07        0        0
2022-01-27 20:47:40     12445 1.39143e+07        0        0
2022-01-27 20:47:41     20066 1.39143e+07        0   0.6162
2022-01-27 20:47:42     20315 1.39143e+07     1.95   1.5405
2022-01-27 20:47:43     19540 1.39143e+07      3.9    3.081
2022-01-27 20:47:44     19540 1.39143e+07      7.8    6.162
2022-01-27 20:47:45     20024 1.39143e+07     19.5   15.405
2022-01-27 20:47:46     19428 1.39143e+07  34.2849  29.4153
2022-01-27 20:47:47     19067 1.39962e+07   36.335  34.6345
2022-01-27 20:47:48     19394  1.3908e+07  34.2972  32.8922
2022-01-27 20:47:49     19640  1.3908e+07   23.283  22.9791
2022-01-27 20:47:50     19553  1.3908e+07   23.686  22.7429
2022-01-27 20:47:51     18971  1.3908e+07  23.3708  22.4913
2022-01-27 20:47:52     18557  1.3908e+07  22.8865  21.7775
2022-01-27 20:47:53     19046  1.3908e+07   22.412  21.7185
2022-01-27 20:47:54     18484  1.3908e+07  22.6395  22.1755
2022-01-27 20:47:55     19153  1.3908e+07  22.5355  21.9906
2022-01-27 20:47:56     19216  1.3908e+07  23.0262  22.1087
2022-01-27 20:47:57     19155  1.3908e+07  23.1725  22.4733
2022-01-27 20:47:58     18934  1.3908e+07  23.0847  22.3552
2022-01-27 20:47:59     18717  1.3908e+07  22.5063  21.9521
2022-01-27 20:48:00     18816  1.3908e+07  22.9872  21.9521
2022-01-27 20:48:01     19017  1.3908e+07   22.516  22.0702
2022-01-27 20:48:02     18385  1.3908e+07  23.0262  22.1344
2022-01-27 20:48:03     18828  1.3908e+07  22.5225  21.4617
2022-01-27 20:48:04     18967  1.3908e+07   22.152  21.8058
2022-01-27 20:48:05     18801  1.3908e+07  22.7565  22.1524
2022-01-27 20:48:06     19074  1.3908e+07   22.581   21.816
2022-01-27 20:48:07     18849  1.3908e+07  22.8605  22.2833
2022-01-27 20:48:08     19042  1.3908e+07  22.8085  22.0214
2022-01-27 20:48:09     18491  1.3908e+07   22.451  21.9316
2022-01-27 20:48:10     18863  1.3908e+07  22.9742  21.9316
2022-01-27 20:48:11     18289  1.3908e+07  22.0642  21.8212
