scalerS16b	IPM2C21A	IPM2C24A	
324	1.37101e+07	0	0
321	1.38426e+07	0	0
327	1.3087e+07	0	0
326	1.38609e+07	0	0
324	1.34051e+07	0	0
323	1.102e+07	0	0
327	1.08269e+07	0	0
328	1.36718e+07	0	0
324	1.30179e+07	0	0
328	8.83768e+06	0	0
328	1.2658e+07	0	0
330	1.27294e+07	0	0
325	1.33389e+07	0	0
604	1.37497e+07	0	0
604	1.37497e+07	0	0
1391	1.37497e+07	0.507975	0.6162
1390	1.34699e+07	1.95	1.5405
1387	1.35786e+07	3.9	3.081
1390	1.33686e+07	7.8	6.162
1394	1.32251e+07	19.5	15.405
1390	1.31107e+07	31.4275	27.501
1398	1.19815e+07	31.005	29.9247
1390	1.36841e+07	20.3255	29.3825
1394	1.38227e+07	20.3255	19.3461
1385	1.38227e+07	20.1903	19.5335
1376	1.38227e+07	20.1903	19.3898
1379	1.38227e+07	20.0642	19.4719
1354	1.34415e+07	20.3008	19.4719
1374	1.38495e+07	20.1695	19.2768
1378	1.25361e+07	20.0629	19.4539
1383	1.36489e+07	20.2748	19.4539
1384	1.31065e+07	20.0798	19.4539
1377	1.36091e+07	20.3567	19.4539
1392	1.38382e+07	20.0876	19.4539
1370	1.37009e+07	20.2423	19.5592
1363	1.38541e+07	20.3346	19.4437
1378	1.38541e+07	20.0317	19.2768
1367	1.38541e+07	20.0317	19.2768
1370	1.28312e+07	19.9407	19.1613
1382	1.37417e+07	20.0694	19.4026
1363	1.17776e+07	20.0057	19.3102
1377	1.168e+07	20.1175	19.2229
1376	1.33287e+07	19.9654	19.3179
1355	1.36669e+07	19.9654	19.1381
1393	1.38131e+07	19.9654	19.1381
1393	1.38131e+07	19.7158	19.1381
1372	1.38131e+07	20.1747	19.418
1366	1.35066e+07	20.0408	19.418
1371	1.31558e+07	20.0408	19.0919
1380	1.36887e+07	19.8341	19.1998
1361	1.21438e+07	19.9732	19.3256
1383	1.34264e+07	19.9732	19.2075
1361	1.38326e+07	20.0577	19.4283
1369	1.30638e+07	19.9576	19.0226
1376	1.36051e+07	19.9069	19.2742
1362	1.38585e+07	19.9069	19.2742
1364	1.38585e+07	19.9069	19.038
1363	1.30043e+07	19.7197	19.038
1357	1.38034e+07	19.799	19.0894
1372	1.39153e+07	19.6963	18.9559
1378	1.39153e+07	19.8796	19.1022
1360	1.38257e+07	19.8796	19.1638
1356	1.38257e+07	19.7262	19.0175
1365	1.38257e+07	19.7262	18.9456
1377	1.38257e+07	19.7262	18.9456
1383	1.38257e+07	19.6625	19.1895
1353	1.34257e+07	20.0304	19.3564
1374	1.24754e+07	19.9121	18.925
1365	1.33237e+07	19.7132	19.074
1352	1.35968e+07	19.7132	19.0021
1372	1.35968e+07	19.7132	18.8275
1364	1.38525e+07	19.591	19.0894
1369	1.38525e+07	19.9537	19.0894
1368	1.36554e+07	19.6898	18.943
1367	1.0471e+07	19.5871	18.943
1369	1.26233e+07	19.7301	19.1535
1369	1.26233e+07	19.7301	18.9481
1389	1.3213e+07	19.8068	19.2383
1368	1.30699e+07	20.0512	19.0894
1355	1.08955e+07	19.7795	19.0894
1373	1.34352e+07	19.7795	18.9071
1399	1.34352e+07	19.6911	19.2023
1369	1.20333e+07	20.0928	19.3025
1367	1.14358e+07	19.7561	18.9867
1371	1.33341e+07	19.8367	19.0586
1374	7.47474e+06	19.8367	19.1535
1370	1.20601e+07	19.773	19.0894
1381	1.34445e+07	19.773	19.0277
1388	1.30628e+07	19.8731	19.0791
1373	1.31774e+07	19.6703	19.1381
1484	1.08796e+07	19.7223	18.9122
1497	1.12959e+07	20.5764	20.9303
1515	1.27788e+07	22.0272	21.3334
1514	1.34961e+07	22.1689	21.3334
1652	1.32987e+07	22.2326	21.3334
1661	1.38176e+07	23.2401	23.9137
1660	1.37093e+07	25.1472	24.1627
1711	1.33294e+07	25.22	24.2885
1838	1.34286e+07	25.22	24.5581
1836	1.22985e+07	26.7579	27.1796
1867	1.21941e+07	28.5844	27.5339
2018	1.36221e+07	28.496	27.5339
2013	1.38568e+07	29.536	30.1579
2029	1.38568e+07	31.9098	30.7099
2026	1.38568e+07	47.684	30.9563
2050	1.37731e+07	32.019	30.8126
2214	1.38568e+07	32.019	30.638
2214	1.38568e+07	32.4772	33.0437
2229	1.38568e+07	35.542	34.4738
2282	1.38568e+07	35.711	34.1786
2428	1.38568e+07	36.4325	37.2365
2442	1.38568e+07	39.6045	37.9297
2423	1.38568e+07	39.8872	38.5074
2614	1.38568e+07	39.8872	38.5074
2656	1.38568e+07	41.7072	41.9735
2658	1.38568e+07	44.226	42.3997
2683	1.38568e+07	43.7743	42.1404
2876	1.29908e+07	43.8522	43.4421
2851	1.38448e+07	47.372	46.1328
2872	1.38448e+07	47.6222	45.8941
2971	1.38448e+07	47.6222	46.1277
3124	1.37113e+07	48.2852	48.459
3089	1.35625e+07	51.896	50.5002
3247	1.38443e+07	52.3412	50.2922
3310	1.38443e+07	52.3412	51.8224
3356	1.32413e+07	56.5728	54.5876
3293	1.38499e+07	56.8262	54.829
3370	1.38499e+07	57.07	54.7494
3292	1.38499e+07	56.199	54.6569
3359	1.3539e+07	57.2227	54.6569
3365	1.38439e+07	56.3485	53.9714
3613	1.38439e+07	56.524	54.3411
3623	1.38439e+07	58.3862	58.9241
3755	1.38439e+07	62.2603	59.7663
3884	1.36811e+07	61.8703	60.2618
3993	1.38544e+07	65.2763	64.5983
4146	1.38544e+07	67.1222	103.157
4171	1.38544e+07	68.991	69.2814
4171	1.38544e+07	71.9355	68.6703
4157	1.33661e+07	71.7113	69.2044
4114	1.38116e+07	71.7113	69.492
4112	1.38116e+07	71.435	69.1376
4124	1.38116e+07	71.5163	68.4393
4174	1.38116e+07	71.2367	68.8347
4139	1.38116e+07	71.6137	69.4509
4119	1.38116e+07	71.8835	68.7731
4431	1.37086e+07	71.0385	70.7243
4386	1.38389e+07	76.466	73.9799
4461	1.27178e+07	76.2418	73.9132
4734	1.3371e+07	77.3337	75.1969
4660	1.34459e+07	80.4473	79.8595
4710	1.3844e+07	132.203	79.0328
4704	1.31983e+07	82.446	79.1406
4900	1.34069e+07	82.446	79.7671
4973	1.38511e+07	84.7535	83.3821
5015	1.24969e+07	88.192	84.707
5288	1.38193e+07	88.257	85.0972
5248	1.38193e+07	90.207	89.1025
5245	1.38193e+07	94.2565	89.7547
5286	1.33836e+07	93.2425	90.2733
5500	1.37331e+07	93.327	89.8882
5537	1.3815e+07	95.381	93.6675
5544	1.28955e+07	98.722	94.6894
5523	1.20784e+07	98.722	94.9205
5854	1.37879e+07	98.5335	94.4891
5817	1.37879e+07	99.9375	99.542
5922	1.32706e+07	104.975	100.333
5885	1.18146e+07	103.961	100.492
6145	1.38325e+07	105.755	100.569
6145	1.38325e+07	105.001	104.24
6187	1.09324e+07	110.487	105.873
6102	1.32488e+07	110.597	106.413
6168	8.85741e+06	109.999	105.725
6479	1.1201e+07	110.857	108.554
6457	1.2142e+07	116.246	112.092
6497	1.33653e+07	116.057	112.415
6508	1.18359e+07	117.546	111.722
6519	1.28245e+07	116.987	112.78
6385	1.14519e+07	116.272	111.501
6530	1.28757e+07	115.934	111.435
6543	1.15772e+07	116.604	112.082
6497	1.23322e+07	116.356	112.503
6492	1.34056e+07	117.078	112.092
6417	1.34056e+07	117.13	112.318
6423	1.1563e+07	115.667	110.515
6496	1.13155e+07	116.805	112.092
6440	6.94416e+06	115.479	111.26
6448	2.9995e+06	116.915	111.363
6477	7.63576e+06	116.161	111.984
6458	8.30326e+06	115.856	111.64
6462	9.29247e+06	116.922	111.691
6527	6.4057e+06	116.09	112.374
6507	8.35314e+06	116.551	112.867
6503	7.74716e+06	116.551	111.265
6447	8.76088e+06	116.785	112.575
6368	1.13306e+07	117.228	110.993
6457	1.06654e+07	116.311	111.779
6496	1.32488e+07	115.629	111.727
6462	1.14438e+07	116.337	112.518
6516	1.0669e+07	117.215	111.496
6516	1.0669e+07	116.35	111.835
6498	9.16823e+06	116.818	113.068
6491	9.16823e+06	118.092	113.247
6525	1.11829e+07	116.551	112.267
6529	1.06329e+07	118.43	112.267
6430	1.36384e+07	116.356	112.826
6464	1.37629e+07	117.338	112.826
6446	1.34834e+07	117.396	111.697
6491	9.1791e+06	115.986	112.492
6543	8.28739e+06	117.832	112.277
6462	9.99774e+06	116.356	113.406
6437	1.37677e+07	116.883	111.522
6488	1.18702e+07	117.286	112.344
6486	1.00549e+07	117.11	112.585
6456	1.29243e+07	117.013	112.179
6464	1.18452e+07	116.571	111.589
6495	6.7717e+06	116.928	112.811
6440	1.13555e+07	116.812	112.364
6508	1.12719e+07	116.448	111.922
6478	8.82427e+06	117.175	112.883
6536	1.32867e+07	117.591	113.098
6439	8.97571e+06	117.292	112.308
6543	1.19976e+07	117.201	112.657
6512	1.17537e+07	117.273	112.934
6538	9.63294e+06	118.684	113.668
6566	1.15802e+07	117.689	113.263
6525	1.32099e+07	118.358	113.802
6591	1.29902e+07	118.527	114.141
6442	1.33501e+07	118.527	113.566
6564	1.38409e+07	118.82	113.278
6687	1.38409e+07	117.208	113.093
6687	1.38409e+07	118.456	114.074
6447	1.38409e+07	120.029	113.899
6530	1.31883e+07	117.195	113.951
6483	1.38523e+07	118.196	112.097
6524	1.37123e+07	116.948	112.518
6483	1.37123e+07	117.149	112.708
6513	1.31064e+07	117.773	112.975
6399	8.616e+06	116.551	111.568
6478	7.20392e+06	116.214	111.039
6399	7.44755e+06	116.701	112.513
6422	5.08115e+06	116.025	111.101
6438	1.10224e+07	115.57	111.363
6527	7.92643e+06	116.48	111.204
6433	1.09424e+07	116.714	113.006
6461	1.2768e+07	116.961	111.435
6498	1.38302e+07	116.857	112.308
6509	1.38302e+07	115.583	112.308
6420	1.38302e+07	117.923	112.564
6433	1.38302e+07	117.487	111.953
6527	1.38302e+07	115.947	111.604
6428	1.26275e+07	116.415	112.96
6549	1.22324e+07	116.415	111.568
6421	1.03187e+07	117.221	112.564
6425	1.2523e+07	117.084	112.395
6574	1.11394e+07	116.46	111.604
6479	1.3851e+07	116.389	112.539
6458	1.3851e+07	117.91	112.636
6511	1.3851e+07	116.499	112.636
6520	1.3851e+07	118.144	113.247
6522	1.17978e+07	117.234	112.703
6531	1.27515e+07	117.513	112.605
6531	1.27515e+07	117.942	113.062
6541	1.38605e+07	117.195	112.261
6457	1.3527e+07	117.916	113.227
6501	1.3527e+07	116.98	113.17
6552	1.33807e+07	117.578	113.17
6426	1.32032e+07	117.436	113.032
6550	1.11742e+07	117.201	112.446
6418	1.34883e+07	118.605	112.631
6537	1.27581e+07	116.103	112.169
6481	1.14348e+07	117.039	112.97
6466	1.28871e+07	117.403	112.287
6463	1.37128e+07	116.851	112.287
6493	1.37128e+07	116.253	112.611
6497	1.28163e+07	117.968	111.922
6523	1.20687e+07	116.935	113.376
6488	1.31894e+07	118.014	112.405
6514	8.35246e+06	116.493	112.795
6502	1.23553e+07	117.552	112.893
6401	9.5995e+06	117.552	112.559
6552	1.3073e+07	116.941	112.308
6541	1.35408e+07	117.799	112.816
6539	1.37342e+07	117.344	113.309
6508	1.36038e+07	118.183	113.309
6622	1.2089e+07	118.527	112.759
6463	1.38379e+07	117.377	114.403
6510	1.38379e+07	118.268	112.231
6551	1.0649e+07	117.312	112.395
6534	1.1587e+07	117.878	114.711
6559	1.3855e+07	118.45	113.36
6501	1.3855e+07	118.131	113.36
6499	1.3855e+07	118.904	114.002
6499	1.3855e+07	117.247	112.996
6548	1.3855e+07	117.585	113.381
6527	1.3855e+07	118.664	112.436
6511	1.3758e+07	117.403	113.535
6516	1.12225e+07	117.923	113.17
6510	1.30454e+07	117.481	112.169
6479	1.38458e+07	117.254	113.34
6513	1.38458e+07	117.852	113.252
6489	1.38458e+07	117.67	112.318
6482	1.38458e+07	116.844	112.703
6477	1.30166e+07	117.41	112.302
6406	1.38553e+07	116.805	112.143
6496	1.30188e+07	115.798	111.044
6484	1.38463e+07	116.772	112.462
6365	1.24225e+07	116.415	112.22
6534	1.38401e+07	117.11	111.008
6495	1.25179e+07	116.948	112.636
6446	1.37808e+07	116.181	112.636
6437	1.38576e+07	117.13	111.681
6486	1.38576e+07	116.766	112.441
6526	1.38576e+07	116.415	112.205
6452	1.37834e+07	117.657	112.703
6549	1.37834e+07	117.436	112.508
6442	1.38598e+07	117.162	113.679
6447	1.38598e+07	116.766	111.193
6475	1.38598e+07	115.706	111.388
6447	1.353e+07	116.785	112.41
6534	1.30759e+07	116.863	111.989
6473	1.34405e+07	116.337	112.231
6443	1.39515e+07	117.007	112.231
6455	1.38556e+07	117.065	111.861
6455	1.38556e+07	116.343	111.861
6438	1.35205e+07	116.46	112.154
6465	1.30174e+07	116.46	111.573
6525	1.37513e+07	116.396	113.437
6515	1.3825e+07	117.481	112.205
6490	1.26783e+07	117.799	112.872
6449	1.38529e+07	116.643	112.657
6532	1.35097e+07	117.026	111.768
6431	1.37559e+07	116.961	112.605
6402	1.26108e+07	117.52	111.471
6498	1.36849e+07	115.531	111.471
6500	1.31828e+07	116.467	112.472
6427	1.38517e+07	117.312	112.698
6506	1.29703e+07	116.98	111.845
6520	1.34567e+07	116.317	112.2
6389	1.37572e+07	117.793	113.026
6410	1.37572e+07	116.876	111.147
6434	1.39288e+07	115.544	111.64
6494	1.39288e+07	116.851	111.64
6427	1.38525e+07	116.668	112.646
6473	1.38525e+07	116.812	111.671
6378	1.38525e+07	116.486	112.169
6412	1.38525e+07	116.623	110.993
6523	1.38525e+07	115.622	111.717
6472	1.38525e+07	117.039	112.518
6533	1.38525e+07	116.74	112.2
6394	1.38525e+07	116.883	112.498
6450	1.38525e+07	117.234	112.231
6529	1.36517e+07	116.363	111.856
6411	1.31695e+07	116.467	111.856
6512	1.38562e+07	117.273	112.21
6512	1.38562e+07	116.525	112.59
6505	1.34571e+07	117.526	112.857
6395	1.38416e+07	117.241	112.534
6461	1.29208e+07	116.402	111.486
6484	1.30457e+07	116.532	112.611
6424	1.38587e+07	116.694	111.301
6480	1.38587e+07	116.402	112.066
6375	1.25877e+07	117.37	111.876
6530	1.28416e+07	115.966	111.455
6396	9.46512e+06	116.532	112.328
6429	1.29151e+07	116.291	112.328
6436	1.26422e+07	116.792	111.471
6467	1.11125e+07	117.221	111.892
6537	1.33575e+07	116.486	112.051
6461	1.3857e+07	117.383	113.109
6472	1.3857e+07	116.668	112.503
6451	1.37793e+07	116.59	111.964
6412	1.37793e+07	116.59	112.097
6473	1.36344e+07	116.59	110.741
6417	1.38616e+07	115.485	111.738
6429	1.32785e+07	116.473	111.912
6443	1.38512e+07	116.181	111.27
6473	1.38512e+07	116.935	111.881
6397	1.37141e+07	115.336	110.526
6382	1.38505e+07	116.006	111.64
6438	1.38505e+07	116.168	110.988
6458	1.28989e+07	115.193	111.162
6454	1.18219e+07	116.564	112.4
6416	1.35062e+07	115.94	112.174
6371	1.36683e+07	117.455	111.342
6444	1.3934e+07	115.726	111.876
6444	1.3934e+07	116.317	112.225
6478	1.33218e+07	116.688	112.354
6423	1.31713e+07	116.473	111.204
6517	1.27377e+07	116.558	112.652
6463	1.37388e+07	117.396	112.4
6452	1.22615e+07	116.948	111.809
6502	1.34821e+07	116.876	112.816
6429	1.27884e+07	117.149	111.625
6446	1.37972e+07	116.181	112.189
6483	1.2383e+07	116.948	111.702
