scalerS16b	IPM2C21A	IPM2C24A	
397	1.3695e+07	0	0
398	9.78167e+06	0	0
399	1.33557e+07	0	0
396	1.37855e+07	0	0
396	1.33582e+07	0	0
401	1.34775e+07	0	0
404	1.38439e+07	0	0
404	1.38439e+07	0	0
401	1.38439e+07	0	0
403	1.38439e+07	0	0
402	1.38439e+07	0	0
3045	1.28597e+07	0	0
4896	1.14868e+07	1.23939	1.5405
4875	1.38583e+07	3.9	3.081
4891	1.38583e+07	7.19472	6.162
4882	1.36365e+07	8.70415	8.30484
4827	1.32915e+07	8.1263	7.85193
4933	1.35658e+07	5.2897	5.09546
4910	1.38232e+07	5.2897	5.16273
4785	1.38232e+07	5.2897	5.16273
4921	1.27958e+07	5.2897	5.059
14234	1.38293e+07	5.2897	5.29881
16029	1.02089e+07	9.3314	15.0312
15914	1.3035e+07	18.0252	27.0337
15897	1.20247e+07	27.8551	25.9446
15860	8.0556e+06	18.0583	17.3974
18943	8.42402e+06	18.0583	17.3306
18994	1.28581e+07	18.7915	19.9495
18994	1.28581e+07	21.8582	20.9636
19107	1.37075e+07	21.6619	20.825
28287	1.02659e+07	23.4117	27.9832
28618	1.1387e+07	32.7041	31.5032
28654	1.11906e+07	48.6655	31.344
36650	1.13168e+07	33.787	36.574
36354	7.79169e+06	41.7202	40.3893
37301	7.4527e+06	42.029	40.6718
44312	9.72444e+06	43.1307	44.5153
44428	7.59807e+06	50.362	49.6606
44910	1.07507e+07	51.2297	49.124
53273	6.32968e+06	51.5612	53.2371
52399	1.32102e+07	60.0827	58.4928
53330	1.0456e+07	60.593	58.4312
59943	1.10044e+07	61.2267	61.2246
60476	1.09031e+07	67.9412	66.6728
60235	4.22356e+06	68.692	106.587
60535	9.55758e+06	69.3323	67.1658
61306	5.52477e+06	69.42	67.1658
63127	1.11417e+07	70.33	68.0233
62640	1.12682e+07	71.318	69.9798
63748	1.30269e+07	72.9853	69.5279
75223	3.16461e+06	72.813	71.8746
72929	1.23385e+07	80.4895	82.617
74389	1.16439e+07	137.176	81.2973
64744	1.11104e+07	84.9485	81.8776
327	9.94484e+06	89.453	76.3215
321	1.37088e+07	33.7935	2.01292
325	1.38612e+07	0	0
326	1.38612e+07	0	0
327	6.45634e+06	0	0
327	6.45634e+06	0	0
323	1.14111e+07	0	0
326	1.03491e+07	0	0
330	1.2906e+07	0	0
329	9.09725e+06	0	0
329	1.30362e+07	0	0
324	1.38449e+07	0	0
326	1.38449e+07	0	0
322	1.38449e+07	0	0
324	1.29767e+07	0	0
324	1.22516e+07	0	0
326	7.34602e+06	0	0
321	1.16922e+07	0	0
326	5.1759e+06	0	0
316	1.30501e+07	0	0
318	1.31571e+07	0	0
319	1.38342e+07	0	0
320	1.3178e+07	0	0
319	1.34368e+07	0	0
316	1.38225e+07	0	0
316	1.2101e+07	0	0
311	1.35185e+07	0	0
319	1.28188e+07	0	0
320	1.15828e+07	0	0
319	1.09498e+07	0	0
321	1.38096e+07	0	0
324	1.38096e+07	0	0
327	1.38096e+07	0	0
325	1.38096e+07	0	0
322	1.25592e+07	0	0
322	1.25592e+07	0	0
324	4.36339e+06	0	0
323	1.38135e+07	0	0
319	1.23089e+07	0	0
321	1.35255e+07	0	0
320	1.38562e+07	0	0
320	1.10384e+07	0	0
325	1.38337e+07	0	0
321	1.32981e+07	0	0
324	1.38574e+07	0	0
324	1.38574e+07	0	0
327	1.38574e+07	0	0
325	1.38574e+07	0	0
322	1.38574e+07	0	0
324	1.38574e+07	0	0
323	1.38574e+07	0	0
323	1.38574e+07	0	0
732	1.3599e+07	0	0
4885	1.26622e+07	0	0
5006	1.36938e+07	0.78	1.5405
4950	1.07773e+07	1.95	3.081
4931	1.25134e+07	3.9	6.162
4995	1.38532e+07	7.22358	8.42217
4929	1.14494e+07	8.75972	8.09276
4832	1.36547e+07	8.3044	5.15503
7498	9.87544e+06	5.29425	5.15503
8275	1.2839e+07	6.2426	7.91355
8118	1.29322e+07	9.2183	8.87379
15987	1.01907e+07	9.1546	8.78342
18112	1.2674e+07	10.7718	15.8651
18508	1.1283e+07	20.6213	31.0236
18508	1.1283e+07	31.9878	29.9704
18086	1.3855e+07	31.2162	19.8545
18178	1.26312e+07	20.774	20.101
20707	1.14657e+07	20.9592	21.5156
21210	1.25394e+07	23.9525	23.3283
21309	1.21901e+07	24.2808	23.3283
28907	1.34305e+07	24.609	27.5287
30540	1.38634e+07	33.7415	33.5418
30824	1.38634e+07	34.9992	33.8499
37675	1.37408e+07	35.3275	36.9155
38467	1.34455e+07	42.939	42.5358
39237	1.19714e+07	44.3073	43.0313
45115	1.38435e+07	44.8695	44.9698
45799	1.38435e+07	50.804	51.0393
46114	7.60831e+06	52.9198	51.1138
53063	9.93259e+06	53.066	52.1947
53998	1.38472e+07	58.8965	59.3811
53922	1.35082e+07	61.7045	59.3811
61430	9.63345e+06	61.841	60.7085
63129	1.11538e+07	67.6943	68.6575
62633	1.38491e+07	72.2377	111.404
62100	1.38491e+07	71.9095	68.7371
62262	1.36653e+07	71.1945	69.0503
64665	1.34845e+07	72.2475	69.6563
64905	8.72317e+06	73.2225	71.1711
64513	1.25621e+07	73.944	71.587
74201	1.31626e+07	74.3015	72.0595
74088	1.10528e+07	78.9132	81.6568
73879	1.37729e+07	138.034	82.0162
81801	1.38618e+07	85.3515	81.9546
81398	1.32604e+07	87.9905	88.7174
81398	1.32604e+07	94.315	90.91
82235	1.05695e+07	94.562	90.5814
90882	1.28078e+07	96.7655	98.782
90383	1.33051e+07	105.43	100.651
90887	1.33051e+07	104.273	100.713
99262	1.3794e+07	106.457	106.515
97887	1.3794e+07	114.328	109.509
99601	1.31018e+07	114.029	109.247
105191	1.38525e+07	115.174	114.351
107083	1.38525e+07	121.719	117.53
103731	1.26756e+07	122.733	117.093
112872	1.38447e+07	121.271	120.447
114708	1.38447e+07	130.767	126.675
112832	1.30562e+07	131.521	187.048
113097	1.31477e+07	130.449	125.119
113399	1.26272e+07	130.747	126.516
115442	1.38625e+07	131.202	127.841
115254	1.38625e+07	133.536	127.656
117423	1.38625e+07	133.081	128.365
123199	1.03258e+07	134.173	131.322
124362	1.37768e+07	142.031	136.766
123601	1.38648e+07	142.324	138.429
133906	1.38648e+07	143.663	138.974
129931	1.38648e+07	150.768	147.179
133782	1.32376e+07	151.548	145.68
133533	6.64403e+06	152.971	147.313
135137	1.30622e+07	154.336	149.131
136291	1.38498e+07	155.688	150.866
135623	1.38498e+07	156.773	149.87
132472	1.38498e+07	229.385	149.675
136271	1.38498e+07	156.65	148.494
136271	1.38498e+07	155.545	151.195
133067	1.38498e+07	155.909	148.761
135412	6.57828e+06	153.426	148.206
134734	4.75356e+06	154.531	149.357
136018	7.6906e+06	156.832	151.77
134849	8.7755e+06	156.52	151.103
135397	1.11734e+07	155.623	148.997
137249	1.33581e+07	155.909	150.589
133471	1.32608e+07	157.417	150.178
135470	1.3633e+07	154.31	149.049
133773	1.38503e+07	155.896	150.219
135941	1.38503e+07	155.103	150.445
133966	1.27591e+07	156.169	149.398
134738	8.67105e+06	154.973	149.511
135410	8.61718e+06	155.753	149.983
134051	1.38468e+07	155.857	148.381
134579	1.38468e+07	153.803	150.178
134904	1.38468e+07	156.026	148.617
135746	1.38468e+07	154.947	150.589
136328	1.32031e+07	155.831	149.952
134654	1.33986e+07	156.676	151.39
135715	1.25487e+07	156.091	150.024
134875	1.37095e+07	156.572	150.188
133781	1.38378e+07	155.597	149.808
136314	1.12017e+07	154.804	148.977
134885	1.3283e+07	155.584	150.538
135754	1.38516e+07	155.376	150.086
134335	1.34606e+07	156.247	150.651
135148	4.75549e+06	155.389	149.644
134391	1.10214e+07	155.844	150.045
134519	1.3564e+07	155.61	149.151
134519	1.3564e+07	155.961	150.055
136421	1.34754e+07	155.337	150.753
133592	1.36886e+07	155.61	149.88
136101	1.26411e+07	155.701	151.811
136126	1.38461e+07	155.948	149.737
134603	1.38461e+07	155.532	148.679
135497	1.38461e+07	155.532	151.072
134108	1.38461e+07	156.286	148.915
134817	1.38461e+07	154.271	148.36
134854	1.38461e+07	155.025	150.404
133951	1.38461e+07	155.662	148.987
133753	1.38461e+07	154.674	148.699
134589	1.38461e+07	154.167	148.781
135005	1.38461e+07	154.063	148.874
135543	1.29399e+07	155.558	150.404
134838	1.38692e+07	156.403	150.764
135955	1.38692e+07	156.208	150.086
135853	1.38692e+07	156.416	150.219
135762	1.38692e+07	156.949	151.103
134990	1.38692e+07	156.338	149.788
135101	1.02592e+07	155.311	149.891
134311	1.36377e+07	154.778	149.213
137053	1.38311e+07	154.531	149.829
134854	1.34175e+07	156.91	151.38
136148	1.38648e+07	155.831	149.665
135089	1.38648e+07	155.519	150.476
137051	1.38648e+07	156.026	150.076
134519	1.38648e+07	155.948	151.76
135402	1.38648e+07	156.741	149.88
134508	1.38648e+07	155.935	149.449
135536	1.38648e+07	154.648	149.244
135536	1.38648e+07	155.662	150.733
135665	1.38648e+07	156.624	150.363
135792	1.38648e+07	156.455	150.723
135204	1.38648e+07	156.533	150.281
136933	1.32316e+07	155.74	150.979
135524	1.38589e+07	157.378	150.979
134982	1.38589e+07	156.676	150.486
135434	1.38589e+07	154.791	150.106
136066	1.04973e+07	156.091	150.887
135987	5.33336e+06	157.183	149.839
134484	5.81857e+06	156.026	150.815
135806	1.37289e+07	155.506	150.076
135327	1.31977e+07	156.572	150.076
135706	1.35798e+07	155.688	148.597
133419	1.38616e+07	156.299	150.199
135928	1.34442e+07	154.089	149.172
134744	1.37776e+07	155.558	149.634
136616	1.38581e+07	155.337	149.387
132697	1.38581e+07	155.623	150.363
135538	1.38581e+07	154.245	148.556
136123	1.38581e+07	154.986	150.558
133820	1.38581e+07	156.624	150.23
136156	1.38581e+07	154.323	149.624
134449	1.3683e+07	157.053	150.394
135141	1.38524e+07	155.181	149.963
135592	1.38524e+07	156.754	150.332
134668	1.38524e+07	155.675	149.685
136912	1.38524e+07	154.739	149.583
133047	1.38524e+07	156	151.041
133485	1.22672e+07	156.702	148.73
133509	1.38605e+07	152.932	148.093
133509	1.38605e+07	153.855	148.473
124688	1.38605e+07	152.555	140.822
124087	1.20054e+07	142.012	136.817
122217	1.38548e+07	143.195	136.817
114316	1.27743e+07	140.205	130.224
113168	1.38582e+07	131.677	127.266
114026	1.38582e+07	130.767	125.499
110013	1.20583e+07	130.494	123.035
109471	1.36784e+07	126.269	122.09
109617	1.26681e+07	126.49	122.028
99180	1.37059e+07	125.112	114.398
95814	1.36032e+07	113.529	108.246
96763	1.3758e+07	112.229	108.246
91794	1.3758e+07	111.41	104.302
90777	1.38438e+07	106.093	101.735
92606	1.32491e+07	105.222	101.509
92301	1.38614e+07	105.989	101.991
90581	1.33555e+07	105.872	101.745
91297	1.38886e+07	105.066	100.944
90631	1.38886e+07	104.507	100.584
91072	1.38886e+07	104.871	101.293
91367	1.38886e+07	105.508	101.129
90849	1.38886e+07	105.04	101.016
91451	1.38886e+07	104.728	100.964
90252	1.38886e+07	105.001	101.478
90864	1.3818e+07	105.677	99.886
90548	1.34208e+07	104.195	101.19
90716	1.38242e+07	104.195	100.471
90072	1.38242e+07	104.806	100.995
90214	1.35976e+07	104.078	99.4033
90148	1.38343e+07	103.714	100.636
90148	1.38343e+07	104.793	100.153
90256	1.38343e+07	103.428	100.071
90574	1.27714e+07	104.975	100.636
90455	1.38363e+07	104.208	100.584
89668	1.38363e+07	103.532	100.4
90437	1.38363e+07	103.337	99.4752
91311	1.38363e+07	103.896	100.174
88831	1.38363e+07	104.52	100.009
90280	1.367e+07	102.986	98.746
89224	1.3854e+07	102.882	99.1568
90386	1.32685e+07	103.48	99.3314
89786	1.38572e+07	103.805	100.122
89299	1.38572e+07	103.194	99.4958
90328	1.38572e+07	103.428	99.4958
89092	1.37179e+07	104.013	100.276
90335	1.38327e+07	103.012	99.085
90623	1.21856e+07	104.104	99.7217
89688	1.17436e+07	104.156	100.42
88770	1.36997e+07	103.558	97.3493
90389	1.38759e+07	101.777	99.5266
88770	1.38759e+07	103.467	99.0336
89459	1.38759e+07	102.765	99.4033
88558	1.38759e+07	103.584	99.0131
89966	1.38759e+07	102.817	98.6023
89418	1.38759e+07	102.648	99.3006
87987	1.38759e+07	102.895	99.1877
90101	1.38759e+07	102.297	98.5612
90415	1.35841e+07	102.531	99.3622
88996	1.35841e+07	103.61	99.5368
89034	1.37917e+07	102.479	99.1055
89507	1.38643e+07	103.896	99.1774
89507	1.38643e+07	103.129	99.4033
90203	1.38643e+07	102.908	99.506
89246	1.38643e+07	103.883	99.8963
89986	1.30174e+07	102.687	99.3931
89115	1.36405e+07	103.766	98.4482
89122	1.38632e+07	102.414	99.4855
88785	1.34579e+07	102.18	98.0682
90320	1.38572e+07	102.7	99.4958
89175	1.38572e+07	103.506	99.2185
88521	1.32771e+07	102.817	98.5817
89469	1.38472e+07	102.479	98.8796
89337	1.36046e+07	102.726	99.3006
90347	1.38627e+07	103.22	99.886
90882	1.34516e+07	103.311	99.5471
89698	1.38623e+07	104.169	100.04
89143	1.32584e+07	103.701	99.5471
90010	1.38507e+07	102.921	99.1055
89402	1.34122e+07	103.48	99.1774
88618	1.32379e+07	102.596	98.9412
90159	1.30689e+07	102.596	99.8347
89692	1.28262e+07	103.454	99.4341
90567	1.11809e+07	102.882	99.4341
89020	1.18105e+07	103.922	100.225
90027	1.2586e+07	103.974	99.126
90840	1.38599e+07	102.895	100.184
83554	1.33541e+07	103.727	100.061
81532	1.2039e+07	102.18	92.9846
