        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-30 15:16:52       324 1.37101e+07        0        0
2022-01-30 15:16:53       321 1.38426e+07        0        0
2022-01-30 15:16:54       327  1.3087e+07        0        0
2022-01-30 15:16:55       326 1.38609e+07        0        0
2022-01-30 15:16:56       324 1.34051e+07        0        0
2022-01-30 15:16:57       323   1.102e+07        0        0
2022-01-30 15:16:58       327 1.08269e+07        0        0
2022-01-30 15:16:59       328 1.36718e+07        0        0
2022-01-30 15:17:00       324 1.30179e+07        0        0
2022-01-30 15:17:01       328 8.83768e+06        0        0
2022-01-30 15:17:02       328  1.2658e+07        0        0
2022-01-30 15:17:03       330 1.27294e+07        0        0
2022-01-30 15:17:04       325 1.33389e+07        0        0
2022-01-30 15:17:05       604 1.37497e+07        0        0
2022-01-30 15:17:06       604 1.37497e+07        0        0
2022-01-30 15:17:07      1391 1.37497e+07 0.507975   0.6162
2022-01-30 15:17:08      1390 1.34699e+07     1.95   1.5405
2022-01-30 15:17:09      1387 1.35786e+07      3.9    3.081
2022-01-30 15:17:10      1390 1.33686e+07      7.8    6.162
2022-01-30 15:17:11      1394 1.32251e+07     19.5   15.405
2022-01-30 15:17:12      1390 1.31107e+07  31.4275   27.501
2022-01-30 15:17:13      1398 1.19815e+07   31.005  29.9247
2022-01-30 15:17:14      1390 1.36841e+07  20.3255  29.3825
2022-01-30 15:17:15      1394 1.38227e+07  20.3255  19.3461
2022-01-30 15:17:16      1385 1.38227e+07  20.1903  19.5335
2022-01-30 15:17:17      1376 1.38227e+07  20.1903  19.3898
2022-01-30 15:17:18      1379 1.38227e+07  20.0642  19.4719
2022-01-30 15:17:19      1354 1.34415e+07  20.3008  19.4719
2022-01-30 15:17:20      1374 1.38495e+07  20.1695  19.2768
2022-01-30 15:17:21      1378 1.25361e+07  20.0629  19.4539
2022-01-30 15:17:22      1383 1.36489e+07  20.2748  19.4539
2022-01-30 15:17:23      1384 1.31065e+07  20.0798  19.4539
2022-01-30 15:17:24      1377 1.36091e+07  20.3567  19.4539
2022-01-30 15:17:25      1392 1.38382e+07  20.0876  19.4539
2022-01-30 15:17:26      1370 1.37009e+07  20.2423  19.5592
2022-01-30 15:17:27      1363 1.38541e+07  20.3346  19.4437
2022-01-30 15:17:28      1378 1.38541e+07  20.0317  19.2768
2022-01-30 15:17:29      1367 1.38541e+07  20.0317  19.2768
2022-01-30 15:17:30      1370 1.28312e+07  19.9407  19.1613
2022-01-30 15:17:31      1382 1.37417e+07  20.0694  19.4026
2022-01-30 15:17:32      1363 1.17776e+07  20.0057  19.3102
2022-01-30 15:17:33      1377   1.168e+07  20.1175  19.2229
2022-01-30 15:17:34      1376 1.33287e+07  19.9654  19.3179
2022-01-30 15:17:35      1355 1.36669e+07  19.9654  19.1381
2022-01-30 15:17:36      1393 1.38131e+07  19.9654  19.1381
2022-01-30 15:17:37      1393 1.38131e+07  19.7158  19.1381
2022-01-30 15:17:38      1372 1.38131e+07  20.1747   19.418
2022-01-30 15:17:39      1366 1.35066e+07  20.0408   19.418
2022-01-30 15:17:40      1371 1.31558e+07  20.0408  19.0919
2022-01-30 15:17:41      1380 1.36887e+07  19.8341  19.1998
2022-01-30 15:17:42      1361 1.21438e+07  19.9732  19.3256
2022-01-30 15:17:43      1383 1.34264e+07  19.9732  19.2075
2022-01-30 15:17:44      1361 1.38326e+07  20.0577  19.4283
2022-01-30 15:17:45      1369 1.30638e+07  19.9576  19.0226
2022-01-30 15:17:46      1376 1.36051e+07  19.9069  19.2742
2022-01-30 15:17:47      1362 1.38585e+07  19.9069  19.2742
2022-01-30 15:17:48      1364 1.38585e+07  19.9069   19.038
2022-01-30 15:17:49      1363 1.30043e+07  19.7197   19.038
2022-01-30 15:17:50      1357 1.38034e+07   19.799  19.0894
2022-01-30 15:17:51      1372 1.39153e+07  19.6963  18.9559
2022-01-30 15:17:52      1378 1.39153e+07  19.8796  19.1022
2022-01-30 15:17:53      1360 1.38257e+07  19.8796  19.1638
2022-01-30 15:17:54      1356 1.38257e+07  19.7262  19.0175
2022-01-30 15:17:55      1365 1.38257e+07  19.7262  18.9456
2022-01-30 15:17:56      1377 1.38257e+07  19.7262  18.9456
2022-01-30 15:17:57      1383 1.38257e+07  19.6625  19.1895
2022-01-30 15:17:58      1353 1.34257e+07  20.0304  19.3564
2022-01-30 15:17:59      1374 1.24754e+07  19.9121   18.925
2022-01-30 15:18:00      1365 1.33237e+07  19.7132   19.074
2022-01-30 15:18:01      1352 1.35968e+07  19.7132  19.0021
2022-01-30 15:18:02      1372 1.35968e+07  19.7132  18.8275
2022-01-30 15:18:03      1364 1.38525e+07   19.591  19.0894
2022-01-30 15:18:04      1369 1.38525e+07  19.9537  19.0894
2022-01-30 15:18:05      1368 1.36554e+07  19.6898   18.943
2022-01-30 15:18:06      1367  1.0471e+07  19.5871   18.943
2022-01-30 15:18:07      1369 1.26233e+07  19.7301  19.1535
2022-01-30 15:18:08      1369 1.26233e+07  19.7301  18.9481
2022-01-30 15:18:09      1389  1.3213e+07  19.8068  19.2383
2022-01-30 15:18:10      1368 1.30699e+07  20.0512  19.0894
2022-01-30 15:18:11      1355 1.08955e+07  19.7795  19.0894
2022-01-30 15:18:12      1373 1.34352e+07  19.7795  18.9071
2022-01-30 15:18:13      1399 1.34352e+07  19.6911  19.2023
2022-01-30 15:18:14      1369 1.20333e+07  20.0928  19.3025
2022-01-30 15:18:15      1367 1.14358e+07  19.7561  18.9867
2022-01-30 15:18:16      1371 1.33341e+07  19.8367  19.0586
2022-01-30 15:18:17      1374 7.47474e+06  19.8367  19.1535
2022-01-30 15:18:18      1370 1.20601e+07   19.773  19.0894
2022-01-30 15:18:19      1381 1.34445e+07   19.773  19.0277
2022-01-30 15:18:20      1388 1.30628e+07  19.8731  19.0791
2022-01-30 15:18:21      1373 1.31774e+07  19.6703  19.1381
2022-01-30 15:18:22      1484 1.08796e+07  19.7223  18.9122
2022-01-30 15:18:23      1497 1.12959e+07  20.5764  20.9303
2022-01-30 15:18:24      1515 1.27788e+07  22.0272  21.3334
2022-01-30 15:18:25      1514 1.34961e+07  22.1689  21.3334
2022-01-30 15:18:26      1652 1.32987e+07  22.2326  21.3334
2022-01-30 15:18:27      1661 1.38176e+07  23.2401  23.9137
2022-01-30 15:18:28      1660 1.37093e+07  25.1472  24.1627
2022-01-30 15:18:29      1711 1.33294e+07    25.22  24.2885
2022-01-30 15:18:30      1838 1.34286e+07    25.22  24.5581
2022-01-30 15:18:31      1836 1.22985e+07  26.7579  27.1796
2022-01-30 15:18:32      1867 1.21941e+07  28.5844  27.5339
2022-01-30 15:18:33      2018 1.36221e+07   28.496  27.5339
2022-01-30 15:18:34      2013 1.38568e+07   29.536  30.1579
2022-01-30 15:18:35      2029 1.38568e+07  31.9098  30.7099
2022-01-30 15:18:36      2026 1.38568e+07   47.684  30.9563
2022-01-30 15:18:37      2050 1.37731e+07   32.019  30.8126
2022-01-30 15:18:38      2214 1.38568e+07   32.019   30.638
2022-01-30 15:18:39      2214 1.38568e+07  32.4772  33.0437
2022-01-30 15:18:40      2229 1.38568e+07   35.542  34.4738
2022-01-30 15:18:41      2282 1.38568e+07   35.711  34.1786
2022-01-30 15:18:42      2428 1.38568e+07  36.4325  37.2365
2022-01-30 15:18:43      2442 1.38568e+07  39.6045  37.9297
2022-01-30 15:18:44      2423 1.38568e+07  39.8872  38.5074
2022-01-30 15:18:45      2614 1.38568e+07  39.8872  38.5074
2022-01-30 15:18:46      2656 1.38568e+07  41.7072  41.9735
2022-01-30 15:18:47      2658 1.38568e+07   44.226  42.3997
2022-01-30 15:18:48      2683 1.38568e+07  43.7743  42.1404
2022-01-30 15:18:49      2876 1.29908e+07  43.8522  43.4421
2022-01-30 15:18:50      2851 1.38448e+07   47.372  46.1328
2022-01-30 15:18:51      2872 1.38448e+07  47.6222  45.8941
2022-01-30 15:18:52      2971 1.38448e+07  47.6222  46.1277
2022-01-30 15:18:53      3124 1.37113e+07  48.2852   48.459
2022-01-30 15:18:54      3089 1.35625e+07   51.896  50.5002
2022-01-30 15:18:55      3247 1.38443e+07  52.3412  50.2922
2022-01-30 15:18:56      3310 1.38443e+07  52.3412  51.8224
2022-01-30 15:18:57      3356 1.32413e+07  56.5728  54.5876
2022-01-30 15:18:58      3293 1.38499e+07  56.8262   54.829
2022-01-30 15:18:59      3370 1.38499e+07    57.07  54.7494
2022-01-30 15:19:00      3292 1.38499e+07   56.199  54.6569
2022-01-30 15:19:01      3359  1.3539e+07  57.2227  54.6569
2022-01-30 15:19:02      3365 1.38439e+07  56.3485  53.9714
2022-01-30 15:19:03      3613 1.38439e+07   56.524  54.3411
2022-01-30 15:19:04      3623 1.38439e+07  58.3862  58.9241
2022-01-30 15:19:05      3755 1.38439e+07  62.2603  59.7663
