        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2022-01-30 15:40:50       397  1.3695e+07        0        0
2022-01-30 15:40:51       398 9.78167e+06        0        0
2022-01-30 15:40:52       399 1.33557e+07        0        0
2022-01-30 15:40:53       396 1.37855e+07        0        0
2022-01-30 15:40:54       396 1.33582e+07        0        0
2022-01-30 15:40:55       401 1.34775e+07        0        0
2022-01-30 15:40:56       404 1.38439e+07        0        0
2022-01-30 15:40:57       404 1.38439e+07        0        0
2022-01-30 15:40:58       401 1.38439e+07        0        0
2022-01-30 15:40:59       403 1.38439e+07        0        0
2022-01-30 15:41:00       402 1.38439e+07        0        0
2022-01-30 15:41:01      3045 1.28597e+07        0        0
2022-01-30 15:41:02      4896 1.14868e+07  1.23939   1.5405
2022-01-30 15:41:03      4875 1.38583e+07      3.9    3.081
2022-01-30 15:41:04      4891 1.38583e+07  7.19472    6.162
2022-01-30 15:41:05      4882 1.36365e+07  8.70415  8.30484
2022-01-30 15:41:06      4827 1.32915e+07   8.1263  7.85193
2022-01-30 15:41:07      4933 1.35658e+07   5.2897  5.09546
2022-01-30 15:41:08      4910 1.38232e+07   5.2897  5.16273
2022-01-30 15:41:09      4785 1.38232e+07   5.2897  5.16273
2022-01-30 15:41:10      4921 1.27958e+07   5.2897    5.059
2022-01-30 15:41:11     14234 1.38293e+07   5.2897  5.29881
2022-01-30 15:41:12     16029 1.02089e+07   9.3314  15.0312
2022-01-30 15:41:13     15914  1.3035e+07  18.0252  27.0337
2022-01-30 15:41:14     15897 1.20247e+07  27.8551  25.9446
2022-01-30 15:41:15     15860  8.0556e+06  18.0583  17.3974
2022-01-30 15:41:16     18943 8.42402e+06  18.0583  17.3306
2022-01-30 15:41:17     18994 1.28581e+07  18.7915  19.9495
2022-01-30 15:41:18     18994 1.28581e+07  21.8582  20.9636
2022-01-30 15:41:19     19107 1.37075e+07  21.6619   20.825
2022-01-30 15:41:20     28287 1.02659e+07  23.4117  27.9832
2022-01-30 15:41:21     28618  1.1387e+07  32.7041  31.5032
2022-01-30 15:41:22     28654 1.11906e+07  48.6655   31.344
2022-01-30 15:41:23     36650 1.13168e+07   33.787   36.574
2022-01-30 15:41:24     36354 7.79169e+06  41.7202  40.3893
2022-01-30 15:41:25     37301  7.4527e+06   42.029  40.6718
2022-01-30 15:41:26     44312 9.72444e+06  43.1307  44.5153
2022-01-30 15:41:27     44428 7.59807e+06   50.362  49.6606
2022-01-30 15:41:28     44910 1.07507e+07  51.2297   49.124
2022-01-30 15:41:29     53273 6.32968e+06  51.5612  53.2371
2022-01-30 15:41:30     52399 1.32102e+07  60.0827  58.4928
2022-01-30 15:41:31     53330  1.0456e+07   60.593  58.4312
2022-01-30 15:41:32     59943 1.10044e+07  61.2267  61.2246
2022-01-30 15:41:33     60476 1.09031e+07  67.9412  66.6728
2022-01-30 15:41:34     60235 4.22356e+06   68.692  106.587
2022-01-30 15:41:35     60535 9.55758e+06  69.3323  67.1658
2022-01-30 15:41:36     61306 5.52477e+06    69.42  67.1658
2022-01-30 15:41:37     63127 1.11417e+07    70.33  68.0233
2022-01-30 15:41:38     62640 1.12682e+07   71.318  69.9798
2022-01-30 15:41:39     63748 1.30269e+07  72.9853  69.5279
2022-01-30 15:41:40     75223 3.16461e+06   72.813  71.8746
2022-01-30 15:41:41     72929 1.23385e+07  80.4895   82.617
2022-01-30 15:41:42     74389 1.16439e+07  137.176  81.2973
2022-01-30 15:41:43     64744 1.11104e+07  84.9485  81.8776
2022-01-30 15:41:44       327 9.94484e+06   89.453  76.3215
2022-01-30 15:41:45       321 1.37088e+07  33.7935  2.01292
2022-01-30 15:41:46       325 1.38612e+07        0        0
2022-01-30 15:41:47       326 1.38612e+07        0        0
2022-01-30 15:41:48       327 6.45634e+06        0        0
2022-01-30 15:41:49       327 6.45634e+06        0        0
2022-01-30 15:41:50       323 1.14111e+07        0        0
2022-01-30 15:41:51       326 1.03491e+07        0        0
2022-01-30 15:41:52       330  1.2906e+07        0        0
2022-01-30 15:41:53       329 9.09725e+06        0        0
2022-01-30 15:41:54       329 1.30362e+07        0        0
2022-01-30 15:41:55       324 1.38449e+07        0        0
2022-01-30 15:41:56       326 1.38449e+07        0        0
2022-01-30 15:41:57       322 1.38449e+07        0        0
2022-01-30 15:41:58       324 1.29767e+07        0        0
2022-01-30 15:41:59       324 1.22516e+07        0        0
2022-01-30 15:42:00       326 7.34602e+06        0        0
2022-01-30 15:42:01       321 1.16922e+07        0        0
2022-01-30 15:42:02       326  5.1759e+06        0        0
2022-01-30 15:42:03       316 1.30501e+07        0        0
2022-01-30 15:42:04       318 1.31571e+07        0        0
2022-01-30 15:42:05       319 1.38342e+07        0        0
2022-01-30 15:42:06       320  1.3178e+07        0        0
2022-01-30 15:42:07       319 1.34368e+07        0        0
2022-01-30 15:42:08       316 1.38225e+07        0        0
2022-01-30 15:42:09       316  1.2101e+07        0        0
2022-01-30 15:42:10       311 1.35185e+07        0        0
2022-01-30 15:42:11       319 1.28188e+07        0        0
2022-01-30 15:42:12       320 1.15828e+07        0        0
2022-01-30 15:42:13       319 1.09498e+07        0        0
2022-01-30 15:42:14       321 1.38096e+07        0        0
2022-01-30 15:42:15       324 1.38096e+07        0        0
2022-01-30 15:42:16       327 1.38096e+07        0        0
2022-01-30 15:42:17       325 1.38096e+07        0        0
2022-01-30 15:42:18       322 1.25592e+07        0        0
2022-01-30 15:42:19       322 1.25592e+07        0        0
2022-01-30 15:42:20       324 4.36339e+06        0        0
2022-01-30 15:42:21       323 1.38135e+07        0        0
2022-01-30 15:42:22       319 1.23089e+07        0        0
2022-01-30 15:42:23       321 1.35255e+07        0        0
2022-01-30 15:42:24       320 1.38562e+07        0        0
2022-01-30 15:42:25       320 1.10384e+07        0        0
2022-01-30 15:42:26       325 1.38337e+07        0        0
2022-01-30 15:42:27       321 1.32981e+07        0        0
2022-01-30 15:42:28       324 1.38574e+07        0        0
2022-01-30 15:42:29       324 1.38574e+07        0        0
2022-01-30 15:42:30       327 1.38574e+07        0        0
2022-01-30 15:42:31       325 1.38574e+07        0        0
2022-01-30 15:42:32       322 1.38574e+07        0        0
2022-01-30 15:42:33       324 1.38574e+07        0        0
2022-01-30 15:42:34       323 1.38574e+07        0        0
2022-01-30 15:42:35       323 1.38574e+07        0        0
2022-01-30 15:42:36       732  1.3599e+07        0        0
2022-01-30 15:42:37      4885 1.26622e+07        0        0
2022-01-30 15:42:38      5006 1.36938e+07     0.78   1.5405
2022-01-30 15:42:39      4950 1.07773e+07     1.95    3.081
2022-01-30 15:42:40      4931 1.25134e+07      3.9    6.162
2022-01-30 15:42:41      4995 1.38532e+07  7.22358  8.42217
2022-01-30 15:42:42      4929 1.14494e+07  8.75972  8.09276
2022-01-30 15:42:43      4832 1.36547e+07   8.3044  5.15503
2022-01-30 15:42:44      7498 9.87544e+06  5.29425  5.15503
2022-01-30 15:42:45      8275  1.2839e+07   6.2426  7.91355
2022-01-30 15:42:46      8118 1.29322e+07   9.2183  8.87379
2022-01-30 15:42:47     15987 1.01907e+07   9.1546  8.78342
2022-01-30 15:42:48     18112  1.2674e+07  10.7718  15.8651
2022-01-30 15:42:49     18508  1.1283e+07  20.6213  31.0236
2022-01-30 15:42:50     18508  1.1283e+07  31.9878  29.9704
2022-01-30 15:42:51     18086  1.3855e+07  31.2162  19.8545
2022-01-30 15:42:52     18178 1.26312e+07   20.774   20.101
2022-01-30 15:42:53     20707 1.14657e+07  20.9592  21.5156
2022-01-30 15:42:54     21210 1.25394e+07  23.9525  23.3283
2022-01-30 15:42:55     21309 1.21901e+07  24.2808  23.3283
2022-01-30 15:42:56     28907 1.34305e+07   24.609  27.5287
2022-01-30 15:42:57     30540 1.38634e+07  33.7415  33.5418
2022-01-30 15:42:58     30824 1.38634e+07  34.9992  33.8499
2022-01-30 15:42:59     37675 1.37408e+07  35.3275  36.9155
2022-01-30 15:43:00     38467 1.34455e+07   42.939  42.5358
2022-01-30 15:43:01     39237 1.19714e+07  44.3073  43.0313
2022-01-30 15:43:02     45115 1.38435e+07  44.8695  44.9698
2022-01-30 15:43:03     45799 1.38435e+07   50.804  51.0393
2022-01-30 15:43:04     46114 7.60831e+06  52.9198  51.1138
2022-01-30 15:43:05     53063 9.93259e+06   53.066  52.1947
2022-01-30 15:43:06     53998 1.38472e+07  58.8965  59.3811
2022-01-30 15:43:07     53922 1.35082e+07  61.7045  59.3811
2022-01-30 15:43:08     61430 9.63345e+06   61.841  60.7085
2022-01-30 15:43:09     63129 1.11538e+07  67.6943  68.6575
2022-01-30 15:43:10     62633 1.38491e+07  72.2377  111.404
2022-01-30 15:43:11     62100 1.38491e+07  71.9095  68.7371
2022-01-30 15:43:12     62262 1.36653e+07  71.1945  69.0503
2022-01-30 15:43:13     64665 1.34845e+07  72.2475  69.6563
2022-01-30 15:43:14     64905 8.72317e+06  73.2225  71.1711
2022-01-30 15:43:15     64513 1.25621e+07   73.944   71.587
2022-01-30 15:43:16     74201 1.31626e+07  74.3015  72.0595
2022-01-30 15:43:17     74088 1.10528e+07  78.9132  81.6568
2022-01-30 15:43:18     73879 1.37729e+07  138.034  82.0162
2022-01-30 15:43:19     81801 1.38618e+07  85.3515  81.9546
2022-01-30 15:43:20     81398 1.32604e+07  87.9905  88.7174
2022-01-30 15:43:21     81398 1.32604e+07   94.315    90.91
2022-01-30 15:43:22     82235 1.05695e+07   94.562  90.5814
2022-01-30 15:43:23     90882 1.28078e+07  96.7655   98.782
2022-01-30 15:43:24     90383 1.33051e+07   105.43  100.651
2022-01-30 15:43:25     90887 1.33051e+07  104.273  100.713
2022-01-30 15:43:26     99262  1.3794e+07  106.457  106.515
2022-01-30 15:43:27     97887  1.3794e+07  114.328  109.509
2022-01-30 15:43:28     99601 1.31018e+07  114.029  109.247
2022-01-30 15:43:29    105191 1.38525e+07  115.174  114.351
