        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-11 13:43:25       151 1.37323e+07        0        0
2021-11-11 13:43:26       147 1.11718e+07        0        0
2021-11-11 13:43:27       152 1.38129e+07        0        0
2021-11-11 13:43:28       150  1.3641e+07        0        0
2021-11-11 13:43:29       152 1.38119e+07        0        0
2021-11-11 13:43:30       154 1.38119e+07        0        0
2021-11-11 13:43:31       156 1.38119e+07        0        0
2021-11-11 13:43:32       152 1.38119e+07        0        0
2021-11-11 13:43:33       150 1.38119e+07        0        0
2021-11-11 13:43:34       150 1.38119e+07        0        0
2021-11-11 13:43:35       148 1.38119e+07        0        0
2021-11-11 13:43:36       149 1.38119e+07        0        0
2021-11-11 13:43:37       148 1.38119e+07        0        0
2021-11-11 13:43:38       148 1.38119e+07        0        0
2021-11-11 13:43:39       146 1.38119e+07        0        0
2021-11-11 13:43:40       150 1.38119e+07        0        0
2021-11-11 13:43:41       148 1.38119e+07        0        0
2021-11-11 13:43:42       149 1.38119e+07        0        0
2021-11-11 13:43:43       150 1.38119e+07        0        0
2021-11-11 13:43:44       147 1.38119e+07        0        0
2021-11-11 13:43:45       148 1.38119e+07        0        0
2021-11-11 13:43:46       146 1.38119e+07        0        0
2021-11-11 13:43:47       148 1.38119e+07        0        0
2021-11-11 13:43:48       144 1.38119e+07        0        0
2021-11-11 13:43:49       147 1.38119e+07        0        0
2021-11-11 13:43:50       148 1.38119e+07        0        0
2021-11-11 13:43:51       150 1.38119e+07        0        0
2021-11-11 13:43:52       151 1.38119e+07        0        0
2021-11-11 13:43:53       150 1.38119e+07        0        0
2021-11-11 13:43:54       149 1.38119e+07        0        0
2021-11-11 13:43:55       149 1.34998e+07        0        0
2021-11-11 13:43:56       149 1.38146e+07        0        0
2021-11-11 13:43:57       148 1.38146e+07        0        0
2021-11-11 13:43:58       146 1.38146e+07        0        0
2021-11-11 13:43:59       151 1.38146e+07        0        0
2021-11-11 13:44:00       151 1.38146e+07        0        0
2021-11-11 13:44:01       154 1.38146e+07        0        0
2021-11-11 13:44:02       154 1.38146e+07        0        0
2021-11-11 13:44:03       153 1.38146e+07        0        0
2021-11-11 13:44:04       148 1.38146e+07        0        0
2021-11-11 13:44:05       148 1.38146e+07        0        0
2021-11-11 13:44:06       150 1.38146e+07        0        0
2021-11-11 13:44:07       147 1.38146e+07        0        0
2021-11-11 13:44:08       147 1.38146e+07        0        0
2021-11-11 13:44:09       151 1.38146e+07        0        0
2021-11-11 13:44:10       149 1.38146e+07        0        0
2021-11-11 13:44:11       157 1.38146e+07        0        0
2021-11-11 13:44:12       154 1.38146e+07        0        0
2021-11-11 13:44:13       153 1.38146e+07        0        0
2021-11-11 13:44:14       153 1.38146e+07        0        0
2021-11-11 13:44:15       156 1.38146e+07        0        0
2021-11-11 13:44:16       152 1.16533e+07        0        0
2021-11-11 13:44:17       149 1.29587e+07        0        0
2021-11-11 13:44:18       240  1.3364e+07        0        0
2021-11-11 13:44:19       462 1.29724e+07        0        0
2021-11-11 13:44:20       459 1.37928e+07        0   0.6162
2021-11-11 13:44:21       463 1.37928e+07     0.78   1.5405
2021-11-11 13:44:22       465 1.37928e+07     1.95    3.081
2021-11-11 13:44:23       464 1.37928e+07      3.9    6.162
2021-11-11 13:44:24       462 1.37928e+07  7.36268  8.74901
2021-11-11 13:44:25       462 1.37928e+07  8.96447  8.22422
2021-11-11 13:44:26       467 1.37928e+07  8.60145  5.36556
2021-11-11 13:44:27       464 1.37928e+07   5.6277  5.41588
2021-11-11 13:44:28       465 1.38994e+07    5.577  5.41588
2021-11-11 13:44:29       463 1.38141e+07    5.577  5.35478
2021-11-11 13:44:30       468 1.38141e+07    5.577  5.35478
2021-11-11 13:44:31       460 1.38141e+07    5.577  5.35478
2021-11-11 13:44:32       462 1.38141e+07    5.577  5.35478
2021-11-11 13:44:33       461 1.38141e+07    5.577  5.35478
2021-11-11 13:44:34       459 1.38141e+07    5.577  5.35478
2021-11-11 13:44:35       463 1.38141e+07    5.577  5.35478
2021-11-11 13:44:36       463 1.38141e+07    5.577  5.35478
2021-11-11 13:44:37       464 1.29891e+07    5.577  5.35478
2021-11-11 13:44:38       464 1.38128e+07    5.577  5.35478
2021-11-11 13:44:39       458 1.38128e+07    5.577  5.35478
2021-11-11 13:44:40       462 1.38128e+07    5.577  5.35478
2021-11-11 13:44:41       465 1.38128e+07  5.51915  5.35478
2021-11-11 13:44:42       470   1.323e+07   5.6602  5.44824
