        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-11 13:58:55       137 1.38117e+07        0        0
2021-11-11 13:58:56       137 1.38117e+07        0        0
2021-11-11 13:58:57       135 1.38117e+07        0        0
2021-11-11 13:58:58       136 1.31643e+07        0        0
2021-11-11 13:58:59       136 1.38155e+07        0        0
2021-11-11 13:59:00       138 1.38155e+07        0        0
2021-11-11 13:59:01       134 1.38155e+07        0        0
2021-11-11 13:59:02       138 1.38155e+07        0        0
2021-11-11 13:59:03       138 1.38155e+07        0        0
2021-11-11 13:59:04       135 1.38155e+07        0        0
2021-11-11 13:59:05       136 1.38155e+07        0        0
2021-11-11 13:59:06       135 1.38155e+07        0        0
2021-11-11 13:59:07       136 1.38155e+07        0        0
2021-11-11 13:59:08       133 1.38155e+07        0        0
2021-11-11 13:59:09       137 1.38155e+07        0        0
2021-11-11 13:59:10       135 1.38155e+07        0        0
2021-11-11 13:59:11       136 1.38155e+07        0        0
2021-11-11 13:59:12       135 1.38155e+07        0        0
2021-11-11 13:59:13       134 1.38155e+07        0        0
2021-11-11 13:59:14       133 1.38155e+07        0        0
2021-11-11 13:59:15       134 1.38155e+07        0        0
2021-11-11 13:59:16       137 1.38155e+07        0        0
2021-11-11 13:59:17       136 1.38155e+07        0        0
2021-11-11 13:59:18       138 1.38155e+07        0        0
2021-11-11 13:59:19       147 1.38155e+07        0        0
2021-11-11 13:59:20       145 1.38155e+07        0        0
2021-11-11 13:59:21       143 1.38155e+07        0        0
2021-11-11 13:59:22       149 1.38155e+07        0        0
2021-11-11 13:59:23       147 1.38155e+07        0        0
2021-11-11 13:59:24       152 1.36384e+07        0        0
2021-11-11 13:59:25       161 1.38133e+07        0        0
2021-11-11 13:59:26       161 1.38133e+07        0        0
2021-11-11 13:59:27      2587 1.38133e+07        0        0
2021-11-11 13:59:28      3710 1.38133e+07        0        0
2021-11-11 13:59:29      3670 1.24519e+07     0.78   0.6162
2021-11-11 13:59:30      3632 1.38107e+07     1.95   1.5405
2021-11-11 13:59:31      3644 1.38107e+07      3.9    3.081
2021-11-11 13:59:32      3621 1.38107e+07  6.16876  5.42328
2021-11-11 13:59:33      3617 1.38107e+07  6.43208  6.11219
2021-11-11 13:59:34      3617 1.38107e+07   3.9663  3.77217
2021-11-11 13:59:35      3639 1.38107e+07   3.9663  3.77217
2021-11-11 13:59:36      7381 1.38107e+07  5.18115  4.89674
2021-11-11 13:59:37     15828 1.38107e+07  17.2101   15.405
2021-11-11 13:59:38     15667 1.38107e+07  27.6133  25.8434
2021-11-11 13:59:39     15695 1.39325e+07  27.7199  26.2943
2021-11-11 13:59:40     15649 1.38092e+07  17.8373  25.2924
2021-11-11 13:59:41     15623 1.38092e+07  17.8373   16.907
2021-11-11 13:59:42     15614 1.38092e+07  17.9387  16.9943
2021-11-11 13:59:43     15802 1.38092e+07  17.7632    16.83
2021-11-11 13:59:44     15643 1.38092e+07  17.9868  17.0431
2021-11-11 13:59:45     27736 1.38092e+07     18.2  17.2279
2021-11-11 13:59:46     50816 1.38092e+07  49.0269  46.3793
2021-11-11 13:59:47     50698 1.38092e+07  87.6492   55.725
2021-11-11 13:59:48     60608 1.38092e+07  94.3215  55.2654
2021-11-11 13:59:49     75520 1.38092e+07   79.963  75.3048
2021-11-11 13:59:50     75245 1.38092e+07  86.9895  132.401
2021-11-11 13:59:51     75818 1.38092e+07   86.931  124.986
2021-11-11 13:59:52     74976 1.38092e+07  88.0165  84.4297
2021-11-11 13:59:53     74003 1.38092e+07  87.0675  83.5156
2021-11-11 13:59:54     71440 1.38092e+07   84.227  80.7941
2021-11-11 13:59:55     71702 1.38092e+07  83.0375  79.6336
2021-11-11 13:59:56     70849 1.38092e+07  83.0375  79.6849
2021-11-11 13:59:57     71086 1.38092e+07    81.64  78.2779
2021-11-11 13:59:58     71116 1.38092e+07   82.368  78.9968
2021-11-11 13:59:59     70665 1.38092e+07   82.199  78.8428
2021-11-11 14:00:00     71703 1.38092e+07  81.9455  78.5963
2021-11-11 14:00:01     70223 1.38092e+07   82.771  79.3768
2021-11-11 14:00:02     71625 1.38092e+07  81.4905  78.1547
2021-11-11 14:00:03     70239 1.38092e+07  82.2575  78.8941
2021-11-11 14:00:04     71437 1.38092e+07   81.965  78.6066
2021-11-11 14:00:05     71437 1.38092e+07  82.4135  79.0482
2021-11-11 14:00:06     70859 1.38092e+07  82.0755  78.7195
2021-11-11 14:00:07     71794 1.38092e+07  82.7255  79.3357
2021-11-11 14:00:08     71287 1.38092e+07  82.5435  79.1612
2021-11-11 14:00:09     70641 1.38092e+07    82.03  78.6785
2021-11-11 14:00:10     71646 1.38092e+07   82.485  79.1098
2021-11-11 14:00:11     71498 1.38092e+07  82.6735  79.2741
2021-11-11 14:00:12     71342 1.38092e+07  82.5955  79.2741
2021-11-11 14:00:13     71049 1.38092e+07   82.667  79.2741
2021-11-11 14:00:14     71074 1.38092e+07   82.446  79.0687
2021-11-11 14:00:15     71486 1.38092e+07  82.2055  78.8325
2021-11-11 14:00:16     71594 1.38092e+07   83.005  79.5925
