scalerS16b	IPM2C21A	IPM2C24A	
137	1.38117e+07	0	0
137	1.38117e+07	0	0
135	1.38117e+07	0	0
136	1.31643e+07	0	0
136	1.38155e+07	0	0
138	1.38155e+07	0	0
134	1.38155e+07	0	0
138	1.38155e+07	0	0
138	1.38155e+07	0	0
135	1.38155e+07	0	0
136	1.38155e+07	0	0
135	1.38155e+07	0	0
136	1.38155e+07	0	0
133	1.38155e+07	0	0
137	1.38155e+07	0	0
135	1.38155e+07	0	0
136	1.38155e+07	0	0
135	1.38155e+07	0	0
134	1.38155e+07	0	0
133	1.38155e+07	0	0
134	1.38155e+07	0	0
137	1.38155e+07	0	0
136	1.38155e+07	0	0
138	1.38155e+07	0	0
147	1.38155e+07	0	0
145	1.38155e+07	0	0
143	1.38155e+07	0	0
149	1.38155e+07	0	0
147	1.38155e+07	0	0
152	1.36384e+07	0	0
161	1.38133e+07	0	0
161	1.38133e+07	0	0
2587	1.38133e+07	0	0
3710	1.38133e+07	0	0
3670	1.24519e+07	0.78	0.6162
3632	1.38107e+07	1.95	1.5405
3644	1.38107e+07	3.9	3.081
3621	1.38107e+07	6.16876	5.42328
3617	1.38107e+07	6.43208	6.11219
3617	1.38107e+07	3.9663	3.77217
3639	1.38107e+07	3.9663	3.77217
7381	1.38107e+07	5.18115	4.89674
15828	1.38107e+07	17.2101	15.405
15667	1.38107e+07	27.6133	25.8434
15695	1.39325e+07	27.7199	26.2943
15649	1.38092e+07	17.8373	25.2924
15623	1.38092e+07	17.8373	16.907
15614	1.38092e+07	17.9387	16.9943
15802	1.38092e+07	17.7632	16.83
15643	1.38092e+07	17.9868	17.0431
27736	1.38092e+07	18.2	17.2279
50816	1.38092e+07	49.0269	46.3793
50698	1.38092e+07	87.6492	55.725
60608	1.38092e+07	94.3215	55.2654
75520	1.38092e+07	79.963	75.3048
75245	1.38092e+07	86.9895	132.401
75818	1.38092e+07	86.931	124.986
74976	1.38092e+07	88.0165	84.4297
74003	1.38092e+07	87.0675	83.5156
71440	1.38092e+07	84.227	80.7941
71702	1.38092e+07	83.0375	79.6336
70849	1.38092e+07	83.0375	79.6849
71086	1.38092e+07	81.64	78.2779
71116	1.38092e+07	82.368	78.9968
70665	1.38092e+07	82.199	78.8428
71703	1.38092e+07	81.9455	78.5963
70223	1.38092e+07	82.771	79.3768
71625	1.38092e+07	81.4905	78.1547
70239	1.38092e+07	82.2575	78.8941
71437	1.38092e+07	81.965	78.6066
71437	1.38092e+07	82.4135	79.0482
70859	1.38092e+07	82.0755	78.7195
71794	1.38092e+07	82.7255	79.3357
71287	1.38092e+07	82.5435	79.1612
70641	1.38092e+07	82.03	78.6785
71646	1.38092e+07	82.485	79.1098
71498	1.38092e+07	82.6735	79.2741
71342	1.38092e+07	82.5955	79.2741
71049	1.38092e+07	82.667	79.2741
71074	1.38092e+07	82.446	79.0687
71486	1.38092e+07	82.2055	78.8325
71594	1.38092e+07	83.005	79.5925
71235	1.38092e+07	82.251	78.8839
72127	1.38092e+07	82.251	78.8839
71154	1.38092e+07	83.2585	79.8493
71911	1.38092e+07	82.7385	79.346
71493	1.38092e+07	82.8035	79.4179
72946	1.38092e+07	83.7655	80.3319
70880	1.38092e+07	83.4795	80.0546
71084	1.38092e+07	82.537	79.1509
70818	1.38092e+07	82.0235	78.6682
72640	1.38092e+07	81.835	78.4628
70877	1.38092e+07	83.499	80.0957
72248	1.38092e+07	82.277	78.9249
70159	1.38092e+07	83.031	79.6336
70934	1.38092e+07	81.432	78.0931
70638	1.38092e+07	82.056	78.6887
71482	1.38092e+07	81.6985	78.3498
70939	1.38092e+07	82.667	79.2947
70611	1.38092e+07	82.3745	79.0071
71015	1.38092e+07	82.0105	78.6682
71015	1.38092e+07	81.6725	78.3293
71332	1.38092e+07	82.264	78.8941
70928	1.38092e+07	81.9325	78.586
71429	1.38092e+07	82.602	79.2228
70704	1.38092e+07	82.069	78.699
71388	1.38092e+07	82.381	79.0071
71164	1.38092e+07	82.576	79.2022
70792	1.38092e+07	81.562	78.2163
70844	1.38092e+07	82.5825	79.2022
69887	1.38092e+07	81.4515	78.1136
71125	1.38092e+07	81.055	77.7336
71204	1.38092e+07	82.1275	78.7709
70824	1.38092e+07	81.9	78.545
71086	1.38092e+07	81.965	78.6271
71184	1.38092e+07	82.1665	78.8017
71079	1.38092e+07	82.446	79.0687
70126	1.38092e+07	82.1665	78.8017
62018	1.38092e+07	79.9565	76.6758
61796	1.38092e+07	70.759	67.8642
61221	1.38092e+07	71.5845	68.6549
61105	1.38092e+07	70.499	67.6177
61674	1.38092e+07	70.7655	67.8539
61212	1.38092e+07	71.461	68.542
60899	1.38092e+07	70.85	67.9463
61306	1.38092e+07	70.5705	67.6793
61381	1.38092e+07	71.019	68.1106
60933	1.38092e+07	70.5185	67.6279
61245	1.38092e+07	70.4275	67.5458
61891	1.38092e+07	70.7655	67.8642
61659	1.38092e+07	71.63	68.6858
61943	1.38092e+07	71.0775	68.1723
61943	1.38092e+07	71.643	68.7063
62294	1.38092e+07	71.9875	69.0349
61877	1.29688e+07	71.89	68.9322
62028	1.38102e+07	71.292	68.3674
61919	1.38102e+07	71.8705	68.9425
61658	1.38102e+07	70.967	68.0696
62151	1.38102e+07	72.02	69.076
61652	1.38102e+07	71.89	68.9528
61942	1.38102e+07	71.9485	69.0041
62623	1.38102e+07	71.7405	68.7987
61201	1.38102e+07	71.864	68.922
61895	1.38102e+07	70.3495	67.4636
61807	1.38102e+07	71.7535	68.809
62350	1.38102e+07	71.643	68.7166
61513	1.38102e+07	71.578	68.6344
62507	1.38102e+07	71.9225	68.9836
62219	1.38102e+07	72.384	69.4149
62761	1.38102e+07	71.864	68.9117
62445	1.38102e+07	72.228	69.2609
62462	1.38102e+07	72.878	69.8976
62402	1.30324e+07	72.267	69.3122
62779	1.3573e+07	72.0915	69.1376
62882	1.38133e+07	72.436	69.4663
62384	1.38133e+07	72.605	69.6306
62374	1.38133e+07	72.5465	69.6306
62945	1.38133e+07	71.9095	68.9631
62834	1.38133e+07	72.527	69.5587
63290	1.38133e+07	72.891	69.8976
63826	1.38133e+07	73.086	70.1133
63377	1.38133e+07	73.697	70.6679
63077	1.38133e+07	73.476	70.4625
63077	1.38133e+07	72.7675	69.7846
62976	1.38133e+07	72.9755	69.99
63234	1.38133e+07	72.514	69.5484
63098	1.38133e+07	73.008	70.0106
63191	1.38133e+07	73.3915	70.3906
63103	1.38133e+07	72.995	70.0106
63565	1.38133e+07	73.1965	70.1954
62555	1.38133e+07	72.618	69.6409
62721	1.34551e+07	72.1435	69.1993
59239	1.38115e+07	72.8455	69.8771
51423	1.38115e+07	61.6265	59.186
51991	1.38115e+07	59.878	57.4298
51801	1.38115e+07	59.6635	57.2039
51489	1.38115e+07	60.0665	57.5942
51424	1.38115e+07	59.787	57.3374
51729	1.38115e+07	59.1305	56.7007
51147	1.38115e+07	59.6115	57.1628
51772	1.38115e+07	59.735	57.2655
