scalerS16b	IPM2C21A	IPM2C24A	
3053	1.36314e+07	50.3717	48.459
2994	1.36314e+07	50.2515	48.3537
3067	1.3804e+07	50.6512	48.744
3008	1.3804e+07	49.7477	47.8633
3036	1.34323e+07	51.0933	49.1625
3001	1.38014e+07	50.0467	48.156
3001	1.38014e+07	50.4043	48.5001
3018	1.38014e+07	49.8778	47.9917
3028	1.38014e+07	50.0662	48.1766
2974	1.36469e+07	50.492	48.5899
2985	1.36469e+07	49.3903	47.5193
3046	1.32552e+07	49.621	47.7452
3017	1.35841e+07	50.5212	48.613
2998	1.38085e+07	50.2352	48.3486
2997	1.38085e+07	49.7315	47.8531
3025	1.36923e+07	49.8127	47.9301
3039	1.38038e+07	50.2547	48.3537
3002	1.34106e+07	50.3945	48.4847
3030	1.28541e+07	49.9915	48.0995
3068	1.37239e+07	50.6382	48.7363
3065	1.34175e+07	50.7162	48.7979
3022	1.36546e+07	50.9405	49.0161
3016	1.36546e+07	50.882	48.9648
3007	1.37958e+07	49.7055	47.8248
3016	1.37958e+07	50.2547	48.3486
3122	1.34068e+07	49.7185	47.8377
3058	1.27051e+07	51.1225	49.1805
3047	1.3626e+07	51.9058	49.9404
3089	1.38066e+07	50.6155	48.7055
3103	1.38066e+07	51.1777	49.2421
3056	1.38066e+07	51.6587	49.7017
3042	1.28356e+07	51.3532	49.409
3056	1.38063e+07	50.804	48.8852
3006	1.26889e+07	50.687	48.7722
3032	1.35497e+07	50.9632	49.0418
3065	1.2962e+07	50.258	48.3563
3074	1.36231e+07	50.7325	48.8184
3074	1.36231e+07	51.1322	49.1984
3085	1.38133e+07	51.3825	49.4398
3052	1.38133e+07	51.3825	49.4398
3093	1.22265e+07	50.7975	48.8775
3080	1.34171e+07	51.6327	49.6786
3081	1.38024e+07	51.3857	49.4423
3060	1.38024e+07	51.285	49.3422
3047	1.38024e+07	51.0607	49.1342
3006	1.36979e+07	50.921	48.9982
3082	1.38014e+07	49.9395	48.0508
3065	1.38014e+07	51.4442	49.5014
3076	1.38014e+07	51.1517	49.2164
3097	1.35572e+07	50.9405	49.0136
3141	1.34864e+07	51.467	49.5219
3084	1.38023e+07	52.4777	50.4925
3049	1.38023e+07	51.6815	49.7273
3008	1.38023e+07	50.791	48.8672
3060	1.3146e+07	50.4627	48.5591
3132	1.34748e+07	50.245	48.3383
3096	1.32815e+07	52.455	50.4693
3069	1.37771e+07	51.7173	49.7633
3073	1.23091e+07	51.1095	49.183
3080	1.33315e+07	51.415	49.4732
3069	1.37601e+07	51.3143	49.373
3084	1.32086e+07	50.9665	49.0367
3125	1.35115e+07	51.233	49.2934
3106	1.38124e+07	51.74	49.7787
3162	1.35089e+07	51.987	50.0226
3102	1.37895e+07	51.987	50.0226
2936	1.35577e+07	52.8775	50.875
3016	1.38083e+07	50.882	48.9648
3016	1.38083e+07	48.7012	46.8594
2998	1.38083e+07	50.427	48.518
3030	1.38083e+07	49.8647	47.984
3019	1.37105e+07	50.3652	48.4616
3022	1.38077e+07	50.4725	48.5694
3019	1.13182e+07	50.3652	48.4641
3008	1.38068e+07	50.0532	48.1612
2989	1.38068e+07	49.9753	48.0944
3020	1.38068e+07	49.7315	47.8556
3035	1.36983e+07	50.0532	48.156
2993	1.38029e+07	50.6675	48.7517
3002	1.38029e+07	49.7347	47.8582
2969	1.38029e+07	50.089	48.1997
3042	1.38029e+07	49.4845	47.6169
