scalerS16b	IPM2C21A	IPM2C24A	
95	1.37988e+07	0	0
98	1.36933e+07	0	0
100	1.38071e+07	0	0
99	1.38071e+07	0	0
100	1.38071e+07	0	0
108	1.38071e+07	0	0
129	1.38071e+07	0	0
161	1.38071e+07	0	0
179	1.34772e+07	0	0
176	1.34772e+07	0	0
3506	1.37978e+07	0	0
5109	1.37978e+07	0	0
5140	1.37978e+07	0	0.6162
5174	1.37978e+07	0.78	1.5405
5188	1.37978e+07	1.95	3.081
5177	1.37978e+07	3.9	6.162
5192	1.37978e+07	7.46447	9.10025
5113	1.37978e+07	9.42045	8.63091
5068	1.37978e+07	8.8842	5.56275
5049	1.37978e+07	5.7226	5.56275
5094	1.34488e+07	5.7226	5.47494
5087	1.38027e+07	5.5965	5.3974
5126	1.38027e+07	5.72585	5.52115
5126	1.38027e+07	5.65825	5.45799
5150	1.21889e+07	5.733	5.52988
5055	1.36924e+07	5.733	5.52988
5107	1.38076e+07	5.6537	5.45286
5150	1.37345e+07	5.7148	5.51037
5169	1.34418e+07	5.76745	5.56172
5169	1.38067e+07	5.76745	5.56172
5165	1.36995e+07	5.76745	5.56172
5089	1.38081e+07	5.76745	5.56172
5052	1.38081e+07	5.67385	5.47186
5009	1.38081e+07	5.67385	5.47186
5094	1.36738e+07	5.6004	5.40151
5110	1.36738e+07	5.694	5.49086
5150	1.38056e+07	5.694	5.49086
5150	1.36668e+07	5.694	5.49086
5150	1.38099e+07	5.7603	5.55504
5177	1.38099e+07	5.7603	5.55504
5129	1.33813e+07	5.7603	5.55504
5157	1.38086e+07	5.7603	5.55504
5113	1.38086e+07	5.7603	5.55504
5105	1.38086e+07	5.7603	5.55504
5073	1.38086e+07	5.7603	5.55504
5100	1.36844e+07	5.6368	5.43745
5170	1.3808e+07	5.6368	5.43745
5121	1.3808e+07	5.78045	5.57404
5177	1.3808e+07	5.71675	5.51345
5115	1.35562e+07	5.79735	5.59047
5076	1.35562e+07	5.73235	5.52783
5157	1.37308e+07	5.67905	5.52783
5094	1.38062e+07	5.67905	5.52783
5157	1.38062e+07	5.7343	5.52783
5157	1.38062e+07	5.7343	5.52783
5196	1.38062e+07	5.79345	5.58688
5148	1.38062e+07	5.79345	5.58688
5188	1.38062e+07	5.79345	5.58688
5096	1.37332e+07	5.79345	5.58688
5088	1.38088e+07	5.67775	5.47596
5147	1.38088e+07	5.67775	5.47596
5122	1.36135e+07	5.73495	5.53091
5091	1.3808e+07	5.73495	5.53091
5130	1.3808e+07	5.68425	5.53091
5189	1.3808e+07	5.68425	5.53091
5174	1.3708e+07	5.80645	5.60023
6937	1.38044e+07	5.80645	5.60023
9864	1.38044e+07	6.9095	6.67807
9921	1.36253e+07	11.1599	10.7419
9768	1.37485e+07	11.232	10.8138
9860	1.37485e+07	11.1495	10.7357
9883	1.37485e+07	11.1495	10.7357
9850	1.37485e+07	11.1495	10.7357
10017	1.37485e+07	11.2359	10.8184
9937	1.37485e+07	11.2359	10.8184
9963	1.37485e+07	11.3347	10.9144
9764	1.37485e+07	11.3347	10.9144
9307	1.37485e+07	11.3347	10.9144
9399	1.37485e+07	10.7133	10.3131
9428	1.37485e+07	10.6229	10.2279
9342	1.37485e+07	10.6229	10.2279
9068	1.37485e+07	10.7607	10.3614
9038	1.37485e+07	10.4214	10.0379
9090	1.37485e+07	10.2421	9.86485
9192	1.37485e+07	10.3123	9.93058
9192	1.37485e+07	10.2485	9.86896
9175	1.37485e+07	10.4501	10.0625
9070	1.33373e+07	10.3766	9.99117
9054	1.38136e+07	10.2615	9.88333
8971	1.38136e+07	10.2615	9.88333
8960	1.38136e+07	10.1491	9.77396
8861	1.37214e+07	10.1491	9.77396
8930	1.35887e+07	10.0282	9.65945
9008	1.38092e+07	10.1335	9.76061
8847	1.38092e+07	10.1907	9.81401
8756	1.38092e+07	10.0295	9.65945
8953	1.38092e+07	9.9216	9.55521
9023	1.21288e+07	10.1055	9.73185
9048	1.38057e+07	10.1992	9.82223
8955	1.18537e+07	10.1992	9.82223
8863	1.38063e+07	10.1992	9.82223
9119	1.30037e+07	10.025	9.65585
8741	1.38145e+07	10.244	9.8669
8856	1.38145e+07	10.0431	9.67485
8912	1.3201e+07	9.8904	9.52542
8961	1.38035e+07	10.075	9.70207
8865	1.33775e+07	10.1393	9.76574
8698	1.38065e+07	10.1393	9.76574
8656	1.38065e+07	9.98075	9.61221
8837	1.38065e+07	9.7162	9.36008
8787	1.38065e+07	9.91705	9.55264
8681	1.38065e+07	10.0406	9.66818
8704	1.33823e+07	9.8267	9.46637
8805	1.38079e+07	9.8267	9.46637
8789	1.33439e+07	9.90925	9.54288
8724	1.3807e+07	9.96125	9.59423
8724	1.3807e+07	9.96125	9.59423
8712	1.3807e+07	9.8527	9.48845
8702	1.3807e+07	9.8527	9.48845
8766	1.3807e+07	9.8527	9.48845
8698	1.36602e+07	9.8527	9.48845
8754	1.37912e+07	9.8527	9.48845
8790	1.37912e+07	9.92355	9.55778
8568	1.18541e+07	9.92355	9.55778
8812	1.38067e+07	9.7357	9.376
8760	1.38067e+07	9.95865	9.59013
8641	1.38067e+07	9.95865	9.59013
8702	1.38067e+07	9.78835	9.42632
8691	1.38067e+07	9.84425	9.48024
8778	1.38067e+07	9.84425	9.48024
8794	1.31682e+07	9.9008	9.5357
8675	1.3808e+07	9.9008	9.5357
8768	1.37088e+07	9.84685	9.48383
8718	1.38138e+07	9.84685	9.48383
8740	1.38138e+07	9.84685	9.48383
8596	1.38138e+07	9.84685	9.48383
8797	1.38138e+07	9.84685	9.48383
8770	1.38138e+07	9.84685	9.48383
8712	1.38138e+07	9.93785	9.57113
8623	1.38138e+07	9.93785	9.57113
8783	1.38138e+07	9.79745	9.43556
8765	1.38138e+07	9.89365	9.52902
8710	1.38138e+07	9.89365	9.52902
11115	1.35713e+07	9.89365	9.52902
12116	1.37978e+07	10.3012	9.91414
11948	1.33577e+07	13.5505	13.0434
11817	1.38073e+07	13.6701	20.539
11817	1.38073e+07	13.5772	13.0717
11936	1.38073e+07	13.5772	13.0717
15848	1.38073e+07	13.7689	13.2514
16881	1.38073e+07	18.9377	18.2323
16743	1.38073e+07	29.8298	18.4757
16957	1.38073e+07	19.1711	18.4757
17045	1.38073e+07	19.3986	18.6596
17266	1.38073e+07	19.4883	18.7469
16950	1.38073e+07	19.7444	18.9913
17285	1.38073e+07	19.4142	18.675
17288	1.38073e+07	19.6612	18.9112
17431	1.38073e+07	19.8081	19.0529
17360	1.38073e+07	19.9394	19.1803
17369	1.38073e+07	19.8159	19.0591
17151	1.38073e+07	19.8731	19.1166
17265	1.38073e+07	19.6339	18.8876
17473	1.38073e+07	19.7535	19.0026
17619	1.32948e+07	19.981	19.2131
17179	1.35802e+07	20.0382	19.2737
16992	1.38029e+07	19.8159	19.0621
17048	1.38029e+07	19.4506	18.7078
17210	1.364e+07	19.4506	18.7078
17628	1.3806e+07	19.5845	18.8383
17560	1.35506e+07	19.9498	19.1885
17582	1.38079e+07	20.215	19.4452
17619	1.36397e+07	19.9914	19.2275
17645	1.38023e+07	20.1929	19.4226
17511	1.38023e+07	20.1929	19.4226
17339	1.38023e+07	20.1292	19.3631
17604	1.32628e+07	19.8614	19.1012
17570	1.38036e+07	19.9511	19.1854
17570	1.38036e+07	20.1838	19.4154
17582	1.37095e+07	20.1006	19.3333
17537	1.38072e+07	20.033	19.2665
17359	1.37173e+07	20.033	19.2665
17554	1.30302e+07	19.8497	19.094
17323	1.34588e+07	20.046	19.2819
17338	1.38056e+07	19.7925	19.0385
17231	1.38056e+07	19.7925	19.0385
17532	1.38056e+07	19.7301	18.979
17666	1.38056e+07	19.9498	19.1874
17955	1.38056e+07	20.1903	19.4165
17879	1.38056e+07	20.5842	19.7985
17843	1.38056e+07	20.4347	19.6558
17602	1.34223e+07	20.3658	19.5911
17341	1.37596e+07	20.1526	19.3857
17601	1.05238e+07	19.9446	19.1844
17516	1.34852e+07	19.9446	19.1844
17513	1.28241e+07	20.1266	19.3589
17254	1.37758e+07	19.9719	19.21
17433	1.37758e+07	19.8458	19.0878
17780	1.37758e+07	19.8458	19.0878
17677	1.37036e+07	20.1981	19.4257
17479	1.37036e+07	20.3333	19.5582
17753	1.3803e+07	20.1175	19.3528
17404	1.08087e+07	20.1175	19.3528
17819	1.33836e+07	20.1175	19.3528
17508	1.26293e+07	20.1175	19.3528
17526	1.34485e+07	20.2345	19.4668
17606	1.3006e+07	20.0265	19.2604
17544	1.38118e+07	20.0265	19.2604
23483	1.38118e+07	20.0265	19.2604
23483	1.38118e+07	22.0506	21.1778
23338	1.38118e+07	26.9152	25.8845
23025	1.38118e+07	26.4992	38.4303
