        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-16 16:44:31      3053 1.36314e+07  50.3717   48.459
2021-11-16 16:44:32      2994 1.36314e+07  50.2515  48.3537
2021-11-16 16:44:33      3067  1.3804e+07  50.6512   48.744
2021-11-16 16:44:34      3008  1.3804e+07  49.7477  47.8633
2021-11-16 16:44:35      3036 1.34323e+07  51.0933  49.1625
2021-11-16 16:44:36      3001 1.38014e+07  50.0467   48.156
2021-11-16 16:44:37      3001 1.38014e+07  50.4043  48.5001
2021-11-16 16:44:38      3018 1.38014e+07  49.8778  47.9917
2021-11-16 16:44:39      3028 1.38014e+07  50.0662  48.1766
2021-11-16 16:44:40      2974 1.36469e+07   50.492  48.5899
2021-11-16 16:44:41      2985 1.36469e+07  49.3903  47.5193
2021-11-16 16:44:42      3046 1.32552e+07   49.621  47.7452
2021-11-16 16:44:43      3017 1.35841e+07  50.5212   48.613
2021-11-16 16:44:44      2998 1.38085e+07  50.2352  48.3486
2021-11-16 16:44:45      2997 1.38085e+07  49.7315  47.8531
2021-11-16 16:44:46      3025 1.36923e+07  49.8127  47.9301
2021-11-16 16:44:47      3039 1.38038e+07  50.2547  48.3537
2021-11-16 16:44:48      3002 1.34106e+07  50.3945  48.4847
2021-11-16 16:44:49      3030 1.28541e+07  49.9915  48.0995
2021-11-16 16:44:50      3068 1.37239e+07  50.6382  48.7363
2021-11-16 16:44:51      3065 1.34175e+07  50.7162  48.7979
2021-11-16 16:44:52      3022 1.36546e+07  50.9405  49.0161
2021-11-16 16:44:53      3016 1.36546e+07   50.882  48.9648
2021-11-16 16:44:54      3007 1.37958e+07  49.7055  47.8248
2021-11-16 16:44:55      3016 1.37958e+07  50.2547  48.3486
2021-11-16 16:44:56      3122 1.34068e+07  49.7185  47.8377
2021-11-16 16:44:57      3058 1.27051e+07  51.1225  49.1805
2021-11-16 16:44:58      3047  1.3626e+07  51.9058  49.9404
2021-11-16 16:44:59      3089 1.38066e+07  50.6155  48.7055
2021-11-16 16:45:00      3103 1.38066e+07  51.1777  49.2421
2021-11-16 16:45:01      3056 1.38066e+07  51.6587  49.7017
2021-11-16 16:45:02      3042 1.28356e+07  51.3532   49.409
2021-11-16 16:45:03      3056 1.38063e+07   50.804  48.8852
2021-11-16 16:45:04      3006 1.26889e+07   50.687  48.7722
2021-11-16 16:45:05      3032 1.35497e+07  50.9632  49.0418
2021-11-16 16:45:06      3065  1.2962e+07   50.258  48.3563
2021-11-16 16:45:07      3074 1.36231e+07  50.7325  48.8184
2021-11-16 16:45:08      3074 1.36231e+07  51.1322  49.1984
2021-11-16 16:45:09      3085 1.38133e+07  51.3825  49.4398
2021-11-16 16:45:10      3052 1.38133e+07  51.3825  49.4398
2021-11-16 16:45:11      3093 1.22265e+07  50.7975  48.8775
2021-11-16 16:45:12      3080 1.34171e+07  51.6327  49.6786
2021-11-16 16:45:13      3081 1.38024e+07  51.3857  49.4423
2021-11-16 16:45:14      3060 1.38024e+07   51.285  49.3422
2021-11-16 16:45:15      3047 1.38024e+07  51.0607  49.1342
2021-11-16 16:45:16      3006 1.36979e+07   50.921  48.9982
2021-11-16 16:45:17      3082 1.38014e+07  49.9395  48.0508
2021-11-16 16:45:18      3065 1.38014e+07  51.4442  49.5014
2021-11-16 16:45:19      3076 1.38014e+07  51.1517  49.2164
2021-11-16 16:45:20      3097 1.35572e+07  50.9405  49.0136
2021-11-16 16:45:21      3141 1.34864e+07   51.467  49.5219
2021-11-16 16:45:22      3084 1.38023e+07  52.4777  50.4925
2021-11-16 16:45:23      3049 1.38023e+07  51.6815  49.7273
2021-11-16 16:45:24      3008 1.38023e+07   50.791  48.8672
2021-11-16 16:45:25      3060  1.3146e+07  50.4627  48.5591
2021-11-16 16:45:26      3132 1.34748e+07   50.245  48.3383
2021-11-16 16:45:27      3096 1.32815e+07   52.455  50.4693
2021-11-16 16:45:28      3069 1.37771e+07  51.7173  49.7633
2021-11-16 16:45:29      3073 1.23091e+07  51.1095   49.183
2021-11-16 16:45:30      3080 1.33315e+07   51.415  49.4732
2021-11-16 16:45:31      3069 1.37601e+07  51.3143   49.373
2021-11-16 16:45:32      3084 1.32086e+07  50.9665  49.0367
2021-11-16 16:45:33      3125 1.35115e+07   51.233  49.2934
2021-11-16 16:45:34      3106 1.38124e+07    51.74  49.7787
2021-11-16 16:45:35      3162 1.35089e+07   51.987  50.0226
2021-11-16 16:45:36      3102 1.37895e+07   51.987  50.0226
2021-11-16 16:45:37      2936 1.35577e+07  52.8775   50.875
2021-11-16 16:45:38      3016 1.38083e+07   50.882  48.9648
2021-11-16 16:45:39      3016 1.38083e+07  48.7012  46.8594
2021-11-16 16:45:40      2998 1.38083e+07   50.427   48.518
2021-11-16 16:45:41      3030 1.38083e+07  49.8647   47.984
2021-11-16 16:45:42      3019 1.37105e+07  50.3652  48.4616
2021-11-16 16:45:43      3022 1.38077e+07  50.4725  48.5694
2021-11-16 16:45:44      3019 1.13182e+07  50.3652  48.4641
2021-11-16 16:45:45      3008 1.38068e+07  50.0532  48.1612
2021-11-16 16:45:46      2989 1.38068e+07  49.9753  48.0944
2021-11-16 16:45:47      3020 1.38068e+07  49.7315  47.8556
2021-11-16 16:45:48      3035 1.36983e+07  50.0532   48.156
2021-11-16 16:45:49      2993 1.38029e+07  50.6675  48.7517
2021-11-16 16:45:50      3002 1.38029e+07  49.7347  47.8582
2021-11-16 16:45:51      2969 1.38029e+07   50.089  48.1997
2021-11-16 16:45:52      3042 1.38029e+07  49.4845  47.6169
2021-11-16 16:45:53      3064 1.38029e+07  50.3035  48.3999
2021-11-16 16:45:54      3056 1.38029e+07  50.9925  49.0701
2021-11-16 16:45:55      3047 1.38029e+07  50.8397  48.9237
2021-11-16 16:45:56      3083 1.38029e+07  50.6838  48.7697
2021-11-16 16:45:57      3053 1.38029e+07  50.9958  49.0701
2021-11-16 16:45:58      3054 1.38029e+07    51.09  49.1676
2021-11-16 16:45:59      3052 1.33933e+07   50.973  49.0495
2021-11-16 16:46:00      3064 1.38103e+07   50.973  49.0495
2021-11-16 16:46:01      3065 1.33287e+07   50.973  49.0495
2021-11-16 16:46:02      3058 1.38054e+07  50.8365  48.9134
2021-11-16 16:46:03      3046 1.38054e+07  51.1322  49.1959
2021-11-16 16:46:04      3067 1.38054e+07  51.1322  49.1959
2021-11-16 16:46:05      3010 1.36584e+07   50.882  48.9597
