        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-16 16:57:07        95 1.37988e+07        0        0
2021-11-16 16:57:08        98 1.36933e+07        0        0
2021-11-16 16:57:09       100 1.38071e+07        0        0
2021-11-16 16:57:10        99 1.38071e+07        0        0
2021-11-16 16:57:11       100 1.38071e+07        0        0
2021-11-16 16:57:12       108 1.38071e+07        0        0
2021-11-16 16:57:13       129 1.38071e+07        0        0
2021-11-16 16:57:14       161 1.38071e+07        0        0
2021-11-16 16:57:15       179 1.34772e+07        0        0
2021-11-16 16:57:16       176 1.34772e+07        0        0
2021-11-16 16:57:17      3506 1.37978e+07        0        0
2021-11-16 16:57:18      5109 1.37978e+07        0        0
2021-11-16 16:57:19      5140 1.37978e+07        0   0.6162
2021-11-16 16:57:20      5174 1.37978e+07     0.78   1.5405
2021-11-16 16:57:21      5188 1.37978e+07     1.95    3.081
2021-11-16 16:57:22      5177 1.37978e+07      3.9    6.162
2021-11-16 16:57:23      5192 1.37978e+07  7.46447  9.10025
2021-11-16 16:57:24      5113 1.37978e+07  9.42045  8.63091
2021-11-16 16:57:25      5068 1.37978e+07   8.8842  5.56275
2021-11-16 16:57:26      5049 1.37978e+07   5.7226  5.56275
2021-11-16 16:57:27      5094 1.34488e+07   5.7226  5.47494
2021-11-16 16:57:28      5087 1.38027e+07   5.5965   5.3974
2021-11-16 16:57:29      5126 1.38027e+07  5.72585  5.52115
2021-11-16 16:57:30      5126 1.38027e+07  5.65825  5.45799
2021-11-16 16:57:31      5150 1.21889e+07    5.733  5.52988
2021-11-16 16:57:32      5055 1.36924e+07    5.733  5.52988
2021-11-16 16:57:33      5107 1.38076e+07   5.6537  5.45286
2021-11-16 16:57:34      5150 1.37345e+07   5.7148  5.51037
2021-11-16 16:57:35      5169 1.34418e+07  5.76745  5.56172
2021-11-16 16:57:36      5169 1.38067e+07  5.76745  5.56172
2021-11-16 16:57:37      5165 1.36995e+07  5.76745  5.56172
2021-11-16 16:57:38      5089 1.38081e+07  5.76745  5.56172
2021-11-16 16:57:39      5052 1.38081e+07  5.67385  5.47186
2021-11-16 16:57:40      5009 1.38081e+07  5.67385  5.47186
2021-11-16 16:57:41      5094 1.36738e+07   5.6004  5.40151
2021-11-16 16:57:42      5110 1.36738e+07    5.694  5.49086
2021-11-16 16:57:43      5150 1.38056e+07    5.694  5.49086
2021-11-16 16:57:44      5150 1.36668e+07    5.694  5.49086
2021-11-16 16:57:45      5150 1.38099e+07   5.7603  5.55504
2021-11-16 16:57:46      5177 1.38099e+07   5.7603  5.55504
2021-11-16 16:57:47      5129 1.33813e+07   5.7603  5.55504
2021-11-16 16:57:48      5157 1.38086e+07   5.7603  5.55504
2021-11-16 16:57:49      5113 1.38086e+07   5.7603  5.55504
2021-11-16 16:57:50      5105 1.38086e+07   5.7603  5.55504
2021-11-16 16:57:51      5073 1.38086e+07   5.7603  5.55504
2021-11-16 16:57:52      5100 1.36844e+07   5.6368  5.43745
2021-11-16 16:57:53      5170  1.3808e+07   5.6368  5.43745
2021-11-16 16:57:54      5121  1.3808e+07  5.78045  5.57404
2021-11-16 16:57:55      5177  1.3808e+07  5.71675  5.51345
2021-11-16 16:57:56      5115 1.35562e+07  5.79735  5.59047
2021-11-16 16:57:57      5076 1.35562e+07  5.73235  5.52783
2021-11-16 16:57:58      5157 1.37308e+07  5.67905  5.52783
2021-11-16 16:57:59      5094 1.38062e+07  5.67905  5.52783
2021-11-16 16:58:00      5157 1.38062e+07   5.7343  5.52783
2021-11-16 16:58:01      5157 1.38062e+07   5.7343  5.52783
2021-11-16 16:58:02      5196 1.38062e+07  5.79345  5.58688
2021-11-16 16:58:03      5148 1.38062e+07  5.79345  5.58688
2021-11-16 16:58:04      5188 1.38062e+07  5.79345  5.58688
2021-11-16 16:58:05      5096 1.37332e+07  5.79345  5.58688
2021-11-16 16:58:06      5088 1.38088e+07  5.67775  5.47596
2021-11-16 16:58:07      5147 1.38088e+07  5.67775  5.47596
2021-11-16 16:58:08      5122 1.36135e+07  5.73495  5.53091
2021-11-16 16:58:09      5091  1.3808e+07  5.73495  5.53091
2021-11-16 16:58:10      5130  1.3808e+07  5.68425  5.53091
2021-11-16 16:58:11      5189  1.3808e+07  5.68425  5.53091
2021-11-16 16:58:12      5174  1.3708e+07  5.80645  5.60023
2021-11-16 16:58:13      6937 1.38044e+07  5.80645  5.60023
2021-11-16 16:58:14      9864 1.38044e+07   6.9095  6.67807
2021-11-16 16:58:15      9921 1.36253e+07  11.1599  10.7419
2021-11-16 16:58:16      9768 1.37485e+07   11.232  10.8138
2021-11-16 16:58:17      9860 1.37485e+07  11.1495  10.7357
