scalerS16b	IPM2C21A	IPM2C24A		
99	1.38134e+07	0	0	
91	1.38134e+07	0	0	
98	1.38134e+07	0	0	
95	1.38134e+07	0	0	
97	1.38134e+07	0	0	
91	1.38134e+07	0	0	
94	1.38134e+07	0	0	
91	1.38134e+07	0	0	
92	1.38134e+07	0	0	
90	1.38134e+07	0	0	
95	1.38134e+07	0	0	
94	1.38134e+07	0	0	
97	1.38134e+07	0	0	
263	1.38134e+07	0	0	
848	1.38134e+07	0	0	
854	1.38134e+07	0.78	0	
846	1.38134e+07	1.95	0.6162	
833	1.38134e+07	3.9	1.5405	
824	1.38134e+07	7.8	3.081	
832	1.38134e+07	17.6936	6.162	
838	1.38134e+07	19.5644	15.405	
838	1.38134e+07	19.8861	18.8316	
831	1.38134e+07	12.7673	19.0909	
824	1.38134e+07	12.7673	12.2757	
824	1.38134e+07	12.6217	12.1679	
823	1.38134e+07	12.6217	12.1063	
818	1.38134e+07	12.5307	12.1063	
843	1.38134e+07	12.5307	11.9399	
842	1.38134e+07	12.9649	12.3425	
841	1.38134e+07	12.8141	12.3425	
841	1.38134e+07	12.9077	12.3425	
843	1.38134e+07	12.857	12.3425	
829	1.38134e+07	12.6893	12.3425	
831	1.38134e+07	12.6893	12.0765	
822	1.38134e+07	12.5411	12.2079	
831	1.38134e+07	12.7322	12.0005	
834	1.38134e+07	12.7322	12.2716	
832	1.38134e+07	12.7829	12.173	
826	1.38134e+07	12.7062	12.2501	
830	1.38134e+07	12.6152	12.132	
824	1.38134e+07	12.6789	12.132	
813	1.38134e+07	12.6789	12.132	
824	1.38134e+07	12.4826	12.132	
822	1.38134e+07	12.584	12.0272	
814	1.38134e+07	12.584	12.0272	
826	1.38134e+07	12.4202	11.9625	
844	1.38134e+07	12.6256	11.9625	
830	1.38134e+07	12.9337	12.3055	
830	1.38134e+07	12.8674	12.4503	
829	1.38134e+07	12.7517	12.2182	
814	1.38134e+07	12.8908	12.324	
821	1.38134e+07	12.6048	12.2716	
821	1.38134e+07	12.6048	12.0169	
827	1.38134e+07	12.6776	12.1299	
813	1.38134e+07	12.4202	12.0662	
830	1.38134e+07	12.701	11.9902	
825	1.38134e+07	12.701	12.2285	
829	1.38134e+07	12.701	12.2285	
827	1.38134e+07	12.701	12.171	
830	1.38134e+07	12.7686	12.171	
830	1.34848e+07	12.7686	12.2737	
829	1.38339e+07	12.6152	12.1422	
823	1.38339e+07	12.6815	12.1422	
835	1.38339e+07	12.6204	12.1422	
843	1.38339e+07	12.8401	12.2316	
822	1.38339e+07	12.8401	12.3733	
822	1.38339e+07	12.519	12.1895	
827	1.38339e+07	12.6555	12.0108	
817	1.38339e+07	12.6555	12.2326	
828	1.38339e+07	12.5567	12.0611	
822	1.38339e+07	12.7192	12.1299	
825	1.38339e+07	12.5203	12.1299	
810	1.38339e+07	12.6321	12.1299	
145	1.38339e+07	11.8053	11.944	
95	1.38339e+07	1.2415	6.63853	
93	1.38339e+07	0	0	
98	1.38339e+07	0	0	
96	1.38339e+07	0	0	
99	1.38339e+07	0	0	
95	1.38339e+07	0	0	
95	1.38339e+07	0	0	
92	1.38339e+07	0	0	
93	1.38339e+07	0	0	
93	1.38339e+07	0	0	
94	1.38339e+07	0	0	
91	1.38339e+07	0	0	
94	1.38339e+07	0	0	
94	1.38339e+07	0	0	
92	1.38339e+07	0	0	
95	1.38339e+07	0	0	
96	1.38339e+07	0	0	
92	1.38339e+07	0	0	
93	1.38339e+07	0	0	
90	1.38339e+07	0	0	
90	1.38339e+07	0	0	
87	1.38339e+07	0	0	
93	1.38339e+07	0	0	
91	1.38339e+07	0	0	
94	1.38339e+07	0	0	
90	1.38339e+07	0	0	
92	1.38339e+07	0	0	
91	1.38339e+07	0	0	
93	1.38339e+07	0	0	
94	1.38339e+07	0	0	
94	1.38339e+07	0	0	
95	1.38339e+07	0	0	
91	1.38339e+07	0	0	
92	1.38339e+07	0	0	
92	1.38339e+07	0	0	
90	1.38339e+07	0	0	
90	1.38339e+07	0	0	
285	1.38339e+07	0	0	
840	1.38339e+07	0	0	
849	1.38339e+07	1.95	0.6162	
849	1.38339e+07	3.9	1.5405	
838	1.38339e+07	7.8	3.081	
847	1.38339e+07	17.8275	6.162	
850	1.38339e+07	20.0187	15.405	
832	1.38339e+07	19.8939	19.2254	
839	1.38339e+07	12.7881	18.9615	
825	1.38339e+07	12.688	12.3281	
841	1.38339e+07	12.7517	12.0837	
840	1.38339e+07	12.7517	12.3168	
843	1.38339e+07	12.8999	12.3168	
848	1.38339e+07	12.8999	12.4164	
825	1.38339e+07	12.8999	12.4164	
818	1.38339e+07	12.5203	12.1587	
835	1.38339e+07	12.5203	11.9913	
833	1.38339e+07	12.8401	12.1309	
829	1.38339e+07	12.6555	12.2665	
829	1.38339e+07	12.6555	12.1422	
823	1.38339e+07	12.6555	12.1422	
826	1.38339e+07	12.5515	12.1422	
826	1.38339e+07	12.6763	12.0847	
825	1.38339e+07	12.61	12.1587	
827	1.38339e+07	12.61	12.1073	
833	1.38339e+07	12.61	12.018	
853	1.38339e+07	12.7231	12.1135	
836	1.38339e+07	13.0039	12.4421	
842	1.38339e+07	12.7205	12.3384	
838	1.38339e+07	12.7205	12.1648	
835	1.38339e+07	12.7205	12.2634	
838	1.38339e+07	12.7205	12.1422	
825	1.38339e+07	12.7205	12.2624	
841	1.38339e+07	12.5398	12.1248	
841	1.38339e+07	12.6958	12.1248	
844	1.38339e+07	12.7699	12.1802	
845	1.38339e+07	12.7699	12.2942	
843	1.38339e+07	12.7699	12.2942	
843	1.38339e+07	12.8648	12.2942	
841	1.38339e+07	12.8648	12.2942	
840	1.38339e+07	12.8648	12.3795	
833	1.38339e+07	12.8648	12.3004	
836	1.38339e+07	12.61	12.2059	
826	1.38339e+07	12.7816	12.2059	
834	1.38339e+07	12.6087	12.1484	
831	1.38339e+07	12.7023	12.1484	
842	1.38339e+07	12.7023	12.1484	
833	1.38339e+07	12.7894	12.2675	
827	1.38339e+07	12.6425	12.2172	
832	1.38339e+07	12.6425	12.1052	
835	1.38339e+07	12.7699	12.1617	
835	1.38339e+07	12.7699	12.2778	
841	1.38339e+07	12.7699	12.1679	
834	1.39351e+07	12.9272	12.4051	
829	1.38325e+07	12.7088	12.2901	
816	1.38325e+07	12.6191	12.1802	
835	1.38325e+07	12.4072	11.9851	
830	1.38325e+07	12.7582	11.9851	
825	1.38325e+07	12.6529	12.248	
836	1.38325e+07	12.6529	12.1114	
834	1.38325e+07	12.7114	12.1114	
828	1.38325e+07	12.7114	12.1823	
830	1.38325e+07	12.5645	12.1258	
839	1.38325e+07	12.649	12.1258	
828	1.36622e+07	12.649	12.1258	
828	1.36622e+07	12.649	12.2655	
828	1.382e+07	12.5281	12.0231	
835	1.382e+07	12.7621	12.1268	
832	1.37208e+07	12.5931	12.1268	
842	1.38131e+07	12.8232	12.2049	
834	1.38131e+07	12.8232	12.3189	
821	1.38131e+07	12.6412	12.2172	
827	1.38131e+07	12.4852	11.9882	
830	1.38131e+07	12.5879	12.0929	
839	1.38131e+07	12.6776	12.0929	
850	1.36555e+07	12.9636	12.2952	
838	1.38198e+07	12.8492	12.4534	
840	1.38198e+07	12.7517	12.2244	
844	1.38198e+07	12.7517	12.2244	
866	1.38198e+07	12.9064	12.285	
838	1.38198e+07	13.117	12.5335	
841	1.38198e+07	12.7413	12.3908	
842	1.38198e+07	12.8765	12.2326	
842	1.38198e+07	12.7361	12.3209	
845	1.38198e+07	12.8609	12.3209	
832	1.38198e+07	12.8609	12.3209	
847	1.38198e+07	12.7634	12.2275	
837	1.38198e+07	12.9415	12.4021	
827	1.38198e+07	12.7673	12.3322	
840	1.38198e+07	12.6399	12.1463	
820	1.38198e+07	12.87	12.2952	
819	1.38198e+07	12.571	12.1936	
824	1.38198e+07	12.571	12.0765	
828	1.38198e+07	12.571	12.0765	
816	1.38198e+07	12.7322	12.0765	
824	1.38198e+07	12.545	12.1905	
824	1.38198e+07	12.6113	11.9974	
824	1.38198e+07	12.6113	12.0703	
820	1.38198e+07	12.5086	12.0703	
828	1.38198e+07	12.6139	12.0703	
834	1.39322e+07	12.7634	12.2141	
850	1.3812e+07	13.0377	12.3209	
829	1.3812e+07	12.8063	12.4986	
836	1.3812e+07	12.7088	12.1638	
829	1.3812e+07	12.6217	12.2377	
843	1.3812e+07	12.8817	12.132	
846	1.3812e+07	12.8817	12.3825	
835	1.3812e+07	12.8817	12.3825	
837	1.3812e+07	12.8817	12.2644	
839	1.3812e+07	12.8128	12.3486	
824	1.3812e+07	12.8128	12.2952	
826	1.3812e+07	12.5671	12.1094	
845	1.3812e+07	12.6763	12.1094	
841	1.3812e+07	12.9038	12.3096	
837	1.3812e+07	12.8479	12.3096	
825	1.3812e+07	12.7478	12.2449	
827	1.3812e+07	12.5359	12.1854	
826	1.3812e+07	12.5359	11.9697	
843	1.3812e+07	12.61	11.9697	
827	1.3812e+07	12.8843	12.2922	
832	1.3812e+07	12.6503	12.2316	
831	1.3812e+07	12.74	12.2316	
822	1.3812e+07	12.74	12.2316	
832	1.3812e+07	12.6295	12.2316	
819	1.3812e+07	12.6828	11.9779	
