scalerS16b	IPM2C21A	IPM2C24A		
73	1.38056e+07	0	0	
76	1.38056e+07	0	0	
11715	1.38056e+07	0	0	
11699	1.38056e+07	0	0	
11699	1.38056e+07	0.78	0.6162	
11997	1.38056e+07	1.95	1.5405	
11854	1.38056e+07	3.9	3.081	
11959	1.38056e+07	7.8	6.162	
11933	1.38056e+07	18.3336	15.405	
11710	1.38056e+07	20.9638	20.0727	
11563	1.38056e+07	20.7298	19.9382	
11751	1.38056e+07	13.2951	12.6187	
11799	1.38056e+07	13.4238	12.8272	
11751	1.38056e+07	13.4849	12.8272	
11609	1.38056e+07	13.4849	12.8272	
11531	1.38056e+07	13.2821	12.8272	
11599	1.38056e+07	13.2184	12.6413	
11660	1.38056e+07	13.2184	12.6413	
11691	1.38056e+07	13.3497	12.6413	
11493	1.38056e+07	13.416	12.8139	
11600	1.34469e+07	13.1326	12.592	
11452	1.38251e+07	13.2821	12.592	
11446	1.38251e+07	13.1534	12.592	
11551	1.38251e+07	13.0494	12.4298	
11582	1.38251e+07	13.2327	12.5376	
11554	1.38251e+07	13.2327	12.6434	
16357	1.38251e+07	13.2327	12.5705	
18021	1.38251e+07	16.2201	12.8919	
18010	1.38251e+07	20.4178	18.5302	
33765	1.35601e+07	20.7116	19.7389	
37560	1.38324e+07	27.8694	20.0296	
38308	1.38324e+07	43.5461	37.5481	
37959	1.36268e+07	65.1072	61.8382	
38207	1.38172e+07	44.1577	67.5869	
42676	1.38172e+07	44.0342	42.1943	
42676	1.38172e+07	45.3115	42.4202	
43818	1.38172e+07	50.0207	46.6053	
44673	1.37177e+07	50.9795	48.4487	
59322	1.38196e+07	53.8752	49.4346	
63124	1.38196e+07	71.6852	61.05	
61916	1.38196e+07	72.982	70.1184	
76060	1.38196e+07	72.982	69.1479	
78086	1.38196e+07	89.4497	78.5398	
78821	1.38196e+07	145.184	87.0691	
82216	1.38196e+07	91.9815	86.9612	
84009	1.38196e+07	95.498	90.0884	
83049	1.38196e+07	97.3895	92.3068	
83367	1.38196e+07	96.46	93.0205	
81585	1.38196e+07	96.6095	92.3992	
83095	1.38196e+07	94.7895	91.5006	
83293	1.38196e+07	96.304	91.6392	
82778	1.38196e+07	96.902	92.6251	
