        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-18 17:49:47        99 1.38134e+07        0        0
2021-11-18 17:49:48        91 1.38134e+07        0        0
2021-11-18 17:49:49        98 1.38134e+07        0        0
2021-11-18 17:49:50        95 1.38134e+07        0        0
2021-11-18 17:49:51        97 1.38134e+07        0        0
2021-11-18 17:49:52        91 1.38134e+07        0        0
2021-11-18 17:49:53        94 1.38134e+07        0        0
2021-11-18 17:49:54        91 1.38134e+07        0        0
2021-11-18 17:49:55        92 1.38134e+07        0        0
2021-11-18 17:49:56        90 1.38134e+07        0        0
2021-11-18 17:49:57        95 1.38134e+07        0        0
2021-11-18 17:49:58        94 1.38134e+07        0        0
2021-11-18 17:49:59        97 1.38134e+07        0        0
2021-11-18 17:50:00       263 1.38134e+07        0        0
2021-11-18 17:50:01       848 1.38134e+07        0        0
2021-11-18 17:50:02       854 1.38134e+07     0.78        0
2021-11-18 17:50:03       846 1.38134e+07     1.95   0.6162
2021-11-18 17:50:04       833 1.38134e+07      3.9   1.5405
2021-11-18 17:50:05       824 1.38134e+07      7.8    3.081
2021-11-18 17:50:06       832 1.38134e+07  17.6936    6.162
2021-11-18 17:50:07       838 1.38134e+07  19.5644   15.405
2021-11-18 17:50:08       838 1.38134e+07  19.8861  18.8316
2021-11-18 17:50:09       831 1.38134e+07  12.7673  19.0909
2021-11-18 17:50:10       824 1.38134e+07  12.7673  12.2757
2021-11-18 17:50:11       824 1.38134e+07  12.6217  12.1679
2021-11-18 17:50:12       823 1.38134e+07  12.6217  12.1063
2021-11-18 17:50:13       818 1.38134e+07  12.5307  12.1063
2021-11-18 17:50:14       843 1.38134e+07  12.5307  11.9399
2021-11-18 17:50:15       842 1.38134e+07  12.9649  12.3425
2021-11-18 17:50:16       841 1.38134e+07  12.8141  12.3425
2021-11-18 17:50:17       841 1.38134e+07  12.9077  12.3425
2021-11-18 17:50:18       843 1.38134e+07   12.857  12.3425
2021-11-18 17:50:19       829 1.38134e+07  12.6893  12.3425
2021-11-18 17:50:20       831 1.38134e+07  12.6893  12.0765
2021-11-18 17:50:21       822 1.38134e+07  12.5411  12.2079
2021-11-18 17:50:22       831 1.38134e+07  12.7322  12.0005
2021-11-18 17:50:23       834 1.38134e+07  12.7322  12.2716
2021-11-18 17:50:24       832 1.38134e+07  12.7829   12.173
2021-11-18 17:50:25       826 1.38134e+07  12.7062  12.2501
2021-11-18 17:50:26       830 1.38134e+07  12.6152   12.132
2021-11-18 17:50:27       824 1.38134e+07  12.6789   12.132
2021-11-18 17:50:28       813 1.38134e+07  12.6789   12.132
2021-11-18 17:50:29       824 1.38134e+07  12.4826   12.132
2021-11-18 17:50:30       822 1.38134e+07   12.584  12.0272
2021-11-18 17:50:31       814 1.38134e+07   12.584  12.0272
2021-11-18 17:50:32       826 1.38134e+07  12.4202  11.9625
2021-11-18 17:50:33       844 1.38134e+07  12.6256  11.9625
2021-11-18 17:50:34       830 1.38134e+07  12.9337  12.3055
2021-11-18 17:50:35       830 1.38134e+07  12.8674  12.4503
2021-11-18 17:50:36       829 1.38134e+07  12.7517  12.2182
2021-11-18 17:50:37       814 1.38134e+07  12.8908   12.324
2021-11-18 17:50:38       821 1.38134e+07  12.6048  12.2716
2021-11-18 17:50:39       821 1.38134e+07  12.6048  12.0169
2021-11-18 17:50:40       827 1.38134e+07  12.6776  12.1299
2021-11-18 17:50:41       813 1.38134e+07  12.4202  12.0662
2021-11-18 17:50:42       830 1.38134e+07   12.701  11.9902
2021-11-18 17:50:43       825 1.38134e+07   12.701  12.2285
2021-11-18 17:50:44       829 1.38134e+07   12.701  12.2285
2021-11-18 17:50:45       827 1.38134e+07   12.701   12.171
2021-11-18 17:50:46       830 1.38134e+07  12.7686   12.171
2021-11-18 17:50:47       830 1.34848e+07  12.7686  12.2737
2021-11-18 17:50:48       829 1.38339e+07  12.6152  12.1422
2021-11-18 17:50:49       823 1.38339e+07  12.6815  12.1422
2021-11-18 17:50:50       835 1.38339e+07  12.6204  12.1422
2021-11-18 17:50:51       843 1.38339e+07  12.8401  12.2316
2021-11-18 17:50:52       822 1.38339e+07  12.8401  12.3733
2021-11-18 17:50:53       822 1.38339e+07   12.519  12.1895
2021-11-18 17:50:54       827 1.38339e+07  12.6555  12.0108
2021-11-18 17:50:55       817 1.38339e+07  12.6555  12.2326
2021-11-18 17:50:56       828 1.38339e+07  12.5567  12.0611
2021-11-18 17:50:57       822 1.38339e+07  12.7192  12.1299
2021-11-18 17:50:58       825 1.38339e+07  12.5203  12.1299
2021-11-18 17:50:59       810 1.38339e+07  12.6321  12.1299
2021-11-18 17:51:00       145 1.38339e+07  11.8053   11.944
2021-11-18 17:51:01        95 1.38339e+07   1.2415  6.63853
2021-11-18 17:51:02        93 1.38339e+07        0        0
2021-11-18 17:51:03        98 1.38339e+07        0        0
2021-11-18 17:51:04        96 1.38339e+07        0        0
2021-11-18 17:51:05        99 1.38339e+07        0        0
2021-11-18 17:51:06        95 1.38339e+07        0        0
2021-11-18 17:51:07        95 1.38339e+07        0        0
2021-11-18 17:51:08        92 1.38339e+07        0        0
2021-11-18 17:51:09        93 1.38339e+07        0        0
2021-11-18 17:51:10        93 1.38339e+07        0        0
2021-11-18 17:51:11        94 1.38339e+07        0        0
2021-11-18 17:51:12        91 1.38339e+07        0        0
2021-11-18 17:51:13        94 1.38339e+07        0        0
2021-11-18 17:51:14        94 1.38339e+07        0        0
2021-11-18 17:51:15        92 1.38339e+07        0        0
2021-11-18 17:51:16        95 1.38339e+07        0        0
2021-11-18 17:51:17        96 1.38339e+07        0        0
2021-11-18 17:51:18        92 1.38339e+07        0        0
2021-11-18 17:51:19        93 1.38339e+07        0        0
2021-11-18 17:51:20        90 1.38339e+07        0        0
2021-11-18 17:51:21        90 1.38339e+07        0        0
2021-11-18 17:51:22        87 1.38339e+07        0        0
2021-11-18 17:51:23        93 1.38339e+07        0        0
2021-11-18 17:51:24        91 1.38339e+07        0        0
2021-11-18 17:51:25        94 1.38339e+07        0        0
2021-11-18 17:51:26        90 1.38339e+07        0        0
2021-11-18 17:51:27        92 1.38339e+07        0        0
2021-11-18 17:51:28        91 1.38339e+07        0        0
2021-11-18 17:51:29        93 1.38339e+07        0        0
2021-11-18 17:51:30        94 1.38339e+07        0        0
2021-11-18 17:51:31        94 1.38339e+07        0        0
2021-11-18 17:51:32        95 1.38339e+07        0        0
2021-11-18 17:51:33        91 1.38339e+07        0        0
2021-11-18 17:51:34        92 1.38339e+07        0        0
2021-11-18 17:51:35        92 1.38339e+07        0        0
2021-11-18 17:51:36        90 1.38339e+07        0        0
2021-11-18 17:51:37        90 1.38339e+07        0        0
2021-11-18 17:51:38       285 1.38339e+07        0        0
2021-11-18 17:51:39       840 1.38339e+07        0        0
2021-11-18 17:51:40       849 1.38339e+07     1.95   0.6162
2021-11-18 17:51:41       849 1.38339e+07      3.9   1.5405
2021-11-18 17:51:42       838 1.38339e+07      7.8    3.081
2021-11-18 17:51:43       847 1.38339e+07  17.8275    6.162
2021-11-18 17:51:44       850 1.38339e+07  20.0187   15.405
2021-11-18 17:51:45       832 1.38339e+07  19.8939  19.2254
2021-11-18 17:51:46       839 1.38339e+07  12.7881  18.9615
2021-11-18 17:51:47       825 1.38339e+07   12.688  12.3281
2021-11-18 17:51:48       841 1.38339e+07  12.7517  12.0837
2021-11-18 17:51:49       840 1.38339e+07  12.7517  12.3168
2021-11-18 17:51:50       843 1.38339e+07  12.8999  12.3168
2021-11-18 17:51:51       848 1.38339e+07  12.8999  12.4164
2021-11-18 17:51:52       825 1.38339e+07  12.8999  12.4164
2021-11-18 17:51:53       818 1.38339e+07  12.5203  12.1587
2021-11-18 17:51:54       835 1.38339e+07  12.5203  11.9913
2021-11-18 17:51:55       833 1.38339e+07  12.8401  12.1309
2021-11-18 17:51:56       829 1.38339e+07  12.6555  12.2665
