        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-18 18:53:59        73 1.38056e+07        0        0
2021-11-18 18:54:00        76 1.38056e+07        0        0
2021-11-18 18:54:01     11715 1.38056e+07        0        0
2021-11-18 18:54:02     11699 1.38056e+07        0        0
2021-11-18 18:54:03     11699 1.38056e+07     0.78   0.6162
2021-11-18 18:54:04     11997 1.38056e+07     1.95   1.5405
2021-11-18 18:54:05     11854 1.38056e+07      3.9    3.081
2021-11-18 18:54:06     11959 1.38056e+07      7.8    6.162
2021-11-18 18:54:07     11933 1.38056e+07  18.3336   15.405
2021-11-18 18:54:08     11710 1.38056e+07  20.9638  20.0727
2021-11-18 18:54:09     11563 1.38056e+07  20.7298  19.9382
2021-11-18 18:54:10     11751 1.38056e+07  13.2951  12.6187
2021-11-18 18:54:11     11799 1.38056e+07  13.4238  12.8272
2021-11-18 18:54:12     11751 1.38056e+07  13.4849  12.8272
2021-11-18 18:54:13     11609 1.38056e+07  13.4849  12.8272
2021-11-18 18:54:14     11531 1.38056e+07  13.2821  12.8272
2021-11-18 18:54:15     11599 1.38056e+07  13.2184  12.6413
2021-11-18 18:54:16     11660 1.38056e+07  13.2184  12.6413
2021-11-18 18:54:17     11691 1.38056e+07  13.3497  12.6413
2021-11-18 18:54:18     11493 1.38056e+07   13.416  12.8139
2021-11-18 18:54:19     11600 1.34469e+07  13.1326   12.592
2021-11-18 18:54:20     11452 1.38251e+07  13.2821   12.592
2021-11-18 18:54:21     11446 1.38251e+07  13.1534   12.592
2021-11-18 18:54:22     11551 1.38251e+07  13.0494  12.4298
2021-11-18 18:54:23     11582 1.38251e+07  13.2327  12.5376
2021-11-18 18:54:24     11554 1.38251e+07  13.2327  12.6434
2021-11-18 18:54:25     16357 1.38251e+07  13.2327  12.5705
2021-11-18 18:54:26     18021 1.38251e+07  16.2201  12.8919
2021-11-18 18:54:27     18010 1.38251e+07  20.4178  18.5302
2021-11-18 18:54:28     33765 1.35601e+07  20.7116  19.7389
2021-11-18 18:54:29     37560 1.38324e+07  27.8694  20.0296
2021-11-18 18:54:30     38308 1.38324e+07  43.5461  37.5481
2021-11-18 18:54:31     37959 1.36268e+07  65.1072  61.8382
2021-11-18 18:54:32     38207 1.38172e+07  44.1577  67.5869
2021-11-18 18:54:33     42676 1.38172e+07  44.0342  42.1943
2021-11-18 18:54:34     42676 1.38172e+07  45.3115  42.4202
2021-11-18 18:54:35     43818 1.38172e+07  50.0207  46.6053
2021-11-18 18:54:36     44673 1.37177e+07  50.9795  48.4487
2021-11-18 18:54:37     59322 1.38196e+07  53.8752  49.4346
2021-11-18 18:54:38     63124 1.38196e+07  71.6852    61.05
2021-11-18 18:54:39     61916 1.38196e+07   72.982  70.1184
2021-11-18 18:54:40     76060 1.38196e+07   72.982  69.1479
2021-11-18 18:54:41     78086 1.38196e+07  89.4497  78.5398
2021-11-18 18:54:42     78821 1.38196e+07  145.184  87.0691
2021-11-18 18:54:43     82216 1.38196e+07  91.9815  86.9612
2021-11-18 18:54:44     84009 1.38196e+07   95.498  90.0884
2021-11-18 18:54:45     83049 1.38196e+07  97.3895  92.3068
2021-11-18 18:54:46     83367 1.38196e+07    96.46  93.0205
2021-11-18 18:54:47     81585 1.38196e+07  96.6095  92.3992
2021-11-18 18:54:48     83095 1.38196e+07  94.7895  91.5006
2021-11-18 18:54:49     83293 1.38196e+07   96.304  91.6392
2021-11-18 18:54:50     82778 1.38196e+07   96.902  92.6251
2021-11-18 18:54:51     82172 1.38196e+07   96.109  92.2965
2021-11-18 18:54:52     81754 1.38196e+07   95.147  91.3927
2021-11-18 18:54:53     82378 1.38196e+07   95.147  91.2592
2021-11-18 18:54:54     83440 1.38196e+07  95.3745  91.2592
2021-11-18 18:54:55     83245 1.38196e+07   96.863  92.0962
2021-11-18 18:54:56     82266 1.38196e+07   96.369  92.5019
2021-11-18 18:54:57     83308 1.38196e+07  96.1545  92.3273
2021-11-18 18:54:58     82694 1.38196e+07  95.6215  91.5416
2021-11-18 18:54:59     82452 1.33273e+07  96.3105  92.4454
2021-11-18 18:55:00     82791 1.38484e+07  96.0505  91.9216
2021-11-18 18:55:01     83255 1.38484e+07   95.953  91.8292
2021-11-18 18:55:02     83112 1.38484e+07   96.109  91.9011
2021-11-18 18:55:03     80593 1.38484e+07   96.759  92.5738
2021-11-18 18:55:04     79602 1.38484e+07   95.199  92.4711
2021-11-18 18:55:05     79602 1.38484e+07   92.924  89.9447
2021-11-18 18:55:06     81157 1.38484e+07  93.0995  88.5325
2021-11-18 18:55:07     81598 1.38484e+07  94.4515  89.9909
2021-11-18 18:55:08     80906 1.38484e+07   94.289  90.8279
2021-11-18 18:55:09     82043 1.38484e+07  94.6725  89.7598
2021-11-18 18:55:10     81515 1.38484e+07  94.9585  91.3516
2021-11-18 18:55:11     81565 1.38484e+07  94.5555   90.109
2021-11-18 18:55:12     80551 1.38484e+07  94.5555  91.0692
2021-11-18 18:55:13     80081 1.38484e+07  93.3855   90.073
2021-11-18 18:55:14     80722 1.38484e+07  92.6965  89.0152
2021-11-18 18:55:15     81548 1.38484e+07  93.8275  88.8868
2021-11-18 18:55:16     81341 1.38484e+07   94.731   90.109
2021-11-18 18:55:17     80504 1.38484e+07    94.38  91.1668
2021-11-18 18:55:18     82148 1.38484e+07   93.704  89.7444
2021-11-18 18:55:19     81116 1.38484e+07   94.926  89.8163
2021-11-18 18:55:20     81173 1.38484e+07    94.64   91.706
2021-11-18 18:55:21     80958 1.38484e+07  93.9575  89.9447
2021-11-18 18:55:22     81398 1.38484e+07  93.9575  90.2374
2021-11-18 18:55:23     80398 1.35248e+07  94.1525  89.8779
2021-11-18 18:55:24     81077 1.38206e+07   93.925  90.4376
2021-11-18 18:55:25     81972 1.38206e+07   93.509  89.4414
2021-11-18 18:55:26     81230 1.37376e+07  95.4525  90.4941
2021-11-18 18:55:27     80081 1.37376e+07  94.5165  91.1308
2021-11-18 18:55:28     81308 1.38105e+07   92.885  89.6109
2021-11-18 18:55:29     81755 1.38105e+07   93.483  89.1385
2021-11-18 18:55:30     81766 1.38105e+07  95.2445   90.643
2021-11-18 18:55:31     80725 1.38105e+07   94.965  90.8946
2021-11-18 18:55:32     82159 1.38105e+07   94.471  90.8946
2021-11-18 18:55:33     82207 1.38105e+07   94.289  89.7239
2021-11-18 18:55:34     80388 1.38105e+07  95.3355  91.2798
2021-11-18 18:55:35     80086 1.38105e+07   94.939  91.2798
2021-11-18 18:55:36     80086 1.38105e+07  92.9175  89.6725
2021-11-18 18:55:37     78700 1.38105e+07  92.2935  88.8868
2021-11-18 18:55:38     71272 1.38105e+07  88.3285  88.2296
2021-11-18 18:55:39     72121 1.38105e+07  82.8035  79.9057
2021-11-18 18:55:40     71515 1.38105e+07  83.5575  79.9057
2021-11-18 18:55:41     71191 1.38105e+07  83.3105  79.5463
2021-11-18 18:55:42     71316 1.35738e+07  82.3615  79.7363
2021-11-18 18:55:43     70945 1.37826e+07  82.6475  78.9866
2021-11-18 18:55:44     72889 1.37826e+07  82.6475   78.735
2021-11-18 18:55:45     71349 1.37826e+07   84.448  80.4295
2021-11-18 18:55:46     70899 1.37826e+07   82.602  80.0187
2021-11-18 18:55:47     71887 1.37826e+07  82.3745   78.396
2021-11-18 18:55:48     72304 1.37826e+07   83.447  79.8749
2021-11-18 18:55:49     71765 1.37826e+07  83.9865  79.7979
2021-11-18 18:55:50     71592 1.37826e+07  83.2845  80.6708
2021-11-18 18:55:51     71830 1.37826e+07   82.992  79.0482
2021-11-18 18:55:52     70994 1.37826e+07  83.5445   80.296
2021-11-18 18:55:53     71105 1.37826e+07    82.42  79.2176
2021-11-18 18:55:54     71806 1.37826e+07   82.823  79.2947
2021-11-18 18:55:55     72068 1.37826e+07   82.823  78.9917
2021-11-18 18:55:56     70748 1.37826e+07  83.7525  79.8595
2021-11-18 18:55:57     72262 1.37826e+07  82.4135  79.8595
2021-11-18 18:55:58     71729 1.37826e+07   83.668  79.0841
2021-11-18 18:55:59     72511 1.37826e+07   83.083  80.1317
2021-11-18 18:56:00     71879 1.37826e+07   83.824  79.6952
2021-11-18 18:56:01     71038 1.37826e+07   83.824  80.5271
2021-11-18 18:56:02     72155 1.37826e+07   83.343  80.0238
2021-11-18 18:56:03     72638 1.37826e+07   82.563  78.9455
2021-11-18 18:56:04     70981 1.37826e+07   84.058  80.0546
2021-11-18 18:56:05     72622 1.37826e+07  83.5445    80.64
2021-11-18 18:56:06     70858 1.37826e+07  82.9075   79.156
2021-11-18 18:56:07     70858 1.37826e+07   83.564  80.3371
2021-11-18 18:56:08     71511 1.45701e+07  82.4785  78.9455
2021-11-18 18:56:09     73872 1.38265e+07  83.9735  79.5155
2021-11-18 18:56:10     73867 1.38265e+07   86.307  81.6516
2021-11-18 18:56:11     72153 1.38265e+07  84.5715  82.5194
2021-11-18 18:56:12     72971 1.38265e+07  84.4415  80.0444
2021-11-18 18:56:13     72006 1.38265e+07  83.9215  81.4976
2021-11-18 18:56:14     72626 1.38265e+07  83.9215  79.6644
2021-11-18 18:56:15     72540 1.38265e+07   84.409  81.0919
2021-11-18 18:56:16     72624 1.38265e+07  84.1815  80.2549
2021-11-18 18:56:17     72577 1.38265e+07  84.1815  81.2973
2021-11-18 18:56:18     71802 1.38265e+07  84.2595    80.26
2021-11-18 18:56:19     72589 1.38265e+07   83.408  80.3422
2021-11-18 18:56:20     71432 1.38265e+07    84.11  80.0084
2021-11-18 18:56:21     71983 1.38265e+07  82.9205  79.8493
2021-11-18 18:56:22     72271 1.38265e+07   83.824  80.5681
2021-11-18 18:56:23     72617 1.38265e+07   83.824  79.7055
2021-11-18 18:56:24     72134 1.38265e+07   84.162  80.6657
2021-11-18 18:56:25     72493 1.38265e+07   83.811  80.3525
2021-11-18 18:56:26     72625 1.38265e+07   84.006  80.1728
2021-11-18 18:56:27     71677 1.38265e+07  84.2595  80.3833
2021-11-18 18:56:28     71445 1.38265e+07   83.525    80.64
2021-11-18 18:56:29     71676 1.38265e+07  82.7385  79.6592
