        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-29 13:50:03      7105 1.38579e+07   93.262  89.5544
2021-11-29 13:50:04      6980 1.38579e+07   93.262  89.5544
2021-11-29 13:50:05      7225 1.38579e+07   92.157  88.5069
2021-11-29 13:50:06      7001 1.38579e+07   95.264  91.4852
2021-11-29 13:50:07      7087 1.38579e+07   91.923  88.2809
2021-11-29 13:50:08      7165 1.38579e+07   93.535  89.8111
2021-11-29 13:50:09      7146 1.38579e+07  94.3865  90.6533
2021-11-29 13:50:10      7178 1.38579e+07  94.1265  90.4171
2021-11-29 13:50:11      7178 1.38579e+07  94.4125  90.6636
2021-11-29 13:50:12      7253 1.39803e+07   94.783   91.023
2021-11-29 13:50:13      7045 1.38644e+07   95.654  91.8651
2021-11-29 13:50:14      7094 1.38644e+07   93.145  89.4517
2021-11-29 13:50:15      7098 1.38644e+07   93.483  89.7803
2021-11-29 13:50:16      7264 1.38644e+07   93.314  89.5955
2021-11-29 13:50:17      7236 1.38644e+07   95.719  91.9268
2021-11-29 13:50:18      7228 1.38644e+07    95.42  91.6289
2021-11-29 13:50:19      7207 1.38644e+07  95.1015  91.3414
2021-11-29 13:50:20      7193 1.38644e+07   94.731  90.9717
2021-11-29 13:50:21      7165 1.38644e+07  95.2835  91.5057
2021-11-29 13:50:22      6988 1.38644e+07   94.133  90.3863
2021-11-29 13:50:23      6966 1.38644e+07  93.4115  89.7085
2021-11-29 13:50:24      7076 1.38644e+07  90.9805  87.3669
2021-11-29 13:50:25      7052 1.38644e+07  93.5155  89.8214
2021-11-29 13:50:26      7036 1.38644e+07  92.5535  88.8868
2021-11-29 13:50:27      7277 1.38644e+07    92.82  89.1436
2021-11-29 13:50:28      7148 1.38644e+07   94.263  90.5403
2021-11-29 13:50:29      7184 1.38644e+07  95.6085  91.8343
2021-11-29 13:50:30      7293 1.38644e+07  93.6195  89.9138
2021-11-29 13:50:31      7187 1.38644e+07   95.745  91.9576
2021-11-29 13:50:32      7144 1.38644e+07  95.9725  92.1732
2021-11-29 13:50:33      6950 1.38644e+07   94.419  90.6738
2021-11-29 13:50:34      6950 1.38644e+07   93.015  89.3285
2021-11-29 13:50:35      7031 1.38644e+07   91.741  88.1166
2021-11-29 13:50:36      7098 1.38644e+07  92.6185  88.9382
2021-11-29 13:50:37      7213 1.38644e+07  94.1135   90.376
2021-11-29 13:50:38      7053 1.38644e+07   95.017  91.2592
2021-11-29 13:50:39      7063 1.38644e+07  92.6315  88.9587
2021-11-29 13:50:40      7071 1.38644e+07   93.132  89.4209
2021-11-29 13:50:41      6967 1.38644e+07   93.132  89.4209
2021-11-29 13:50:42      6930 1.38644e+07  91.5915  87.9728
2021-11-29 13:50:43      7114 1.38644e+07   91.429  87.8085
2021-11-29 13:50:44      7107 1.38644e+07  93.7235  90.0268
2021-11-29 13:50:45      7072 1.38644e+07   93.782  90.0268
2021-11-29 13:50:46      6975 1.38644e+07  93.3985  89.6982
2021-11-29 13:50:47      7081 1.38644e+07   92.118  88.4658
2021-11-29 13:50:48      7039 1.38644e+07  93.2425  89.5441
2021-11-29 13:50:49      7176 1.38644e+07   92.937  89.2463
2021-11-29 13:50:50      6986 1.38644e+07   94.341  90.6019
2021-11-29 13:50:51      6959 1.38644e+07   93.054  89.3593
2021-11-29 13:50:52      7016 1.38644e+07   91.767  88.1371
2021-11-29 13:50:53      7318 1.38644e+07  92.0725  88.4247
2021-11-29 13:50:54      7122 1.38644e+07  94.9325  91.1668
2021-11-29 13:50:55      7108 1.38644e+07   95.862  92.0603
2021-11-29 13:50:56      7073 1.38644e+07   93.899  90.1706
2021-11-29 13:50:57      7139 1.38644e+07   93.249  89.5441
