        Date        scalerS2b  scalerS16b IPM2C21A IPM2C24A
2021-11-29 14:03:43       386 1.38611e+07        0        0
2021-11-29 14:03:44       384 1.38611e+07        0        0
2021-11-29 14:03:45      4822 1.38611e+07        0        0
2021-11-29 14:03:46      4934 1.38611e+07        0        0
2021-11-29 14:03:47      4943 1.38611e+07     0.78   0.6162
2021-11-29 14:03:48      4902 1.39839e+07     1.95   1.5405
2021-11-29 14:03:49      4918 1.38527e+07      3.9    3.081
2021-11-29 14:03:50      4883 1.38527e+07  7.10996    6.162
2021-11-29 14:03:51      4822 1.38527e+07  8.49973  8.23782
2021-11-29 14:03:52      4790 1.38527e+07  7.99825  7.69018
2021-11-29 14:03:53      4835 1.38527e+07  5.04725  4.86439
2021-11-29 14:03:54      4930 1.38527e+07   5.1389  4.95373
2021-11-29 14:03:55      5045 1.38527e+07   5.1389  4.95373
2021-11-29 14:03:56      5039 1.38527e+07   5.4028  5.20535
2021-11-29 14:03:57      5039 1.38527e+07   5.3365   5.1427
2021-11-29 14:03:58      5061 1.38527e+07  5.41775  5.21973
2021-11-29 14:03:59      4990 1.38527e+07   5.3417  5.14681
2021-11-29 14:04:00      4929 1.38527e+07   5.3417  5.14681
2021-11-29 14:04:01      5048 1.38527e+07  5.27215  5.08057
2021-11-29 14:04:02      4959 1.38527e+07   5.3638  5.16889
2021-11-29 14:04:03      4925 1.38527e+07   5.2806  5.08776
2021-11-29 14:04:04      5019 1.38527e+07   5.2806  5.08776
2021-11-29 14:04:05      5094 1.38527e+07    5.382  5.18686
2021-11-29 14:04:06      5018 1.38527e+07   5.4483  5.24951
2021-11-29 14:04:07      5052 1.38527e+07   5.3599  5.16478
2021-11-29 14:04:08      4910 1.38527e+07   5.3599  5.16478
2021-11-29 14:04:09      4999 1.38527e+07   5.2416  5.04976
2021-11-29 14:04:10      4989 1.38527e+07   5.3339  5.13859
2021-11-29 14:04:11      5130 1.38527e+07   5.3339  5.13859
2021-11-29 14:04:12      4967 1.38527e+07    5.473   5.2721
