        Date        scalerS2b scalerS16b IPM2C21A IPM2C24A
2023-10-08 14:00:47      1727       3742  10.4494  9.41862
2023-10-08 14:00:48      1798       3871   9.2183  8.18314
2023-10-08 14:00:49      1662       3621    8.697  8.53951
2023-10-08 14:00:50      1588       3493    8.697   7.8432
2023-10-08 14:00:51      1595       3493   7.9911  7.36051
2023-10-08 14:00:52      1595       3493   7.7181  7.36051
2023-10-08 14:00:53      1443       3212   7.6401  7.20749
2023-10-08 14:00:54      1496       3305   7.4178  6.52864
2023-10-08 14:00:55      1480       3269   6.6924  6.65701
2023-10-08 14:00:56      1422       3161   7.0837  6.71761
2023-10-08 14:00:57      1426       3161   6.9108  6.38897
2023-10-08 14:00:58      1373       3075    6.617  6.38897
2023-10-08 14:00:59      1373       3075    6.617  6.16508
2023-10-08 14:01:00      1370       3075   6.2673   5.9833
2023-10-08 14:01:01      1388       3075   6.2673   5.9833
2023-10-08 14:01:02      1383       3075   6.3921  6.25238
2023-10-08 14:01:03      1335       2995   6.3921  5.85801
2023-10-08 14:01:04      1338       2995   6.0216  5.85801
2023-10-08 14:01:05      1380       3042   6.0216    5.972
2023-10-08 14:01:06      1315       2969   6.2504    5.972
2023-10-08 14:01:07      1324       2969    5.915  5.66493
2023-10-08 14:01:08      1319       2969   5.9852  5.71628
2023-10-08 14:01:09      1264       2866   5.9852  5.53861
2023-10-08 14:01:10      1276       2866   5.5601   5.3784
2023-10-08 14:01:11      1298       2944   5.6134  5.49342
2023-10-08 14:01:12      1314       2944   5.8266   5.5992
2023-10-08 14:01:13      1291       2926   5.8825   5.5992
2023-10-08 14:01:14      1248       2858   5.7083   5.5992
2023-10-08 14:01:15      1243       2835   5.7083  5.26851
2023-10-08 14:01:16      1250       2835   5.4418  5.26851
2023-10-08 14:01:17      1269       2907   5.4418    5.287
2023-10-08 14:01:18      1283       2890   5.6251  5.46364
2023-10-08 14:01:19      1271       2890    5.785  5.46364
2023-10-08 14:01:20      1290       2907    5.603  5.53964
2023-10-08 14:01:21      1228       2820   5.9176  5.53964
2023-10-08 14:01:22      1194       2766   5.3924  5.11446
2023-10-08 14:01:23      1193       2739    5.265  4.97684
2023-10-08 14:01:24      1213       2811    5.265  4.97684
2023-10-08 14:01:25      1240       2847    5.265  4.97684
2023-10-08 14:01:26      1240       2847   5.4288  5.29213
2023-10-08 14:01:27      1229       2813   5.5614  5.29213
2023-10-08 14:01:28      1252       2871   5.5614  5.29213
2023-10-08 14:01:29      1187       2740   5.5614  5.20689
2023-10-08 14:01:30      1187       2740   5.3963  4.96349
2023-10-08 14:01:31      1182       2740   5.1077  4.96349
2023-10-08 14:01:32       926       2207   4.2692  4.89982
2023-10-08 14:01:33       429       1419   1.6224        0
2023-10-08 14:01:34       418       1428        0        0
2023-10-08 14:01:35       418       1415        0        0
2023-10-08 14:01:36       408       1415        0        0
2023-10-08 14:01:37       418       1423        0        0
2023-10-08 14:01:38       419       1423        0        0
2023-10-08 14:01:39       416       1415        0        0
2023-10-08 14:01:40       417       1415        0        0
2023-10-08 14:01:41       415       1431        0        0
2023-10-08 14:01:42       415       1422        0        0
2023-10-08 14:01:43       414       1422        0        0
2023-10-08 14:01:44       416       1431        0        0
2023-10-08 14:01:45       415       1431        0        0
2023-10-08 14:01:46       412       1431        0        0
2023-10-08 14:01:47       416       1441        0        0
2023-10-08 14:01:48       414       1427        0        0
2023-10-08 14:01:49       414       1436        0        0
2023-10-08 14:01:50       410       1436        0        0
2023-10-08 14:01:51       413       1436        0        0
2023-10-08 14:01:52       411       1422        0        0
2023-10-08 14:01:53       416       1430        0        0
2023-10-08 14:01:54       407       1439        0        0
2023-10-08 14:01:55       404       1428        0        0
2023-10-08 14:01:56       407       1484        0        0
2023-10-08 14:01:57       406       1425        0        0
2023-10-08 14:01:58       407       1425        0        0
2023-10-08 14:01:59       402       1425        0        0
2023-10-08 14:02:00       403       1425        0        0
2023-10-08 14:02:01       403       1425        0        0
2023-10-08 14:02:02       408       1455        0        0
2023-10-08 14:02:03       480       1581 0.542087 0.608241
2023-10-08 14:02:04       491       1581 0.683767 0.698565
2023-10-08 14:02:05      1443       3231     1.95  2.62671
2023-10-08 14:02:06      1518       3253     1.95  2.62671
2023-10-08 14:02:07      1559       3363      7.8    6.162
2023-10-08 14:02:08      1571       3385   14.262  9.70926
2023-10-08 14:02:09      1569       3350  11.5427  12.3702
2023-10-08 14:02:10      1608       3410  11.5427  7.48991
2023-10-08 14:02:11      1535       3288  7.84745  7.48991
2023-10-08 14:02:12      1161       2657   6.5026  5.47802
2023-10-08 14:02:13      1132       2626   6.5026  5.47802
2023-10-08 14:02:14      1117       2579  4.81715   4.5835
2023-10-08 14:02:15      1160       2677  4.81715  4.65847
2023-10-08 14:02:16      1155       2653  4.73005  4.65847
2023-10-08 14:02:17      1153       2653   5.0622  4.70982
2023-10-08 14:02:18      1105       2561   4.7268  4.70982
2023-10-08 14:02:19      1095       2561   4.7268  4.58658
2023-10-08 14:02:20      1102       2575  4.51295   4.3247
2023-10-08 14:02:21      1146       2623   4.7333   4.3247
2023-10-08 14:02:22      1157       2661   4.7333  4.69031
2023-10-08 14:02:23      1142       2629   4.8841  4.69031
2023-10-08 14:02:24      1162       2675   4.8841  4.69031
2023-10-08 14:02:25      1178       2706   4.8841  4.81971
2023-10-08 14:02:26      1171       2706  5.03295  4.81971
2023-10-08 14:02:27      1148       2645   5.0999  4.81971
2023-10-08 14:02:28      1134       2611   5.0999  4.91522
2023-10-08 14:02:29      1166       2671   4.8971  4.69442
2023-10-08 14:02:30      1226       2783  4.76125  4.55269
2023-10-08 14:02:31      1220       2767  5.44765   4.7776
2023-10-08 14:02:32      1220       2767  5.44765  5.17813
2023-10-08 14:02:33      1143       2634   5.3586  5.07338
2023-10-08 14:02:34      1164       2676  4.83145  4.64512
2023-10-08 14:02:35      1222       2779  4.92895  4.73755
2023-10-08 14:02:36      1225       2763   5.3664    5.135
2023-10-08 14:02:37      1218       2738   5.3664    5.135
2023-10-08 14:02:38      1194       2716   5.3118    5.135
2023-10-08 14:02:39      1190       2716   5.1558  4.94192
2023-10-08 14:02:40      1218       2772   5.1558  5.13397
2023-10-08 14:02:41      1178       2707   5.3625  5.13397
2023-10-08 14:02:42      1178       2691  5.08365  4.87414
2023-10-08 14:02:43      1179       2691  5.08365  4.87414
2023-10-08 14:02:44      1191       2709  5.08365  4.87414
2023-10-08 14:02:45      1171       2686   5.1922  4.97273
2023-10-08 14:02:46      1195       2719  5.06935  4.86387
2023-10-08 14:02:47      1197       2719   5.0102  4.86387
2023-10-08 14:02:48      1170       2670   5.2364  5.01792
2023-10-08 14:02:49      1179       2704   5.1493  4.93371
2023-10-08 14:02:50      1165       2689  4.88215  4.68004
2023-10-08 14:02:51      1184       2689  5.10835  4.89776
2023-10-08 14:02:52      1145       2655  5.10835  4.89776
2023-10-08 14:02:53      1125       2615  5.10835  4.89776
2023-10-08 14:02:54      1113       2615   4.7762   4.5835
2023-10-08 14:02:55      1177       2694   4.7762   4.5835
2023-10-08 14:02:56      1171       2694   4.7762   4.5835
2023-10-08 14:02:57      1174       2694  5.18375  4.96041
2023-10-08 14:02:58      1177       2694  5.02515  4.83512
2023-10-08 14:02:59      1675       3632  5.09795  4.89057
2023-10-08 14:03:00      2161       4414  5.09795  4.89057
2023-10-08 14:03:01      2160       4414  11.5265  10.3532
2023-10-08 14:03:02      2169       4456   11.806  11.2385
2023-10-08 14:03:03      2169       4456  11.6571  11.1132
2023-10-08 14:03:04      2244       4558  11.9529  11.3494
2023-10-08 14:03:05      2121       4367  11.9529  11.4038
2023-10-08 14:03:06      2142       4420  11.3841   10.955
2023-10-08 14:03:07      2211       4504  11.6227  11.1275
2023-10-08 14:03:08      2207       4540  11.8495  11.3268
2023-10-08 14:03:09      2134       4386   11.936  11.3268
2023-10-08 14:03:10      2153       4419  11.3341   10.804
2023-10-08 14:03:11      2155       4419  11.5349  11.0916
2023-10-08 14:03:12      2092       4333  11.4848  11.0053
2023-10-08 14:03:13      2109       4333  11.1176  10.6099
2023-10-08 14:03:14      2119       4358  11.1176  10.6726
2023-10-08 14:03:15      2086       4311  11.2781  10.7609
2023-10-08 14:03:16      2049       4247  11.0994  10.5802
2023-10-08 14:03:17      2061       4282  10.8017  10.3162
2023-10-08 14:03:18      2044       4230  10.9525  10.4436
2023-10-08 14:03:19      2046       4230  10.8381  10.3306
