        Date        scalerS2b scalerS16b IPM2C21A IPM2C24A
2023-10-08 14:49:56       409       1442        0        0
2023-10-08 14:49:57       412       1442        0        0
2023-10-08 14:49:58       411       1442        0        0
2023-10-08 14:49:59       415       1442        0        0
2023-10-08 14:50:00       408       1442        0        0
2023-10-08 14:50:01       410       1442        0        0
2023-10-08 14:50:02       410       1442        0        0
2023-10-08 14:50:03       409       1442        0        0
2023-10-08 14:50:04       407       1442        0        0
2023-10-08 14:50:05       403       1442        0        0
2023-10-08 14:50:06       405       1442        0        0
2023-10-08 14:50:07       405       1442        0        0
2023-10-08 14:50:08       402       1442        0        0
2023-10-08 14:50:09       403       1442        0        0
2023-10-08 14:50:10       405       1442        0        0
2023-10-08 14:50:11       408       1442        0        0
2023-10-08 14:50:12       405       1442        0        0
2023-10-08 14:50:13       404       1442        0        0
2023-10-08 14:50:14       401       1442        0        0
2023-10-08 14:50:15       407       1442        0        0
2023-10-08 14:50:16       405       1442        0        0
2023-10-08 14:50:17       408       1442        0        0
2023-10-08 14:50:18       408       1442        0        0
2023-10-08 14:50:19       406       1442        0        0
2023-10-08 14:50:20       404       1442        0        0
2023-10-08 14:50:21       408       1442        0        0
2023-10-08 14:50:22       403       1442        0        0
2023-10-08 14:50:23       407       1452        0        0
2023-10-08 14:50:24       405       1436        0        0
2023-10-08 14:50:25       409       1495        0        0
2023-10-08 14:50:26       408       1432        0        0
2023-10-08 14:50:27       407       1432        0        0
2023-10-08 14:50:28       407       1441        0        0
2023-10-08 14:50:29       407       1441        0        0
2023-10-08 14:50:30       407       1433        0        0
2023-10-08 14:50:31       403       1433        0        0
2023-10-08 14:50:32       404       1433        0        0
2023-10-08 14:50:33       404       1433        0        0
2023-10-08 14:50:34       405       1433        0        0
2023-10-08 14:50:35       409       1442        0        0
2023-10-08 14:50:36       406       1434        0        0
2023-10-08 14:50:37       412       1425        0        0
2023-10-08 14:50:38       410       1437        0        0
2023-10-08 14:50:39       409       1437        0        0
2023-10-08 14:50:40       415       1437        0        0
2023-10-08 14:50:41       415       1446        0        0
2023-10-08 14:50:42       412       1446        0        0
2023-10-08 14:50:43       413       1446        0        0
2023-10-08 14:50:44       411       1446        0        0
2023-10-08 14:50:45       410       1446        0        0
2023-10-08 14:50:46       405       1446        0        0
2023-10-08 14:50:47       409       1436        0        0
2023-10-08 14:50:48       407       1436        0        0
2023-10-08 14:50:49       405       1436        0        0
