scalerS16b IPM2C21A IPM2C24A 
465 1446 0 0
462 1446 0 0
462 1446 0 0
468 1446 0 0
469 1446 0 0
468 1446 0 0
468 1446 0 0
467 1446 0 0
466 1446 0 0
468 1446 0 0
465 1456 0 0
472 1456 0 0
468 1456 0 0
471 1456 0 0
464 1445 0 0
464 1445 0 0
466 1445 0 0
467 1445 0 0
467 1445 0 0
464 1445 0 0
464 1445 0 0
464 1877 0 0
467 1442 0 0
468 1450 0 0
472 1450 0 0
473 1450 0 0
470 1450 0 0
467 1450 0 0
470 1450 0 0
473 1450 0 0
471 1442 0 0
474 1442 0 0
467 1442 0 0
466 1442 0 0
469 1442 0 0
468 1451 0 0
468 1442 0 0
463 1454 0 0
462 1454 0 0
468 1436 0 0
471 1447 0 0
470 1447 0 0
466 1447 0 0
467 1439 0 0
466 1453 0 0
460 1453 0 0
460 1445 0 0
462 1445 0 0
461 1445 0 0
461 1445 0 0
455 1445 0 0
455 1445 0 0
457 1445 0 0
461 1445 0 0
463 1445 0 0
463 1445 0 0
464 1445 0 0
462 1454 0 0
462 1442 0 0
461 1454 0 0
463 1442 0 0
459 1442 0 0
461 1442 0 0
461 1450 0 0
459 1450 0 0
461 1378 0 0
461 1445 0 0
454 1445 0 0
532 1478 0 0
900 1578 0 0
1133 1661 0.667875 0.684239
5725 2926 1.33984 1.32016
5786 2988 1.33984 6.162
5719 2964 7.08227 6.162
5824 2918 7.08227 9.97166
5648 2952 12.6857 6.13992
5613 2952 6.25105 6.13992
5552 2914 6.25105 5.96841
5799 3011 6.14835 5.96841
5562 2959 6.37065 6.12246
5562 2959 6.37065 6.12246
5579 2960 6.16785 5.70036
5579 2960 5.97285 5.82617
5450 2932 6.13535 5.82617
5428 2932 6.03525 5.82617
5084 2819 6.03525 5.71731
5248 2858 5.7837 5.57969
5325 2884 5.7837 5.57969
5216 2846 5.7837 5.57969
5154 2846 5.6498 5.40818
4968 2784 5.4301 5.40818
5192 2847 5.7876 5.55145
5138 2847 5.6017 5.36453
5136 2828 5.6017 5.36453
5229 2856 5.71415 5.46159
5187 2856 5.71415 5.46159
4955 2779 5.61535 5.46159
4845 2741 5.36965 5.14681
4554 2663 5.10705 4.87928
4930 2771 5.10705 4.87928
4654 2690 5.2741 5.03127
4827 2748 5.1116 4.90957
4887 2748 5.3066 5.09495
4819 2748 5.3066 5.09495
4961 2783 5.3066 5.04154
4769 2729 5.4054 5.17916
5059 2814 5.15385 4.92806
4940 2765 5.15385 4.92806
5070 2811 5.5276 5.29675
4891 2769 5.5952 5.16222
4799 2721 5.36445 5.36813
4832 2721 5.36445 5.12319
4885 2740 5.21755 5.00149
4885 2740 5.21755 5.00149
4821 2740 5.252 5.13757
4942 2780 5.421 5.20278
4993 2780 5.421 5.20278
4928 2780 5.421 5.20278
4644 2695 4.9504 4.74885
4757 2720 4.9504 4.74885
4859 2751 5.21625 4.99841
4583 2669 5.21625 4.99841
4786 2726 5.1077 4.86439
4577 2650 5.00695 4.94192
4665 2708 5.00695 4.80482
4856 2745 5.00695 4.80482
4615 2664 5.19415 4.9979
4717 2708 5.27475 4.9979
4616 2676 5.0323 4.81252
4676 2709 5.0323 4.81252
4812 2736 4.9452 4.74423
4652 2623 5.28125 5.05387
4487 2639 5.2 4.97273
4468 2639 4.9491 4.73755
4698 2699 4.7372 4.54242
4496 2650 4.96145 4.74628
4562 2650 4.81845 4.88493
4754 2712 4.81845 4.61636
4819 2739 5.0375 4.83768
4805 2725 5.1844 5.03333
4720 2692 5.25915 5.03333
4642 2692 5.25915 5.03333
4800 2734 5.057 4.87722
4456 2682 5.057 4.87722
4456 2682 5.1896 4.98146
4535 2644 4.8113 4.62201
4778 2734 4.92375 4.72266
4800 2734 5.18765 4.9676
4855 2784 5.18765 4.9676
4772 2722 5.1844 5.05643
4530 2655 5.1844 4.96709
4844 2737 4.95105 4.74115
4793 2723 5.20455 4.98711
4546 2640 4.95235 4.74679
4681 2701 4.95235 4.74679
4759 2717 5.10445 4.89365
4852 2743 5.10445 4.89365
4905 2758 5.21235 4.98095
4936 2773 5.37615 5.15297
4704 2695 5.3222 5.09649
4864 2754 5.3222 5.09649
4686 2689 5.0986 4.88749
4999 2800 5.3027 5.07954
4632 2676 5.23185 5.01073
4830 2748 5.29295 5.07184
4865 2748 5.07455 4.86336
4896 2764 5.2585 5.04052
4961 2764 5.3144 5.09135
4971 2790 5.40605 5.17967
4713 2697 5.40605 5.17967
4853 2740 5.40605 5.17967
4816 2740 5.14995 4.93628
4916 2764 5.20455 4.9866
4732 2715 5.35795 5.13603
4907 2753 5.265 5.04462
4907 2753 5.265 5.04462
5021 2814 5.39565 5.17351
4997 2788 5.4717 5.17351
4919 2763 5.4717 5.27416
4771 2726 5.3014 5.07851
5075 2817 5.2169 4.98044
5028 2817 5.5289 5.33167
5004 2783 5.58675 5.33167
5262 2879 5.49575 5.26543
5726 3019 5.83635 5.56172
5521 2947 6.2868 6.07419
5405 2917 6.0905 5.85133
5405 2917 5.9449 5.69266
5514 2964 5.9449 5.69266
5392 2964 6.0723 5.80717
5321 2906 5.8981 5.65415
5466 2934 5.8201 5.58226
7026 3427 6.0047 5.74709
9699 4221 7.5413 7.23008
9156 4059 10.9395 10.48
9875 4284 10.4585 9.96703
9924 4331 11.0435 10.5093
9835 4307 11.1781 10.6418
9743 4277 10.9811 10.4364
9921 4330 11.1527 10.6962
9602 4235 11.0857 10.592
9811 4318 10.9726 10.5257
9840 4318 10.9726 10.4199
10010 4375 11.1813 10.6654
9658 4257 11.2833 10.7198
9728 4287 11.2833 10.7198
9728 4287 10.7802 10.366
9582 4238 10.8375 10.366
9671 4285 10.8375 10.366
9438 4213 10.896 10.3034
9662 4286 10.6671 10.2151
9076 4095 10.9941 10.2151
9474 4223 10.3083 9.94804
9388 4194 10.7387 9.94804
9299 4173 10.6444 10.1545
8946 4053 10.2161 9.70926
8893 4027 10.0015 9.61272
9453 4207 10.0015 9.99476
8997 4085 10.1985 9.83352
9543 4260 10.4696 9.83352
9150 4120 10.4696 10.1242
9286 4162 10.7334 9.76472
9337 4183 10.5814 9.76472
9292 4183 10.5814 9.96241
9289 4183 10.4812 9.96241
8811 4028 10.4241 9.78115
8683 3982 9.99115 9.78115
8966 4075 9.99115 9.36367
8509 3917 9.81045 9.36367
8961 4062 9.78965 9.0833
8579 3937 9.78965 9.57934
