scalerS16b IPM2C21A IPM2C24A 
409 1442 0 0
412 1442 0 0
411 1442 0 0
415 1442 0 0
408 1442 0 0
410 1442 0 0
410 1442 0 0
409 1442 0 0
407 1442 0 0
403 1442 0 0
405 1442 0 0
405 1442 0 0
402 1442 0 0
403 1442 0 0
405 1442 0 0
408 1442 0 0
405 1442 0 0
404 1442 0 0
401 1442 0 0
407 1442 0 0
405 1442 0 0
408 1442 0 0
408 1442 0 0
406 1442 0 0
404 1442 0 0
408 1442 0 0
403 1442 0 0
407 1452 0 0
405 1436 0 0
409 1495 0 0
408 1432 0 0
407 1432 0 0
407 1441 0 0
407 1441 0 0
407 1433 0 0
403 1433 0 0
404 1433 0 0
404 1433 0 0
405 1433 0 0
409 1442 0 0
406 1434 0 0
412 1425 0 0
410 1437 0 0
409 1437 0 0
415 1437 0 0
415 1446 0 0
412 1446 0 0
413 1446 0 0
411 1446 0 0
410 1446 0 0
405 1446 0 0
409 1436 0 0
407 1436 0 0
405 1436 0 0
407 1451 0 0
406 1440 0 0
403 1440 0 0
405 1440 0 0
406 1440 0 0
400 1440 0 0
403 1440 0 0
413 1448 0 0
400 1429 0 0
400 1437 0 0
406 1437 0 0
408 1437 0 0
406 1437 0 0
407 1437 0 0
407 1437 0 0
408 1445 0 0
411 1434 0 0
403 1434 0 0
407 1434 0 0
404 1434 0 0
407 1434 0 0
405 1452 0 0
400 1436 0 0
401 1436 0 0
401 1445 0 0
399 1431 0 0
420 1490 0 0
454 1575 0 0.501715
463 1575 0.653543 0.672171
991 2888 1.06431 1.5064
1150 3139 3.9 6.162
1177 3212 7.8 9.82351
1179 3195 9.23715 10.3948
1121 3072 12.2739 7.07603
943 2620 6.6924 6.37253
958 2717 4.98875 4.79044
927 2617 5.122 4.945
919 2596 4.85745 4.63074
928 2645 4.7866 4.63074
940 2645 4.93675 4.63074
912 2598 4.93675 4.77401
926 2641 4.7931 4.56861
954 2691 4.92245 4.71444
929 2641 5.12915 4.92652
912 2601 5.01345 4.75552
912 2601 4.7684 4.57991
911 2601 4.7684 4.57991
932 2632 4.8269 4.57991
944 2673 5.12005 4.91419
920 2597 4.97315 4.75193
934 2664 4.75085 4.55269
945 2664 4.75085 4.55269
933 2633 4.91985 4.70828
941 2658 4.91985 4.70828
953 2686 4.91985 4.77144
951 2686 5.10055 4.90187
944 2686 5.10055 4.90187
916 2593 4.74695 4.63177
912 2593 4.74695 4.54191
934 2687 4.74695 4.54191
907 2572 4.80285 4.65488
928 2617 4.80285 4.65488
953 2711 4.63515 4.61534
957 2681 4.78855 4.95579
979 2762 5.15255 4.95579
952 2677 5.15255 5.06619
959 2703 5.30985 5.06619
979 2767 5.15515 4.84539
976 2717 5.34495 4.97017
959 2691 5.34495 5.14013
989 2779 5.25135 4.87157
989 2779 5.06285 4.87157
993 2795 5.3768 5.16016
968 2729 5.3001 5.08416
981 2765 5.2598 5.23359
985 2820 5.2598 5.02819
985 2820 5.3456 5.13603
973 2732 5.3456 5.13603
967 2732 5.2637 5.04206
968 2732 5.2637 5.04206
970 2732 5.1597 4.94295
953 2682 5.1597 5.01279
955 2682 5.1597 4.93422
1007 2812 5.0167 4.80328
