scalerS16b IPM2C21A IPM2C24A 
462 1407 0 0
460 1441 0 0
462 1457 0 0
463 1457 0 0
465 1439 0 0
466 1449 0 0
471 1449 0 0
466 1449 0 0
467 1449 0 0
470 1449 0 0
470 1439 0 0
471 1439 0 0
473 1439 0 0
473 1439 0 0
475 1456 0 0
470 1444 0 0
477 1444 0 0
472 1444 0 0
467 1444 0 0
467 1444 0 0
466 1436 0 0
464 1449 0 0
467 1449 0 0
467 1449 0 0
468 1449 0 0
468 1449 0 0
470 1449 0 0
473 1449 0 0
462 1431 0 0
471 1445 0 0
475 1445 0 0
470 1445 0 0
468 1445 0 0
469 1445 0 0
465 1437 0 0
465 1437 0 0
460 1437 0 0
460 1445 0 0
460 1445 0 0
460 1437 0 0
461 1447 0 0
460 1438 0 0
458 1449 0 0
462 1436 0 0
462 1436 0 0
465 1436 0 0
469 1448 0 0
468 1448 0 0
467 1436 0 0
470 1436 0 0
472 1454 0 0
473 1442 0 0
477 1442 0 0
474 1442 0 0
470 1455 0 0
474 1442 0 0
469 1451 0 0
470 1443 0 0
469 1443 0 0
470 1443 0 0
474 1443 0 0
475 1443 0 0
474 1443 0 0
472 1443 0 0
473 1443 0 0
476 1431 0 0
473 1442 0 0
472 1442 0 0
469 1452 0 0
470 1452 0 0
459 1440 0 0
405 1427 0 0
405 1419 0 0
405 1419 0 0
405 1419 0 0
407 1419 0 0
403 1419 0 0
404 1430 0 0
404 1421 0 0
403 1431 0 0
406 1431 0 0
407 1422 0 0
404 1434 0 0
400 1416 0 0
405 1416 0 0
403 1416 0 0
403 1416 0 0
399 1428 0 0
396 1418 0 0
398 1418 0 0
399 1418 0 0
401 1418 0 0
403 1418 0 0
402 1418 0 0
405 1428 0 0
404 1428 0 0
400 1411 0 0
398 1421 0 0
398 1421 0 0
401 1421 0 0
400 1421 0 0
402 1421 0 0
404 1421 0 0
400 1421 0 0
488 1461 0 0
930 1568 0 0
930 1568 0.680745 0
922 1568 0.680745 0.70922
926 1560 0.680745 0.70922
953 1572 0.680745 0.70922
903 1572 0.680745 0.70922
905 1572 0.680745 0.70922
2010 1921 0.680745 0.70922
6627 3238 1.95 1.52515
6726 3221 1.95 6.162
6678 3221 7.65544 11.5884
7031 3379 15.2327 9.97371
6720 3246 15.2327 7.43137
6479 3246 7.19355 7.22854
6465 3183 7.19355 6.85009
6453 3183 7.19355 6.85009
6133 3091 6.94915 6.79823
6246 3118 6.94915 6.53583
6133 3118 6.73335 6.53583
5771 2996 6.90495 6.53583
5602 2945 6.28485 6.09422
5238 2844 6.28485 5.91655
5236 2844 6.0905 5.60845
5351 2871 5.68425 5.50985
5238 2836 5.7473 5.58072
5086 2798 5.7473 5.48623
4958 2750 5.7473 5.34913
4983 2787 5.49965 5.20792
4870 2728 5.40215 5.14989
5060 2788 5.40215 5.14989
5126 2810 5.2819 5.14989
5253 2852 5.51265 5.3748
5253 2852 5.5692 5.3748
5359 2877 5.7291 5.54066
5309 2877 5.8617 5.54066
5219 2837 5.8617 5.48007
5062 2806 5.6927 5.27775
4900 2732 5.486 5.27775
4925 2732 5.343 5.07749
5244 2857 5.6524 5.21562
5087 2796 5.6524 5.54118
4743 2703 5.6524 5.09135
4799 2718 5.239 4.88698
4929 2771 5.0791 5.11035
4872 2727 5.41905 5.11035
4947 2776 5.2871 5.05952
4800 2719 5.3638 5.18173
4783 2719 5.2533 5.0246
4884 2748 5.2533 4.94706
4782 2697 5.13825 5.07133
4704 2680 5.3807 4.90547
4715 2680 5.07 4.90547
4678 2680 5.07 4.90547
4802 2712 5.15515 4.85001
4685 2684 5.15515 4.98249
4777 2720 5.15515 4.98249
4917 2752 5.0895 4.98095
5050 2788 5.2832 5.11241
4547 2652 5.48145 5.11241
4441 2614 5.291 4.70623
4564 2642 4.9387 4.70623
4506 2610 4.9387 4.70623
4571 2647 4.9387 4.70623
4571 2647 4.823 4.70623
4803 2714 5.04595 4.98352
4543 2637 5.16815 4.98352
