        Date        scalerS2b scalerS16b IPM2C21A IPM2C24A
2023-10-08 14:32:16       462       1407        0        0
2023-10-08 14:32:17       460       1441        0        0
2023-10-08 14:32:18       462       1457        0        0
2023-10-08 14:32:19       463       1457        0        0
2023-10-08 14:32:20       465       1439        0        0
2023-10-08 14:32:21       466       1449        0        0
2023-10-08 14:32:22       471       1449        0        0
2023-10-08 14:32:23       466       1449        0        0
2023-10-08 14:32:24       467       1449        0        0
2023-10-08 14:32:25       470       1449        0        0
2023-10-08 14:32:26       470       1439        0        0
2023-10-08 14:32:27       471       1439        0        0
2023-10-08 14:32:28       473       1439        0        0
2023-10-08 14:32:29       473       1439        0        0
2023-10-08 14:32:30       475       1456        0        0
2023-10-08 14:32:31       470       1444        0        0
2023-10-08 14:32:32       477       1444        0        0
2023-10-08 14:32:33       472       1444        0        0
2023-10-08 14:32:34       467       1444        0        0
2023-10-08 14:32:35       467       1444        0        0
2023-10-08 14:32:36       466       1436        0        0
2023-10-08 14:32:37       464       1449        0        0
2023-10-08 14:32:38       467       1449        0        0
2023-10-08 14:32:39       467       1449        0        0
2023-10-08 14:32:40       468       1449        0        0
2023-10-08 14:32:41       468       1449        0        0
2023-10-08 14:32:42       470       1449        0        0
2023-10-08 14:32:43       473       1449        0        0
2023-10-08 14:32:44       462       1431        0        0
2023-10-08 14:32:45       471       1445        0        0
2023-10-08 14:32:46       475       1445        0        0
2023-10-08 14:32:47       470       1445        0        0
2023-10-08 14:32:48       468       1445        0        0
2023-10-08 14:32:49       469       1445        0        0
2023-10-08 14:32:50       465       1437        0        0
2023-10-08 14:32:51       465       1437        0        0
2023-10-08 14:32:52       460       1437        0        0
2023-10-08 14:32:53       460       1445        0        0
2023-10-08 14:32:54       460       1445        0        0
2023-10-08 14:32:55       460       1437        0        0
2023-10-08 14:32:56       461       1447        0        0
2023-10-08 14:32:57       460       1438        0        0
2023-10-08 14:32:58       458       1449        0        0
2023-10-08 14:32:59       462       1436        0        0
2023-10-08 14:33:00       462       1436        0        0
2023-10-08 14:33:01       465       1436        0        0
2023-10-08 14:33:02       469       1448        0        0
2023-10-08 14:33:03       468       1448        0        0
2023-10-08 14:33:04       467       1436        0        0
2023-10-08 14:33:05       470       1436        0        0
2023-10-08 14:33:06       472       1454        0        0
2023-10-08 14:33:07       473       1442        0        0
2023-10-08 14:33:08       477       1442        0        0
2023-10-08 14:33:09       474       1442        0        0
2023-10-08 14:33:10       470       1455        0        0
2023-10-08 14:33:11       474       1442        0        0
2023-10-08 14:33:12       469       1451        0        0
2023-10-08 14:33:13       470       1443        0        0
2023-10-08 14:33:14       469       1443        0        0
2023-10-08 14:33:15       470       1443        0        0
2023-10-08 14:33:16       474       1443        0        0
2023-10-08 14:33:17       475       1443        0        0
2023-10-08 14:33:18       474       1443        0        0
2023-10-08 14:33:19       472       1443        0        0
2023-10-08 14:33:20       473       1443        0        0
2023-10-08 14:33:21       476       1431        0        0
2023-10-08 14:33:22       473       1442        0        0
2023-10-08 14:33:23       472       1442        0        0
2023-10-08 14:33:24       469       1452        0        0
2023-10-08 14:33:25       470       1452        0        0
2023-10-08 14:33:26       459       1440        0        0
2023-10-08 14:33:27       405       1427        0        0
2023-10-08 14:33:28       405       1419        0        0
2023-10-08 14:33:29       405       1419        0        0
2023-10-08 14:33:30       405       1419        0        0
2023-10-08 14:33:31       407       1419        0        0
2023-10-08 14:33:32       403       1419        0        0
2023-10-08 14:33:33       404       1430        0        0
2023-10-08 14:33:34       404       1421        0        0
2023-10-08 14:33:35       403       1431        0        0
2023-10-08 14:33:36       406       1431        0        0
2023-10-08 14:33:37       407       1422        0        0
2023-10-08 14:33:38       404       1434        0        0
2023-10-08 14:33:39       400       1416        0        0
2023-10-08 14:33:40       405       1416        0        0
2023-10-08 14:33:41       403       1416        0        0
2023-10-08 14:33:42       403       1416        0        0
2023-10-08 14:33:43       399       1428        0        0
2023-10-08 14:33:44       396       1418        0        0
2023-10-08 14:33:45       398       1418        0        0
2023-10-08 14:33:46       399       1418        0        0
2023-10-08 14:33:47       401       1418        0        0
2023-10-08 14:33:48       403       1418        0        0
2023-10-08 14:33:49       402       1418        0        0
2023-10-08 14:33:50       405       1428        0        0
2023-10-08 14:33:51       404       1428        0        0
2023-10-08 14:33:52       400       1411        0        0
2023-10-08 14:33:53       398       1421        0        0
2023-10-08 14:33:54       398       1421        0        0
2023-10-08 14:33:55       401       1421        0        0
2023-10-08 14:33:56       400       1421        0        0
2023-10-08 14:33:57       402       1421        0        0
2023-10-08 14:33:58       404       1421        0        0
2023-10-08 14:33:59       400       1421        0        0
2023-10-08 14:34:00       488       1461        0        0
2023-10-08 14:34:01       930       1568        0        0
2023-10-08 14:34:02       930       1568 0.680745        0
2023-10-08 14:34:03       922       1568 0.680745  0.70922
2023-10-08 14:34:04       926       1560 0.680745  0.70922
2023-10-08 14:34:05       953       1572 0.680745  0.70922
2023-10-08 14:34:06       903       1572 0.680745  0.70922
2023-10-08 14:34:07       905       1572 0.680745  0.70922
2023-10-08 14:34:08      2010       1921 0.680745  0.70922
2023-10-08 14:34:09      6627       3238     1.95  1.52515
2023-10-08 14:34:10      6726       3221     1.95    6.162
2023-10-08 14:34:11      6678       3221  7.65544  11.5884
2023-10-08 14:34:12      7031       3379  15.2327  9.97371
2023-10-08 14:34:13      6720       3246  15.2327  7.43137
2023-10-08 14:34:14      6479       3246  7.19355  7.22854
2023-10-08 14:34:15      6465       3183  7.19355  6.85009
2023-10-08 14:34:16      6453       3183  7.19355  6.85009
2023-10-08 14:34:17      6133       3091  6.94915  6.79823
2023-10-08 14:34:18      6246       3118  6.94915  6.53583
2023-10-08 14:34:19      6133       3118  6.73335  6.53583
2023-10-08 14:34:20      5771       2996  6.90495  6.53583
2023-10-08 14:34:21      5602       2945  6.28485  6.09422
2023-10-08 14:34:22      5238       2844  6.28485  5.91655
2023-10-08 14:34:23      5236       2844   6.0905  5.60845
2023-10-08 14:34:24      5351       2871  5.68425  5.50985
2023-10-08 14:34:25      5238       2836   5.7473  5.58072
2023-10-08 14:34:26      5086       2798   5.7473  5.48623
2023-10-08 14:34:27      4958       2750   5.7473  5.34913
2023-10-08 14:34:28      4983       2787  5.49965  5.20792
2023-10-08 14:34:29      4870       2728  5.40215  5.14989
2023-10-08 14:34:30      5060       2788  5.40215  5.14989
2023-10-08 14:34:31      5126       2810   5.2819  5.14989
2023-10-08 14:34:32      5253       2852  5.51265   5.3748
2023-10-08 14:34:33      5253       2852   5.5692   5.3748
2023-10-08 14:34:34      5359       2877   5.7291  5.54066
2023-10-08 14:34:35      5309       2877   5.8617  5.54066
2023-10-08 14:34:36      5219       2837   5.8617  5.48007
2023-10-08 14:34:37      5062       2806   5.6927  5.27775
2023-10-08 14:34:38      4900       2732    5.486  5.27775
2023-10-08 14:34:39      4925       2732    5.343  5.07749
2023-10-08 14:34:40      5244       2857   5.6524  5.21562
2023-10-08 14:34:41      5087       2796   5.6524  5.54118
2023-10-08 14:34:42      4743       2703   5.6524  5.09135
2023-10-08 14:34:43      4799       2718    5.239  4.88698
2023-10-08 14:34:44      4929       2771   5.0791  5.11035
2023-10-08 14:34:45      4872       2727  5.41905  5.11035
2023-10-08 14:34:46      4947       2776   5.2871  5.05952
2023-10-08 14:34:47      4800       2719   5.3638  5.18173
2023-10-08 14:34:48      4783       2719   5.2533   5.0246
2023-10-08 14:34:49      4884       2748   5.2533  4.94706
2023-10-08 14:34:50      4782       2697  5.13825  5.07133
2023-10-08 14:34:51      4704       2680   5.3807  4.90547
2023-10-08 14:34:52      4715       2680     5.07  4.90547
2023-10-08 14:34:53      4678       2680     5.07  4.90547
2023-10-08 14:34:54      4802       2712  5.15515  4.85001
2023-10-08 14:34:55      4685       2684  5.15515  4.98249
2023-10-08 14:34:56      4777       2720  5.15515  4.98249
2023-10-08 14:34:57      4917       2752   5.0895  4.98095
2023-10-08 14:34:58      5050       2788   5.2832  5.11241
2023-10-08 14:34:59      4547       2652  5.48145  5.11241
2023-10-08 14:35:00      4441       2614    5.291  4.70623
2023-10-08 14:35:01      4564       2642   4.9387  4.70623
2023-10-08 14:35:02      4506       2610   4.9387  4.70623
2023-10-08 14:35:03      4571       2647   4.9387  4.70623
2023-10-08 14:35:04      4571       2647    4.823  4.70623
2023-10-08 14:35:05      4803       2714  5.04595  4.98352
2023-10-08 14:35:06      4543       2637  5.16815  4.98352
2023-10-08 14:35:07      4358       2584  4.90295  4.80174
2023-10-08 14:35:08      4274       2584   4.6826  4.43202
2023-10-08 14:35:09      4241       2548   4.5552  4.37348
2023-10-08 14:35:10      4467       2639   4.5552  4.37348
2023-10-08 14:35:11      4411       2608   4.8711  4.61174
2023-10-08 14:35:12      4615       2646  4.75865  4.61174
2023-10-08 14:35:13      4613       2663   5.0219  4.93628
2023-10-08 14:35:14      4708       2693   5.0219  4.93628
2023-10-08 14:35:15      4668       2673    5.083  4.86439
2023-10-08 14:35:16      4666       2688    5.083  4.86439
2023-10-08 14:35:17      4633       2670    5.083  4.86439
2023-10-08 14:35:18      4561       2644   5.0258  4.81406
2023-10-08 14:35:19      4593       2644   4.9179  4.81406
2023-10-08 14:35:20      4774       2711   5.0115  4.91933
2023-10-08 14:35:21      4719       2695    5.161  4.91933
2023-10-08 14:35:22      4659       2676    5.161  4.99687
2023-10-08 14:35:23      4420       2604    4.966  4.72831
2023-10-08 14:35:24      4936       2770   4.7944  4.79866
2023-10-08 14:35:25      4758       2712  5.31115  4.79866
2023-10-08 14:35:26      4824       2733   5.1753   5.0513
2023-10-08 14:35:27      4879       2753   5.1753  4.96709
2023-10-08 14:35:28      4644       2671  5.33845  5.05695
2023-10-08 14:35:29      4682       2751  5.05895  5.05695
2023-10-08 14:35:30      5850       3019  5.05895  4.85206
2023-10-08 14:35:31      6111       3108  6.22505  4.96554
2023-10-08 14:35:32      6042       3108  6.68785  6.20976
2023-10-08 14:35:33      6756       3311  6.68785  6.41978
2023-10-08 14:35:34      6838       3350  7.42105  6.41978
2023-10-08 14:35:35      6838       3350  7.56665  7.15203
2023-10-08 14:35:36      6520       3248   7.3086  7.25165
2023-10-08 14:35:37      7308       3511  8.05935  6.97436
2023-10-08 14:35:38      7346       3511  8.18155  7.78363
2023-10-08 14:35:39      7646       3575  8.39345  7.89968
2023-10-08 14:35:40      7705       3616   8.5787  8.10662
2023-10-08 14:35:41      7812       3646   8.5787  8.23705
2023-10-08 14:35:42      7416       3524   8.4955  8.28738
2023-10-08 14:35:43      7616       3593   8.4955  7.90841
2023-10-08 14:35:44      7740       3626    8.424  8.17441
2023-10-08 14:35:45      7780       3626   8.5696  8.23911
2023-10-08 14:35:46      8287       3799  8.99405  8.23911
2023-10-08 14:35:47      8606       3913  9.42305  8.77623
2023-10-08 14:35:48      8168       3760   9.6044  9.13516
